# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
576.00000000,BACKGROUND2,DELIVERY1,6.58070726
1261.00000000,DELIVERY6,DELIVERY9,7.93819296
1262.00000000,DELIVERY6,DELIVERY9,8.01222520
1501.00000000,DELIVERY10,DELIVERY8,0.00000000
1502.00000000,DELIVERY10,DELIVERY8,0.00000000
1503.00000000,DELIVERY10,DELIVERY8,0.00000000
1504.00000000,DELIVERY10,DELIVERY8,0.00000000
1505.00000000,DELIVERY10,DELIVERY8,0.00000000
1506.00000000,DELIVERY10,DELIVERY8,0.00000000
1507.00000000,DELIVERY10,DELIVERY8,0.00000000
1508.00000000,DELIVERY10,DELIVERY8,0.00000000
1509.00000000,DELIVERY10,DELIVERY8,0.00000000
1510.00000000,DELIVERY10,DELIVERY8,0.00000000
1511.00000000,DELIVERY10,DELIVERY8,0.00000000
1512.00000000,DELIVERY10,DELIVERY8,0.00000000
1513.00000000,DELIVERY10,DELIVERY8,0.00000000
1514.00000000,DELIVERY10,DELIVERY8,0.00000000
1515.00000000,DELIVERY10,DELIVERY8,0.00000000
1516.00000000,DELIVERY10,DELIVERY8,0.00000000
1517.00000000,DELIVERY10,DELIVERY8,0.00000000
1518.00000000,DELIVERY10,DELIVERY8,0.00000000
1519.00000000,DELIVERY10,DELIVERY8,0.00000000
1520.00000000,DELIVERY10,DELIVERY8,0.00000000
1521.00000000,DELIVERY10,DELIVERY8,0.00000000
1522.00000000,DELIVERY10,DELIVERY8,0.00000000
1523.00000000,DELIVERY10,DELIVERY8,0.00000000
1524.00000000,DELIVERY10,DELIVERY8,0.00000000
1525.00000000,DELIVERY10,DELIVERY8,0.00000000
1526.00000000,DELIVERY10,DELIVERY8,0.00000000
1527.00000000,DELIVERY10,DELIVERY8,0.00000000
1528.00000000,DELIVERY10,DELIVERY8,0.00000000
1529.00000000,DELIVERY10,DELIVERY8,0.00000000
1530.00000000,DELIVERY10,DELIVERY8,0.00000000
1531.00000000,DELIVERY10,DELIVERY8,0.00000000
1532.00000000,DELIVERY10,DELIVERY8,0.00000000
1533.00000000,DELIVERY10,DELIVERY8,0.00000000
1534.00000000,DELIVERY10,DELIVERY8,0.00000000
1535.00000000,DELIVERY10,DELIVERY8,0.00000000
1536.00000000,DELIVERY10,DELIVERY8,0.00000000
1537.00000000,DELIVERY10,DELIVERY8,0.00000000
1538.00000000,DELIVERY10,DELIVERY8,0.00000000
1539.00000000,DELIVERY10,DELIVERY8,0.00000000
1540.00000000,DELIVERY10,DELIVERY8,0.00000000
1541.00000000,DELIVERY10,DELIVERY8,0.00000000
1542.00000000,DELIVERY10,DELIVERY8,0.00000000
1543.00000000,DELIVERY10,DELIVERY8,0.00000000
1544.00000000,DELIVERY10,DELIVERY8,0.00000000
1545.00000000,DELIVERY10,DELIVERY8,0.00000000
1546.00000000,DELIVERY10,DELIVERY8,0.00000000
1547.00000000,DELIVERY10,DELIVERY8,0.00000000
1548.00000000,DELIVERY10,DELIVERY8,0.00000000
1549.00000000,DELIVERY10,DELIVERY8,0.00000000
1550.00000000,DELIVERY10,DELIVERY8,0.00000000
1551.00000000,DELIVERY10,DELIVERY8,0.00000000
1552.00000000,DELIVERY10,DELIVERY8,0.00000000
1553.00000000,DELIVERY10,DELIVERY8,0.00000000
1554.00000000,DELIVERY10,DELIVERY8,0.00000000
1555.00000000,DELIVERY10,DELIVERY8,0.00000000
1556.00000000,DELIVERY10,DELIVERY8,0.00000000
1557.00000000,DELIVERY10,DELIVERY8,0.00000000
1558.00000000,DELIVERY10,DELIVERY8,0.00000000
1559.00000000,DELIVERY10,DELIVERY8,0.00000000
1560.00000000,DELIVERY10,DELIVERY8,0.00000000
1561.00000000,DELIVERY10,DELIVERY8,0.00000000
1561.00000000,DELIVERY11,DELIVERY9,7.93819296
1562.00000000,DELIVERY10,DELIVERY8,0.00000000
1562.00000000,DELIVERY11,DELIVERY9,8.01222520
1563.00000000,DELIVERY10,DELIVERY8,0.00000000
1564.00000000,DELIVERY10,DELIVERY8,0.00000000
1565.00000000,DELIVERY10,DELIVERY8,0.00000000
1566.00000000,DELIVERY10,DELIVERY8,0.00000000
1567.00000000,DELIVERY10,DELIVERY8,0.00000000
1568.00000000,DELIVERY10,DELIVERY8,0.00000000
1569.00000000,DELIVERY10,DELIVERY8,0.00000000
1570.00000000,DELIVERY10,DELIVERY8,0.00000000
1571.00000000,DELIVERY10,DELIVERY8,0.00000000
1572.00000000,DELIVERY10,DELIVERY8,0.00000000
1573.00000000,DELIVERY10,DELIVERY8,0.00000000
1574.00000000,DELIVERY10,DELIVERY8,0.00000000
1575.00000000,DELIVERY10,DELIVERY8,0.00000000
1576.00000000,DELIVERY10,DELIVERY8,0.00000000
1577.00000000,DELIVERY10,DELIVERY8,0.00000000
1578.00000000,DELIVERY10,DELIVERY8,0.00000000
1579.00000000,DELIVERY10,DELIVERY8,0.00000000
1580.00000000,DELIVERY10,DELIVERY8,0.00000000
1581.00000000,DELIVERY10,DELIVERY8,0.00000000
1582.00000000,DELIVERY10,DELIVERY8,0.00000000
1583.00000000,DELIVERY10,DELIVERY8,0.00000000
1584.00000000,DELIVERY10,DELIVERY8,0.00000000
1585.00000000,DELIVERY10,DELIVERY8,0.00000000
1586.00000000,DELIVERY10,DELIVERY8,0.00000000
1587.00000000,DELIVERY10,DELIVERY8,0.00000000
1588.00000000,DELIVERY10,DELIVERY8,0.00000000
1589.00000000,DELIVERY10,DELIVERY8,0.00000000
1590.00000000,DELIVERY10,DELIVERY8,0.00000000
1591.00000000,DELIVERY10,DELIVERY8,0.00000000
1592.00000000,DELIVERY10,DELIVERY8,0.00000000
1593.00000000,DELIVERY10,DELIVERY8,0.00000000
1594.00000000,DELIVERY10,DELIVERY8,0.00000000
1595.00000000,DELIVERY10,DELIVERY8,0.00000000
1596.00000000,DELIVERY10,DELIVERY8,0.00000000
1597.00000000,DELIVERY10,DELIVERY8,0.00000000
1598.00000000,DELIVERY10,DELIVERY8,0.00000000
1599.00000000,DELIVERY10,DELIVERY8,0.00000000
1600.00000000,DELIVERY10,DELIVERY8,0.00000000
1601.00000000,DELIVERY10,DELIVERY8,0.00000000
1602.00000000,DELIVERY10,DELIVERY8,0.00000000
1603.00000000,DELIVERY10,DELIVERY8,0.00000000
1604.00000000,DELIVERY10,DELIVERY8,0.00000000
1605.00000000,DELIVERY10,DELIVERY8,0.00000000
1606.00000000,DELIVERY10,DELIVERY8,0.00000000
1607.00000000,DELIVERY10,DELIVERY8,0.00000000
1608.00000000,DELIVERY10,DELIVERY8,0.00000000
1609.00000000,DELIVERY10,DELIVERY8,0.00000000
1610.00000000,DELIVERY10,DELIVERY8,0.00000000
1611.00000000,DELIVERY10,DELIVERY8,0.00000000
1612.00000000,DELIVERY10,DELIVERY8,0.00000000
1613.00000000,DELIVERY10,DELIVERY8,0.00000000
1614.00000000,DELIVERY10,DELIVERY8,0.00000000
1615.00000000,DELIVERY10,DELIVERY8,0.00000000
1616.00000000,DELIVERY10,DELIVERY8,0.00000000
1616.00000000,DELIVERY11,DELIVERY5,6.66527395
1617.00000000,DELIVERY10,DELIVERY8,0.00000000
1617.00000000,DELIVERY11,DELIVERY5,7.02899573
1618.00000000,DELIVERY10,DELIVERY8,0.00000000
1619.00000000,DELIVERY10,DELIVERY8,0.00000000
1620.00000000,DELIVERY10,DELIVERY8,0.00000000
1621.00000000,DELIVERY10,DELIVERY8,0.00000000
1622.00000000,DELIVERY10,DELIVERY8,0.00000000
1623.00000000,DELIVERY10,DELIVERY8,0.00000000
1624.00000000,DELIVERY10,DELIVERY8,0.00000000
1625.00000000,DELIVERY10,DELIVERY8,0.00000000
1626.00000000,DELIVERY10,DELIVERY8,0.00000000
1627.00000000,DELIVERY10,DELIVERY8,0.00000000
1628.00000000,DELIVERY10,DELIVERY8,0.00000000
1629.00000000,DELIVERY10,DELIVERY8,0.00000000
1630.00000000,DELIVERY10,DELIVERY8,0.00000000
1631.00000000,DELIVERY10,DELIVERY8,0.00000000
1632.00000000,DELIVERY10,DELIVERY8,0.00000000
1633.00000000,DELIVERY10,DELIVERY8,0.00000000
1634.00000000,DELIVERY10,DELIVERY8,0.00000000
1635.00000000,DELIVERY10,DELIVERY8,0.00000000
1636.00000000,DELIVERY10,DELIVERY8,0.00000000
1637.00000000,DELIVERY10,DELIVERY8,0.00000000
1638.00000000,DELIVERY10,DELIVERY8,0.00000000
1639.00000000,DELIVERY10,DELIVERY8,0.00000000
1640.00000000,DELIVERY10,DELIVERY8,0.00000000
1641.00000000,DELIVERY10,DELIVERY8,0.00000000
