# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
679.00000000,BACKGROUND2,DELIVERY2,start
683.00000000,BACKGROUND2,DELIVERY2,end
901.00000000,DELIVERY1,DELIVERY5,start
911.00000000,DELIVERY1,DELIVERY5,end
1114.00000000,DELIVERY4,DELIVERY6,start
1130.00000000,DELIVERY4,DELIVERY6,end
1133.00000000,DELIVERY4,DELIVERY6,start
1138.00000000,DELIVERY4,DELIVERY6,end
1459.00000000,DELIVERY5,DELIVERY7,start
1461.00000000,DELIVERY5,DELIVERY7,end
1501.00000000,DELIVERY11,DELIVERY9,start
1656.00000000,DELIVERY11,DELIVERY7,start
1656.00000000,DELIVERY7,DELIVERY9,start
1678.00000000,DELIVERY11,DELIVERY7,end
1678.00000000,DELIVERY7,DELIVERY9,end
1710.00000000,DELIVERY11,DELIVERY9,end
1713.00000000,DELIVERY11,DELIVERY9,start
1795.00000000,DELIVERY11,DELIVERY8,start
1795.00000000,DELIVERY8,DELIVERY9,start
1802.00000000,DELIVERY11,DELIVERY8,end
1802.00000000,DELIVERY8,DELIVERY9,end
1821.00000000,DELIVERY11,DELIVERY9,end
1866.00000000,DELIVERY11,DELIVERY9,start
1871.00000000,DELIVERY11,DELIVERY9,end
1893.00000000,DELIVERY11,DELIVERY9,start
1895.00000000,DELIVERY11,DELIVERY9,end
1913.00000000,DELIVERY11,DELIVERY9,start
1920.00000000,DELIVERY11,DELIVERY9,end
1945.00000000,DELIVERY11,DELIVERY9,start
1981.00000000,DELIVERY12,DELIVERY7,start
1983.00000000,DELIVERY12,DELIVERY7,end
1997.00000000,DELIVERY11,DELIVERY9,end
2101.00000000,DELIVERY15,DELIVERY16,start
2104.00000000,DELIVERY15,DELIVERY16,end
2247.00000000,DELIVERY12,DELIVERY15,start
2251.00000000,DELIVERY12,DELIVERY15,end
2257.00000000,DELIVERY12,DELIVERY16,start
2258.00000000,DELIVERY12,DELIVERY16,end
2290.00000000,DELIVERY15,DELIVERY16,start
2310.00000000,DELIVERY15,DELIVERY16,end
2313.00000000,DELIVERY15,DELIVERY16,start
2336.00000000,DELIVERY15,DELIVERY16,end
2353.00000000,DELIVERY12,DELIVERY14,start
2356.00000000,DELIVERY12,DELIVERY14,end
2367.00000000,DELIVERY15,DELIVERY16,start
2398.00000000,DELIVERY15,DELIVERY16,end
2664.00000000,DELIVERY14,DELIVERY17,start
2670.00000000,DELIVERY14,DELIVERY17,end
2701.00000000,DELIVERY18,DELIVERY19,start
2959.00000000,DELIVERY17,DELIVERY20,start
2961.00000000,DELIVERY17,DELIVERY20,end
2985.00000000,DELIVERY18,DELIVERY19,end
2988.00000000,DELIVERY18,DELIVERY19,start
3001.00000000,DELIVERY21,DELIVERY22,start
3035.00000000,DELIVERY21,DELIVERY22,end
3072.00000000,DELIVERY18,DELIVERY19,end
3080.00000000,DELIVERY19,DELIVERY20,start
3081.00000000,DELIVERY19,DELIVERY20,end
3143.00000000,DELIVERY21,DELIVERY22,start
3145.00000000,DELIVERY21,DELIVERY22,end
3153.00000000,DELIVERY20,DELIVERY22,start
3155.00000000,DELIVERY20,DELIVERY21,start
3155.00000000,DELIVERY21,DELIVERY22,start
3157.00000000,DELIVERY20,DELIVERY22,end
3158.00000000,DELIVERY20,DELIVERY21,end
3217.00000000,DELIVERY21,DELIVERY22,end
3220.00000000,DELIVERY21,DELIVERY22,start
3226.00000000,DELIVERY21,DELIVERY22,end
3229.00000000,DELIVERY21,DELIVERY22,start
3284.00000000,DELIVERY20,DELIVERY23,start
3287.00000000,DELIVERY20,DELIVERY23,end
3327.00000000,DELIVERY21,DELIVERY22,end
3529.00000000,DELIVERY24,DELIVERY25,start
3549.00000000,DELIVERY23,DELIVERY25,start
3549.00000000,DELIVERY24,DELIVERY25,end
3562.00000000,DELIVERY23,DELIVERY24,start
3571.00000000,DELIVERY23,DELIVERY25,end
3585.00000000,DELIVERY23,DELIVERY24,end
3588.00000000,DELIVERY23,DELIVERY24,start
3593.00000000,DELIVERY23,DELIVERY24,end
3594.00000000,DELIVERY24,DELIVERY25,start
3601.00000000,DELIVERY26,DELIVERY29,start
3601.00000000,DELIVERY27,DELIVERY28,start
