# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
809.00000000,DELIVERY2,DELIVERY3,start
813.00000000,DELIVERY2,DELIVERY3,end
817.00000000,DELIVERY2,DELIVERY3,start
840.00000000,DELIVERY2,DELIVERY3,end
972.00000000,DELIVERY3,DELIVERY6,start
978.00000000,DELIVERY3,DELIVERY6,end
983.00000000,DELIVERY3,DELIVERY6,start
984.00000000,DELIVERY3,DELIVERY6,end
1109.00000000,DELIVERY4,DELIVERY6,start
1110.00000000,DELIVERY4,DELIVERY6,end
1201.00000000,DELIVERY5,DELIVERY7,start
1201.00000000,DELIVERY3,DELIVERY9,start
1204.00000000,DELIVERY3,DELIVERY9,end
1286.00000000,DELIVERY5,DELIVERY7,end
1294.00000000,DELIVERY5,DELIVERY7,start
1430.00000000,DELIVERY5,DELIVERY7,end
1435.00000000,DELIVERY5,DELIVERY7,start
1437.00000000,DELIVERY5,DELIVERY7,end
1479.00000000,DELIVERY8,DELIVERY9,start
1485.00000000,DELIVERY8,DELIVERY9,end
1488.00000000,DELIVERY8,DELIVERY9,start
1495.00000000,DELIVERY8,DELIVERY9,end
1565.00000000,DELIVERY5,DELIVERY9,start
1592.00000000,DELIVERY5,DELIVERY9,end
1630.00000000,DELIVERY5,DELIVERY7,start
1634.00000000,DELIVERY5,DELIVERY7,end
1714.00000000,DELIVERY5,DELIVERY7,start
1718.00000000,DELIVERY5,DELIVERY7,end
1803.00000000,DELIVERY11,DELIVERY9,start
1811.00000000,DELIVERY11,DELIVERY9,end
1928.00000000,DELIVERY12,DELIVERY7,start
1934.00000000,DELIVERY12,DELIVERY7,end
1967.00000000,DELIVERY12,DELIVERY5,start
1973.00000000,DELIVERY12,DELIVERY5,end
2401.00000000,DELIVERY17,DELIVERY20,start
2401.00000000,DELIVERY16,DELIVERY21,start
2401.00000000,DELIVERY15,DELIVERY16,start
2401.00000000,DELIVERY15,DELIVERY21,start
2404.00000000,DELIVERY16,DELIVERY21,end
2404.00000000,DELIVERY15,DELIVERY16,end
2420.00000000,DELIVERY10,DELIVERY18,start
2425.00000000,DELIVERY10,DELIVERY18,end
2440.00000000,DELIVERY15,DELIVERY21,end
2442.00000000,DELIVERY15,DELIVERY21,start
2446.00000000,DELIVERY15,DELIVERY21,end
2447.00000000,DELIVERY15,DELIVERY21,start
2486.00000000,DELIVERY17,DELIVERY20,end
2493.00000000,DELIVERY15,DELIVERY21,end
2494.00000000,DELIVERY17,DELIVERY20,start
2537.00000000,DELIVERY17,DELIVERY20,end
2543.00000000,DELIVERY12,DELIVERY17,start
2550.00000000,DELIVERY14,DELIVERY15,start
2550.00000000,DELIVERY12,DELIVERY17,end
2561.00000000,DELIVERY14,DELIVERY16,start
2572.00000000,DELIVERY15,DELIVERY21,start
2576.00000000,DELIVERY14,DELIVERY15,end
2584.00000000,DELIVERY13,DELIVERY19,start
2584.00000000,DELIVERY16,DELIVERY21,start
2589.00000000,DELIVERY14,DELIVERY16,end
2591.00000000,DELIVERY13,DELIVERY19,end
2594.00000000,DELIVERY15,DELIVERY16,start
2610.00000000,DELIVERY15,DELIVERY16,end
2610.00000000,DELIVERY15,DELIVERY21,end
2613.00000000,DELIVERY15,DELIVERY16,start
2613.00000000,DELIVERY15,DELIVERY21,start
2620.00000000,DELIVERY15,DELIVERY21,end
2630.00000000,DELIVERY15,DELIVERY16,end
2630.00000000,DELIVERY16,DELIVERY21,end
2633.00000000,DELIVERY16,DELIVERY21,start
2641.00000000,DELIVERY16,DELIVERY21,end
2644.00000000,DELIVERY17,DELIVERY20,start
