# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
918.00000000,DELIVERY3,DELIVERY6,start
921.00000000,DELIVERY3,DELIVERY6,end
991.00000000,DELIVERY2,DELIVERY4,start
993.00000000,DELIVERY2,DELIVERY4,end
1218.00000000,DELIVERY6,DELIVERY9,start
1221.00000000,DELIVERY6,DELIVERY9,end
1291.00000000,DELIVERY4,DELIVERY8,start
1293.00000000,DELIVERY4,DELIVERY8,end
1322.00000000,DELIVERY5,DELIVERY9,start
1324.00000000,DELIVERY5,DELIVERY9,end
1518.00000000,DELIVERY11,DELIVERY9,start
1521.00000000,DELIVERY11,DELIVERY9,end
1591.00000000,DELIVERY10,DELIVERY8,start
1593.00000000,DELIVERY10,DELIVERY8,end
1622.00000000,DELIVERY11,DELIVERY7,start
1624.00000000,DELIVERY11,DELIVERY7,end
1818.00000000,DELIVERY11,DELIVERY15,start
1821.00000000,DELIVERY11,DELIVERY15,end
1891.00000000,DELIVERY10,DELIVERY13,start
1893.00000000,DELIVERY10,DELIVERY13,end
1922.00000000,DELIVERY12,DELIVERY15,start
1924.00000000,DELIVERY12,DELIVERY15,end
2118.00000000,DELIVERY15,DELIVERY16,start
2121.00000000,DELIVERY15,DELIVERY16,end
2191.00000000,DELIVERY13,DELIVERY18,start
2193.00000000,DELIVERY13,DELIVERY18,end
2222.00000000,DELIVERY14,DELIVERY16,start
2224.00000000,DELIVERY14,DELIVERY16,end
2241.00000000,BACKGROUND8,DELIVERY13,start
2245.00000000,BACKGROUND8,DELIVERY13,end
2418.00000000,DELIVERY16,DELIVERY21,start
2421.00000000,DELIVERY16,DELIVERY21,end
2491.00000000,DELIVERY18,DELIVERY19,start
2493.00000000,DELIVERY18,DELIVERY19,end
2522.00000000,DELIVERY17,DELIVERY21,start
2524.00000000,DELIVERY17,DELIVERY21,end
2715.00000000,BACKGROUND10,DELIVERY17,start
2718.00000000,DELIVERY21,DELIVERY22,start
2718.00000000,BACKGROUND10,DELIVERY17,end
2721.00000000,DELIVERY21,DELIVERY22,end
2791.00000000,DELIVERY19,DELIVERY24,start
2793.00000000,DELIVERY19,DELIVERY24,end
2822.00000000,DELIVERY20,DELIVERY22,start
2824.00000000,DELIVERY20,DELIVERY22,end
3018.00000000,DELIVERY22,DELIVERY25,start
3021.00000000,DELIVERY22,DELIVERY25,end
3091.00000000,DELIVERY24,DELIVERY26,start
3093.00000000,DELIVERY24,DELIVERY26,end
3122.00000000,DELIVERY23,DELIVERY25,start
3124.00000000,DELIVERY23,DELIVERY25,end
3318.00000000,DELIVERY25,DELIVERY30,start
3321.00000000,DELIVERY25,DELIVERY30,end
3391.00000000,DELIVERY26,DELIVERY29,start
3393.00000000,DELIVERY26,DELIVERY29,end
3422.00000000,DELIVERY27,DELIVERY30,start
3424.00000000,DELIVERY27,DELIVERY30,end
