# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
906.00000000,DELIVERY1,DELIVERY5,0.68775021
1372.00000000,DELIVERY5,DELIVERY9,0.30207975
1444.00000000,DELIVERY5,DELIVERY9,3.05901227
1492.00000000,DELIVERY5,DELIVERY7,4.58538997
1730.00000000,DELIVERY11,DELIVERY8,0.28315689
1801.00000000,DELIVERY10,DELIVERY13,0.00000000
1802.00000000,DELIVERY10,DELIVERY13,0.00000000
1803.00000000,DELIVERY10,DELIVERY13,0.00000000
1804.00000000,DELIVERY10,DELIVERY13,0.00000000
1805.00000000,DELIVERY10,DELIVERY13,0.00000000
1806.00000000,DELIVERY10,DELIVERY13,0.00000000
1807.00000000,DELIVERY10,DELIVERY13,0.00000000
1808.00000000,DELIVERY10,DELIVERY13,0.00000000
1809.00000000,DELIVERY10,DELIVERY13,0.00000000
1810.00000000,DELIVERY10,DELIVERY13,0.00000000
1811.00000000,DELIVERY10,DELIVERY13,0.00000000
1812.00000000,DELIVERY10,DELIVERY13,0.00000000
1813.00000000,DELIVERY10,DELIVERY13,0.00000000
1814.00000000,DELIVERY10,DELIVERY13,0.00000000
1815.00000000,DELIVERY10,DELIVERY13,0.00000000
1816.00000000,DELIVERY10,DELIVERY13,0.00000000
1817.00000000,DELIVERY10,DELIVERY13,0.00000000
1818.00000000,DELIVERY10,DELIVERY13,0.00000000
1819.00000000,DELIVERY10,DELIVERY13,0.00000000
1820.00000000,DELIVERY10,DELIVERY13,0.00000000
1821.00000000,DELIVERY10,DELIVERY13,0.00000000
1822.00000000,DELIVERY10,DELIVERY13,0.00000000
1823.00000000,DELIVERY10,DELIVERY13,0.00000000
1824.00000000,DELIVERY10,DELIVERY13,0.00000000
1825.00000000,DELIVERY10,DELIVERY13,0.00000000
1826.00000000,DELIVERY10,DELIVERY13,0.00000000
1827.00000000,DELIVERY10,DELIVERY13,0.00000000
1828.00000000,DELIVERY10,DELIVERY13,0.00000000
1829.00000000,DELIVERY10,DELIVERY13,0.00000000
1830.00000000,DELIVERY10,DELIVERY13,0.00000000
1831.00000000,DELIVERY10,DELIVERY13,0.00000000
1832.00000000,DELIVERY10,DELIVERY13,0.00000000
1833.00000000,DELIVERY10,DELIVERY13,0.00000000
1834.00000000,DELIVERY10,DELIVERY13,0.00000000
1835.00000000,DELIVERY10,DELIVERY13,0.00000000
1836.00000000,DELIVERY10,DELIVERY13,0.00000000
1837.00000000,DELIVERY10,DELIVERY13,0.00000000
1838.00000000,DELIVERY10,DELIVERY13,0.00000000
1839.00000000,DELIVERY10,DELIVERY13,0.00000000
1840.00000000,DELIVERY10,DELIVERY13,0.00000000
1841.00000000,DELIVERY10,DELIVERY13,0.00000000
1842.00000000,DELIVERY10,DELIVERY13,0.00000000
1843.00000000,DELIVERY10,DELIVERY13,0.00000000
1844.00000000,DELIVERY10,DELIVERY13,0.00000000
1845.00000000,DELIVERY10,DELIVERY13,0.01093823
1875.00000000,DELIVERY10,DELIVERY8,0.01227160
2101.00000000,DELIVERY12,DELIVERY14,0.00000000
2101.00000000,DELIVERY12,DELIVERY17,0.00000000
2101.00000000,DELIVERY14,DELIVERY17,0.00000000
2101.00000000,DELIVERY15,DELIVERY16,0.00000000
2102.00000000,DELIVERY12,DELIVERY14,0.00000000
2102.00000000,DELIVERY12,DELIVERY17,0.00000000
2102.00000000,DELIVERY14,DELIVERY17,0.00000000
2102.00000000,DELIVERY15,DELIVERY16,0.00000000
2103.00000000,DELIVERY12,DELIVERY14,0.00000000
2103.00000000,DELIVERY12,DELIVERY17,0.00000000
2103.00000000,DELIVERY14,DELIVERY17,0.00000000
2103.00000000,DELIVERY15,DELIVERY16,0.00000000
2104.00000000,DELIVERY12,DELIVERY14,0.00000000
2104.00000000,DELIVERY12,DELIVERY17,0.00000000
2104.00000000,DELIVERY14,DELIVERY17,0.00000000
2104.00000000,DELIVERY15,DELIVERY16,0.00000000
2105.00000000,DELIVERY12,DELIVERY14,0.00000000
2105.00000000,DELIVERY12,DELIVERY17,0.00000000
2105.00000000,DELIVERY14,DELIVERY17,0.00000000
2105.00000000,DELIVERY15,DELIVERY16,0.00000000
2106.00000000,DELIVERY12,DELIVERY14,0.00000000
2106.00000000,DELIVERY12,DELIVERY17,0.00000000
2106.00000000,DELIVERY14,DELIVERY17,0.00000000
2106.00000000,DELIVERY15,DELIVERY16,0.00000000
2107.00000000,DELIVERY12,DELIVERY14,0.00000000
2107.00000000,DELIVERY12,DELIVERY17,0.00000000
2107.00000000,DELIVERY14,DELIVERY17,0.00000000
2107.00000000,DELIVERY15,DELIVERY16,0.00000000
2108.00000000,DELIVERY12,DELIVERY14,0.00000000
2108.00000000,DELIVERY12,DELIVERY17,0.00000000
2108.00000000,DELIVERY14,DELIVERY17,0.00000000
2108.00000000,DELIVERY15,DELIVERY16,0.00000000
2109.00000000,DELIVERY12,DELIVERY14,0.00000000
2109.00000000,DELIVERY12,DELIVERY17,0.00000000
2109.00000000,DELIVERY14,DELIVERY17,0.00000000
2109.00000000,DELIVERY15,DELIVERY16,0.00000000
2110.00000000,DELIVERY12,DELIVERY14,0.00000000
2110.00000000,DELIVERY12,DELIVERY17,0.00000000
2110.00000000,DELIVERY14,DELIVERY17,0.00000000
2110.00000000,DELIVERY15,DELIVERY16,0.00000000
2111.00000000,DELIVERY12,DELIVERY14,0.00000000
2111.00000000,DELIVERY12,DELIVERY17,0.00000000
2111.00000000,DELIVERY14,DELIVERY17,0.00000000
2111.00000000,DELIVERY15,DELIVERY16,0.00000000
2112.00000000,DELIVERY12,DELIVERY14,0.00000000
2112.00000000,DELIVERY12,DELIVERY17,0.00000000
2112.00000000,DELIVERY14,DELIVERY17,0.00000000
2112.00000000,DELIVERY15,DELIVERY16,0.00000000
2113.00000000,DELIVERY12,DELIVERY14,0.00000000
2113.00000000,DELIVERY12,DELIVERY17,0.00000000
2113.00000000,DELIVERY14,DELIVERY17,0.00000000
2113.00000000,DELIVERY15,DELIVERY16,0.00000000
2114.00000000,DELIVERY12,DELIVERY14,0.00000000
2114.00000000,DELIVERY12,DELIVERY17,0.00000000
2114.00000000,DELIVERY14,DELIVERY17,0.00000000
2114.00000000,DELIVERY15,DELIVERY16,0.00000000
2115.00000000,DELIVERY12,DELIVERY14,0.00000000
2115.00000000,DELIVERY12,DELIVERY17,0.00000000
2115.00000000,DELIVERY14,DELIVERY17,0.00000000
2115.00000000,DELIVERY15,DELIVERY16,0.00000000
2116.00000000,DELIVERY12,DELIVERY14,0.00000000
2116.00000000,DELIVERY12,DELIVERY17,0.00000000
2116.00000000,DELIVERY14,DELIVERY17,0.00000000
2116.00000000,DELIVERY15,DELIVERY16,0.00000000
2117.00000000,DELIVERY12,DELIVERY14,0.00000000
2117.00000000,DELIVERY12,DELIVERY17,0.00000000
2117.00000000,DELIVERY14,DELIVERY17,0.00000000
2117.00000000,DELIVERY15,DELIVERY16,0.00000000
2118.00000000,DELIVERY12,DELIVERY14,0.00000000
2118.00000000,DELIVERY12,DELIVERY17,0.00000000
2118.00000000,DELIVERY14,DELIVERY17,0.00000000
2118.00000000,DELIVERY15,DELIVERY16,0.00000000
2119.00000000,DELIVERY12,DELIVERY14,0.00000000
2119.00000000,DELIVERY12,DELIVERY17,0.00000000
2119.00000000,DELIVERY14,DELIVERY17,0.00000000
2119.00000000,DELIVERY15,DELIVERY16,0.00000000
2120.00000000,DELIVERY12,DELIVERY14,0.00000000
2120.00000000,DELIVERY12,DELIVERY17,0.00000000
2120.00000000,DELIVERY14,DELIVERY17,0.00000000
2120.00000000,DELIVERY15,DELIVERY16,0.00000000
2121.00000000,DELIVERY12,DELIVERY14,0.00000000
2121.00000000,DELIVERY12,DELIVERY17,0.00000000
2121.00000000,DELIVERY14,DELIVERY17,0.00000000
2121.00000000,DELIVERY15,DELIVERY16,0.00000000
2122.00000000,DELIVERY12,DELIVERY14,0.00000000
2122.00000000,DELIVERY12,DELIVERY17,0.00000000
2122.00000000,DELIVERY14,DELIVERY17,0.00000000
2122.00000000,DELIVERY15,DELIVERY16,0.00000000
2123.00000000,DELIVERY12,DELIVERY14,0.00000000
2123.00000000,DELIVERY12,DELIVERY17,0.00000000
2123.00000000,DELIVERY14,DELIVERY17,0.00000000
2123.00000000,DELIVERY15,DELIVERY16,0.00000000
2124.00000000,DELIVERY12,DELIVERY14,0.00000000
2124.00000000,DELIVERY12,DELIVERY17,0.00000000
2124.00000000,DELIVERY14,DELIVERY17,0.00000000
2124.00000000,DELIVERY15,DELIVERY16,0.00000000
2125.00000000,DELIVERY12,DELIVERY14,0.00000000
2125.00000000,DELIVERY12,DELIVERY17,0.00000000
2125.00000000,DELIVERY14,DELIVERY17,0.00000000
2125.00000000,DELIVERY15,DELIVERY16,0.00000000
2126.00000000,DELIVERY12,DELIVERY14,0.00000000
2126.00000000,DELIVERY12,DELIVERY17,0.00000000
2126.00000000,DELIVERY14,DELIVERY17,0.00000000
2126.00000000,DELIVERY15,DELIVERY16,0.00000000
2127.00000000,DELIVERY12,DELIVERY14,0.00000000
2127.00000000,DELIVERY12,DELIVERY17,0.00000000
2127.00000000,DELIVERY14,DELIVERY17,0.00000000
2127.00000000,DELIVERY15,DELIVERY16,0.00000000
2128.00000000,DELIVERY12,DELIVERY14,0.00000000
2128.00000000,DELIVERY12,DELIVERY17,0.00000000
2128.00000000,DELIVERY14,DELIVERY17,0.00000000
2128.00000000,DELIVERY15,DELIVERY16,0.00000000
2129.00000000,DELIVERY12,DELIVERY14,0.00000000
2129.00000000,DELIVERY12,DELIVERY17,0.00000000
2129.00000000,DELIVERY14,DELIVERY17,0.00000000
2129.00000000,DELIVERY15,DELIVERY16,0.00000000
2130.00000000,DELIVERY12,DELIVERY14,0.00000000
2130.00000000,DELIVERY12,DELIVERY17,0.00000000
2130.00000000,DELIVERY14,DELIVERY17,0.00000000
2130.00000000,DELIVERY15,DELIVERY16,0.00000000
2131.00000000,DELIVERY12,DELIVERY14,0.00000000
2131.00000000,DELIVERY12,DELIVERY17,0.00000000
2131.00000000,DELIVERY14,DELIVERY17,0.00000000
2131.00000000,DELIVERY15,DELIVERY16,0.00000000
2132.00000000,DELIVERY12,DELIVERY14,0.00000000
2132.00000000,DELIVERY12,DELIVERY17,0.00000000
2132.00000000,DELIVERY14,DELIVERY17,0.00000000
2132.00000000,DELIVERY15,DELIVERY16,0.00000000
2133.00000000,DELIVERY12,DELIVERY14,0.00000000
2133.00000000,DELIVERY12,DELIVERY17,0.00000000
2133.00000000,DELIVERY14,DELIVERY17,0.00000000
2133.00000000,DELIVERY15,DELIVERY16,0.00000000
2134.00000000,DELIVERY12,DELIVERY14,0.00000000
2134.00000000,DELIVERY12,DELIVERY17,0.00000000
2134.00000000,DELIVERY14,DELIVERY17,0.00000000
2134.00000000,DELIVERY15,DELIVERY16,0.00000000
2135.00000000,DELIVERY12,DELIVERY14,0.00000000
2135.00000000,DELIVERY12,DELIVERY17,0.00000000
2135.00000000,DELIVERY14,DELIVERY17,0.00000000
2135.00000000,DELIVERY15,DELIVERY16,0.00000000
2136.00000000,DELIVERY12,DELIVERY14,0.00000000
2136.00000000,DELIVERY12,DELIVERY17,0.00000000
2136.00000000,DELIVERY14,DELIVERY17,0.00000000
2136.00000000,DELIVERY15,DELIVERY16,0.00000000
2137.00000000,DELIVERY12,DELIVERY14,0.00000000
2137.00000000,DELIVERY12,DELIVERY17,0.00000000
2137.00000000,DELIVERY14,DELIVERY17,0.00000000
2137.00000000,DELIVERY15,DELIVERY16,0.00000000
2138.00000000,DELIVERY12,DELIVERY14,0.00000000
2138.00000000,DELIVERY12,DELIVERY17,0.00000000
2138.00000000,DELIVERY14,DELIVERY17,0.00000000
2138.00000000,DELIVERY15,DELIVERY16,0.00000000
2139.00000000,DELIVERY12,DELIVERY14,0.00000000
2139.00000000,DELIVERY12,DELIVERY17,0.00000000
2139.00000000,DELIVERY14,DELIVERY17,0.00000000
2139.00000000,DELIVERY15,DELIVERY16,0.00000000
2140.00000000,DELIVERY12,DELIVERY14,0.00000000
2140.00000000,DELIVERY12,DELIVERY17,0.00000000
2140.00000000,DELIVERY14,DELIVERY17,0.00000000
2141.00000000,DELIVERY12,DELIVERY14,0.00000000
2141.00000000,DELIVERY12,DELIVERY17,0.00000000
2141.00000000,DELIVERY14,DELIVERY17,0.00000000
2142.00000000,DELIVERY12,DELIVERY14,0.00000000
2142.00000000,DELIVERY12,DELIVERY17,0.00000000
2142.00000000,DELIVERY14,DELIVERY17,0.00000000
2142.00000000,DELIVERY15,DELIVERY16,0.00000000
2143.00000000,DELIVERY12,DELIVERY14,0.00000000
2143.00000000,DELIVERY12,DELIVERY17,0.00000000
2143.00000000,DELIVERY14,DELIVERY17,0.00000000
2143.00000000,DELIVERY15,DELIVERY16,0.00000000
2144.00000000,DELIVERY12,DELIVERY14,0.00000000
2144.00000000,DELIVERY12,DELIVERY17,0.00000000
2144.00000000,DELIVERY14,DELIVERY17,0.00000000
2144.00000000,DELIVERY15,DELIVERY16,0.00000000
2145.00000000,DELIVERY12,DELIVERY14,0.00000000
2145.00000000,DELIVERY12,DELIVERY17,0.00000000
2145.00000000,DELIVERY14,DELIVERY17,0.00000000
2145.00000000,DELIVERY15,DELIVERY16,0.00000000
2146.00000000,DELIVERY12,DELIVERY14,0.00000000
2146.00000000,DELIVERY12,DELIVERY17,0.00000000
2146.00000000,DELIVERY14,DELIVERY17,0.00000000
2147.00000000,DELIVERY12,DELIVERY14,0.00000000
2147.00000000,DELIVERY12,DELIVERY17,0.00000000
2147.00000000,DELIVERY14,DELIVERY17,0.00000000
2147.00000000,DELIVERY15,DELIVERY16,0.00000000
2148.00000000,DELIVERY12,DELIVERY14,0.00000000
2148.00000000,DELIVERY12,DELIVERY17,0.00000000
2148.00000000,DELIVERY14,DELIVERY17,0.00000000
2148.00000000,DELIVERY15,DELIVERY16,0.00000000
2149.00000000,DELIVERY12,DELIVERY14,0.00000000
2149.00000000,DELIVERY12,DELIVERY17,0.00000000
2149.00000000,DELIVERY14,DELIVERY17,0.00000000
2149.00000000,DELIVERY15,DELIVERY16,0.00000000
2150.00000000,DELIVERY12,DELIVERY14,0.00000000
2150.00000000,DELIVERY12,DELIVERY17,0.00000000
2150.00000000,DELIVERY14,DELIVERY17,0.00000000
2150.00000000,DELIVERY15,DELIVERY16,0.00000000
2151.00000000,DELIVERY12,DELIVERY14,0.00000000
2151.00000000,DELIVERY12,DELIVERY17,0.00000000
2151.00000000,DELIVERY14,DELIVERY17,0.00000000
2151.00000000,DELIVERY15,DELIVERY16,0.00000000
2152.00000000,DELIVERY12,DELIVERY14,0.00000000
2152.00000000,DELIVERY12,DELIVERY17,0.00000000
2152.00000000,DELIVERY14,DELIVERY17,0.00000000
2152.00000000,DELIVERY15,DELIVERY16,0.00000000
2153.00000000,DELIVERY12,DELIVERY14,0.00000000
2153.00000000,DELIVERY12,DELIVERY17,0.00000000
2153.00000000,DELIVERY14,DELIVERY17,0.00000000
2153.00000000,DELIVERY15,DELIVERY16,0.00000000
2154.00000000,DELIVERY12,DELIVERY14,0.00000000
2154.00000000,DELIVERY12,DELIVERY17,0.00000000
2154.00000000,DELIVERY14,DELIVERY17,0.00000000
2154.00000000,DELIVERY15,DELIVERY16,0.00000000
2155.00000000,DELIVERY12,DELIVERY14,0.00000000
2155.00000000,DELIVERY12,DELIVERY17,0.00000000
2155.00000000,DELIVERY14,DELIVERY17,0.00000000
2155.00000000,DELIVERY15,DELIVERY16,0.00000000
2156.00000000,DELIVERY12,DELIVERY14,0.00000000
2156.00000000,DELIVERY12,DELIVERY17,0.00000000
2156.00000000,DELIVERY14,DELIVERY17,0.00000000
2156.00000000,DELIVERY15,DELIVERY16,0.00000000
2157.00000000,DELIVERY12,DELIVERY14,0.00000000
2157.00000000,DELIVERY12,DELIVERY17,0.00000000
2157.00000000,DELIVERY14,DELIVERY17,0.00000000
2157.00000000,DELIVERY15,DELIVERY16,0.00000000
2158.00000000,DELIVERY12,DELIVERY14,0.00000000
2158.00000000,DELIVERY12,DELIVERY17,0.00000000
2158.00000000,DELIVERY14,DELIVERY17,0.00000000
2158.00000000,DELIVERY15,DELIVERY16,0.00000000
2159.00000000,DELIVERY12,DELIVERY14,0.00000000
2159.00000000,DELIVERY12,DELIVERY17,0.00000000
2159.00000000,DELIVERY14,DELIVERY17,0.00000000
2159.00000000,DELIVERY15,DELIVERY16,0.00000000
