# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
810.00000000,DELIVERY2,DELIVERY3,start
811.00000000,DELIVERY2,DELIVERY3,end
912.00000000,DELIVERY3,DELIVERY6,start
921.00000000,DELIVERY3,DELIVERY6,end
984.00000000,DELIVERY2,DELIVERY4,start
993.00000000,DELIVERY2,DELIVERY4,end
1110.00000000,DELIVERY4,DELIVERY6,start
1111.00000000,DELIVERY4,DELIVERY6,end
1212.00000000,DELIVERY6,DELIVERY9,start
1221.00000000,DELIVERY6,DELIVERY9,end
1284.00000000,DELIVERY4,DELIVERY8,start
1293.00000000,DELIVERY4,DELIVERY8,end
1313.00000000,DELIVERY5,DELIVERY9,start
1324.00000000,DELIVERY5,DELIVERY9,end
1331.00000000,BACKGROUND6,DELIVERY8,start
1337.00000000,BACKGROUND6,DELIVERY8,end
1410.00000000,DELIVERY8,DELIVERY9,start
1411.00000000,DELIVERY8,DELIVERY9,end
1512.00000000,DELIVERY11,DELIVERY9,start
1521.00000000,DELIVERY11,DELIVERY9,end
1584.00000000,DELIVERY10,DELIVERY8,start
1593.00000000,DELIVERY10,DELIVERY8,end
1613.00000000,DELIVERY11,DELIVERY7,start
1624.00000000,DELIVERY11,DELIVERY7,end
1710.00000000,DELIVERY10,DELIVERY11,start
1711.00000000,DELIVERY10,DELIVERY11,end
1812.00000000,DELIVERY11,DELIVERY15,start
1821.00000000,DELIVERY11,DELIVERY15,end
1884.00000000,DELIVERY10,DELIVERY13,start
1893.00000000,DELIVERY10,DELIVERY13,end
1913.00000000,DELIVERY12,DELIVERY15,start
1924.00000000,DELIVERY12,DELIVERY15,end
2010.00000000,DELIVERY13,DELIVERY15,start
2011.00000000,DELIVERY13,DELIVERY15,end
2112.00000000,DELIVERY15,DELIVERY16,start
2121.00000000,DELIVERY15,DELIVERY16,end
2184.00000000,DELIVERY13,DELIVERY18,start
2193.00000000,DELIVERY13,DELIVERY18,end
2213.00000000,DELIVERY14,DELIVERY16,start
2224.00000000,DELIVERY14,DELIVERY16,end
2310.00000000,DELIVERY16,DELIVERY18,start
2311.00000000,DELIVERY16,DELIVERY18,end
2412.00000000,DELIVERY16,DELIVERY21,start
2421.00000000,DELIVERY16,DELIVERY21,end
2484.00000000,DELIVERY18,DELIVERY19,start
2493.00000000,DELIVERY18,DELIVERY19,end
2513.00000000,DELIVERY17,DELIVERY21,start
2524.00000000,DELIVERY17,DELIVERY21,end
2610.00000000,DELIVERY19,DELIVERY21,start
2611.00000000,DELIVERY19,DELIVERY21,end
2712.00000000,DELIVERY21,DELIVERY22,start
2721.00000000,DELIVERY21,DELIVERY22,end
2784.00000000,DELIVERY19,DELIVERY24,start
2793.00000000,DELIVERY19,DELIVERY24,end
2813.00000000,DELIVERY20,DELIVERY22,start
2824.00000000,DELIVERY20,DELIVERY22,end
2910.00000000,DELIVERY22,DELIVERY24,start
2911.00000000,DELIVERY22,DELIVERY24,end
3012.00000000,DELIVERY22,DELIVERY25,start
3021.00000000,DELIVERY22,DELIVERY25,end
3084.00000000,DELIVERY24,DELIVERY26,start
3093.00000000,DELIVERY24,DELIVERY26,end
3113.00000000,DELIVERY23,DELIVERY25,start
3124.00000000,DELIVERY23,DELIVERY25,end
3210.00000000,DELIVERY25,DELIVERY26,start
3211.00000000,DELIVERY25,DELIVERY26,end
3312.00000000,DELIVERY25,DELIVERY30,start
3321.00000000,DELIVERY25,DELIVERY30,end
3384.00000000,DELIVERY26,DELIVERY29,start
3393.00000000,DELIVERY26,DELIVERY29,end
3413.00000000,DELIVERY27,DELIVERY30,start
3424.00000000,DELIVERY27,DELIVERY30,end
3510.00000000,DELIVERY29,DELIVERY30,start
3511.00000000,DELIVERY29,DELIVERY30,end
