# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
603.00000000,BACKGROUND10,DELIVERY1,0.56584273
1337.00000000,BACKGROUND40,BACKGROUND45,0.09175426
1339.00000000,BACKGROUND40,BACKGROUND45,2.70893975
1344.00000000,BACKGROUND40,BACKGROUND45,0.28859183
1378.00000000,BACKGROUND16,BACKGROUND55,0.97822006
1381.00000000,BACKGROUND35,BACKGROUND57,4.53228014
1382.00000000,DELIVERY6,DELIVERY9,0.17162751
1383.00000000,DELIVERY6,DELIVERY9,1.65998189
1384.00000000,DELIVERY6,DELIVERY9,1.65998189
1385.00000000,DELIVERY6,DELIVERY9,1.65998189
1386.00000000,DELIVERY6,DELIVERY9,1.65998189
1387.00000000,DELIVERY6,DELIVERY9,1.65998189
1388.00000000,DELIVERY6,DELIVERY9,1.65998189
1389.00000000,DELIVERY6,DELIVERY9,1.65998189
1390.00000000,DELIVERY6,DELIVERY9,1.65998189
1391.00000000,DELIVERY6,DELIVERY9,1.65998189
1392.00000000,DELIVERY6,DELIVERY9,1.65998189
1393.00000000,DELIVERY6,DELIVERY9,1.65998189
1394.00000000,DELIVERY6,DELIVERY9,1.65998189
1395.00000000,DELIVERY6,DELIVERY9,1.65998189
1396.00000000,DELIVERY6,DELIVERY9,1.65998189
1397.00000000,DELIVERY6,DELIVERY9,1.65998189
1398.00000000,DELIVERY6,DELIVERY9,1.65998189
1399.00000000,BACKGROUND55,DELIVERY4,0.00004624
1399.00000000,DELIVERY6,DELIVERY9,1.65998189
1400.00000000,DELIVERY6,DELIVERY9,1.65998189
1401.00000000,DELIVERY6,DELIVERY9,1.65998189
1402.00000000,DELIVERY6,DELIVERY9,1.65998189
1403.00000000,DELIVERY6,DELIVERY9,1.65998189
1404.00000000,DELIVERY6,DELIVERY9,1.65998189
1405.00000000,DELIVERY6,DELIVERY9,1.65998189
1406.00000000,DELIVERY6,DELIVERY9,1.65998189
1407.00000000,DELIVERY6,DELIVERY9,1.65998189
1408.00000000,DELIVERY6,DELIVERY9,1.65998189
1409.00000000,DELIVERY6,DELIVERY9,1.65998189
1506.00000000,DELIVERY11,DELIVERY5,0.00310061
