# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
131.00000000,BACKGROUND3,DELIVERY1,start
132.00000000,BACKGROUND3,DELIVERY1,end
174.00000000,BACKGROUND3,DELIVERY1,start
251.00000000,BACKGROUND3,DELIVERY1,end
423.00000000,BACKGROUND5,DELIVERY1,start
424.00000000,BACKGROUND5,DELIVERY1,end
430.00000000,BACKGROUND5,DELIVERY1,start
439.00000000,BACKGROUND5,DELIVERY1,end
478.00000000,BACKGROUND12,BACKGROUND5,start
480.00000000,BACKGROUND12,BACKGROUND5,end
483.00000000,BACKGROUND12,BACKGROUND5,start
490.00000000,BACKGROUND20,BACKGROUND4,start
492.00000000,BACKGROUND20,BACKGROUND4,end
494.00000000,BACKGROUND20,BACKGROUND4,start
494.00000000,BACKGROUND12,BACKGROUND5,end
504.00000000,BACKGROUND20,BACKGROUND4,end
572.00000000,BACKGROUND26,BACKGROUND29,start
574.00000000,BACKGROUND26,BACKGROUND29,end
683.00000000,BACKGROUND13,BACKGROUND32,start
699.00000000,BACKGROUND13,BACKGROUND32,end
701.00000000,BACKGROUND22,BACKGROUND24,start
712.00000000,BACKGROUND22,BACKGROUND24,end
810.00000000,DELIVERY2,DELIVERY3,start
811.00000000,DELIVERY2,DELIVERY3,end
819.00000000,BACKGROUND32,BACKGROUND36,start
822.00000000,BACKGROUND32,BACKGROUND36,end
912.00000000,DELIVERY2,DELIVERY5,start
921.00000000,DELIVERY2,DELIVERY5,end
984.00000000,DELIVERY3,DELIVERY6,start
993.00000000,DELIVERY3,DELIVERY6,end
998.00000000,BACKGROUND39,BACKGROUND48,start
1009.00000000,BACKGROUND39,BACKGROUND48,end
1103.00000000,BACKGROUND44,BACKGROUND51,start
1107.00000000,BACKGROUND44,BACKGROUND51,end
1110.00000000,DELIVERY5,DELIVERY6,start
1111.00000000,DELIVERY5,DELIVERY6,end
1136.00000000,BACKGROUND51,DELIVERY4,start
1148.00000000,BACKGROUND51,DELIVERY4,end
1188.00000000,BACKGROUND36,BACKGROUND56,start
1202.00000000,BACKGROUND51,DELIVERY9,start
1209.00000000,BACKGROUND51,DELIVERY9,end
1212.00000000,DELIVERY5,DELIVERY9,start
1213.00000000,BACKGROUND36,BACKGROUND56,end
1221.00000000,DELIVERY5,DELIVERY9,end
1247.00000000,BACKGROUND48,BACKGROUND63,start
1251.00000000,BACKGROUND48,BACKGROUND63,end
1284.00000000,DELIVERY6,DELIVERY7,start
1288.00000000,BACKGROUND51,DELIVERY5,start
1290.00000000,BACKGROUND51,DELIVERY5,end
1293.00000000,DELIVERY6,DELIVERY7,end
1313.00000000,DELIVERY4,DELIVERY9,start
1324.00000000,DELIVERY4,DELIVERY9,end
1329.00000000,BACKGROUND54,BACKGROUND64,start
1330.00000000,BACKGROUND52,BACKGROUND58,start
1331.00000000,BACKGROUND52,BACKGROUND58,end
1332.00000000,BACKGROUND52,BACKGROUND58,start
1336.00000000,BACKGROUND35,BACKGROUND68,start
1341.00000000,BACKGROUND54,BACKGROUND64,end
1342.00000000,BACKGROUND35,BACKGROUND68,end
1346.00000000,BACKGROUND52,BACKGROUND58,end
1410.00000000,DELIVERY7,DELIVERY9,start
1411.00000000,DELIVERY7,DELIVERY9,end
1508.00000000,BACKGROUND71,BACKGROUND72,start
1512.00000000,DELIVERY11,DELIVERY9,start
1521.00000000,DELIVERY11,DELIVERY9,end
1521.00000000,BACKGROUND71,BACKGROUND72,end
1584.00000000,BACKGROUND78,DELIVERY10,start
1584.00000000,DELIVERY12,DELIVERY7,start
1586.00000000,BACKGROUND78,DELIVERY10,end
1593.00000000,DELIVERY12,DELIVERY7,end
1608.00000000,BACKGROUND76,BACKGROUND79,start
1611.00000000,BACKGROUND76,BACKGROUND79,end
1613.00000000,DELIVERY11,DELIVERY8,start
1624.00000000,DELIVERY11,DELIVERY8,end
1649.00000000,BACKGROUND78,DELIVERY10,start
1652.00000000,BACKGROUND78,DELIVERY10,end
1653.00000000,BACKGROUND76,BACKGROUND79,start
1655.00000000,BACKGROUND76,BACKGROUND79,end
1703.00000000,BACKGROUND76,BACKGROUND79,start
1704.00000000,BACKGROUND76,BACKGROUND79,end
1710.00000000,DELIVERY11,DELIVERY12,start
1711.00000000,DELIVERY11,DELIVERY12,end
1712.00000000,BACKGROUND78,DELIVERY10,start
1719.00000000,BACKGROUND78,DELIVERY10,end
1722.00000000,BACKGROUND78,DELIVERY10,start
1728.00000000,BACKGROUND78,DELIVERY10,end
1737.00000000,BACKGROUND75,DELIVERY8,start
1745.00000000,BACKGROUND75,DELIVERY8,end
1746.00000000,BACKGROUND78,DELIVERY10,start
1751.00000000,BACKGROUND78,DELIVERY10,end
1756.00000000,BACKGROUND78,DELIVERY11,start
1767.00000000,BACKGROUND78,DELIVERY11,end
1812.00000000,DELIVERY11,DELIVERY13,start
1815.00000000,BACKGROUND78,DELIVERY12,start
1821.00000000,DELIVERY11,DELIVERY13,end
1822.00000000,BACKGROUND80,BACKGROUND87,start
1828.00000000,BACKGROUND78,DELIVERY12,end
1829.00000000,BACKGROUND80,BACKGROUND87,end
1837.00000000,BACKGROUND80,DELIVERY13,start
1838.00000000,BACKGROUND78,DELIVERY12,start
1847.00000000,BACKGROUND78,DELIVERY12,end
1849.00000000,BACKGROUND80,DELIVERY13,end
1884.00000000,BACKGROUND91,BACKGROUND97,start
1884.00000000,DELIVERY12,DELIVERY15,start
1888.00000000,BACKGROUND91,BACKGROUND97,end
1893.00000000,DELIVERY12,DELIVERY15,end
1913.00000000,DELIVERY10,DELIVERY13,start
1924.00000000,DELIVERY10,DELIVERY13,end
2003.00000000,BACKGROUND90,DELIVERY10,start
2004.00000000,BACKGROUND90,DELIVERY10,end
2010.00000000,DELIVERY13,DELIVERY15,start
2011.00000000,DELIVERY13,DELIVERY15,end
2025.00000000,BACKGROUND74,BACKGROUND89,start
2035.00000000,BACKGROUND74,BACKGROUND89,end
2050.00000000,BACKGROUND98,DELIVERY10,start
2056.00000000,BACKGROUND90,BACKGROUND98,start
2062.00000000,BACKGROUND98,DELIVERY10,end
2068.00000000,BACKGROUND90,BACKGROUND98,end
2091.00000000,BACKGROUND98,DELIVERY13,start
2101.00000000,BACKGROUND98,DELIVERY13,end
2110.00000000,BACKGROUND100,BACKGROUND74,start
2112.00000000,DELIVERY13,DELIVERY16,start
2121.00000000,DELIVERY13,DELIVERY16,end
2122.00000000,BACKGROUND100,BACKGROUND74,end
2148.00000000,BACKGROUND87,BACKGROUND93,start
2184.00000000,DELIVERY15,DELIVERY17,start
2187.00000000,BACKGROUND87,BACKGROUND93,end
2193.00000000,DELIVERY15,DELIVERY17,end
2206.00000000,BACKGROUND89,DELIVERY17,start
2209.00000000,BACKGROUND89,DELIVERY17,end
2213.00000000,DELIVERY14,DELIVERY16,start
2219.00000000,BACKGROUND95,DELIVERY18,start
2222.00000000,BACKGROUND105,BACKGROUND107,start
