# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
175.00000000,BACKGROUND3,DELIVERY1,start
251.00000000,BACKGROUND3,DELIVERY1,end
435.00000000,BACKGROUND5,DELIVERY1,start
439.00000000,BACKGROUND5,DELIVERY1,end
491.00000000,BACKGROUND12,BACKGROUND5,start
494.00000000,BACKGROUND12,BACKGROUND5,end
500.00000000,BACKGROUND20,BACKGROUND4,start
504.00000000,BACKGROUND20,BACKGROUND4,end
693.00000000,BACKGROUND13,BACKGROUND32,start
699.00000000,BACKGROUND13,BACKGROUND32,end
709.00000000,BACKGROUND22,BACKGROUND24,start
712.00000000,BACKGROUND22,BACKGROUND24,end
918.00000000,DELIVERY2,DELIVERY5,start
921.00000000,DELIVERY2,DELIVERY5,end
991.00000000,DELIVERY3,DELIVERY6,start
993.00000000,DELIVERY3,DELIVERY6,end
1007.00000000,BACKGROUND39,BACKGROUND48,start
1009.00000000,BACKGROUND39,BACKGROUND48,end
1145.00000000,BACKGROUND51,DELIVERY4,start
1148.00000000,BACKGROUND51,DELIVERY4,end
1200.00000000,BACKGROUND36,BACKGROUND56,start
1206.00000000,BACKGROUND51,DELIVERY9,start
1209.00000000,BACKGROUND51,DELIVERY9,end
1213.00000000,BACKGROUND36,BACKGROUND56,end
1218.00000000,DELIVERY5,DELIVERY9,start
1221.00000000,DELIVERY5,DELIVERY9,end
1249.00000000,BACKGROUND48,BACKGROUND63,start
1251.00000000,BACKGROUND48,BACKGROUND63,end
1291.00000000,DELIVERY6,DELIVERY7,start
1293.00000000,DELIVERY6,DELIVERY7,end
1322.00000000,DELIVERY4,DELIVERY9,start
1324.00000000,DELIVERY4,DELIVERY9,end
1337.00000000,BACKGROUND35,BACKGROUND68,start
1339.00000000,BACKGROUND54,BACKGROUND64,start
1340.00000000,BACKGROUND52,BACKGROUND58,start
1341.00000000,BACKGROUND54,BACKGROUND64,end
1342.00000000,BACKGROUND35,BACKGROUND68,end
1346.00000000,BACKGROUND52,BACKGROUND58,end
1513.00000000,BACKGROUND71,BACKGROUND72,start
1518.00000000,DELIVERY11,DELIVERY9,start
1521.00000000,DELIVERY11,DELIVERY9,end
1521.00000000,BACKGROUND71,BACKGROUND72,end
1591.00000000,DELIVERY12,DELIVERY7,start
1593.00000000,DELIVERY12,DELIVERY7,end
1622.00000000,DELIVERY11,DELIVERY8,start
1624.00000000,DELIVERY11,DELIVERY8,end
1715.00000000,BACKGROUND78,DELIVERY10,start
1719.00000000,BACKGROUND78,DELIVERY10,end
1723.00000000,BACKGROUND78,DELIVERY10,start
1728.00000000,BACKGROUND78,DELIVERY10,end
1742.00000000,BACKGROUND75,DELIVERY8,start
1745.00000000,BACKGROUND75,DELIVERY8,end
1749.00000000,BACKGROUND78,DELIVERY10,start
1751.00000000,BACKGROUND78,DELIVERY10,end
1765.00000000,BACKGROUND78,DELIVERY11,start
1767.00000000,BACKGROUND78,DELIVERY11,end
1818.00000000,DELIVERY11,DELIVERY13,start
1821.00000000,BACKGROUND78,DELIVERY12,start
1821.00000000,DELIVERY11,DELIVERY13,end
1828.00000000,BACKGROUND80,BACKGROUND87,start
1828.00000000,BACKGROUND78,DELIVERY12,end
