# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
494.00000000,BACKGROUND18,BACKGROUND5,29.27897534
573.00000000,BACKGROUND21,DELIVERY1,0.04246517
608.00000000,BACKGROUND20,BACKGROUND21,0.14017243
720.00000000,BACKGROUND20,BACKGROUND33,5.64605621
919.00000000,DELIVERY2,DELIVERY5,0.07354855
923.00000000,BACKGROUND28,BACKGROUND35,0.00113474
942.00000000,BACKGROUND27,BACKGROUND45,1.13895550
975.00000000,BACKGROUND13,BACKGROUND42,0.00504558
992.00000000,DELIVERY3,DELIVERY6,0.05135707
1006.00000000,BACKGROUND34,BACKGROUND36,0.02422462
1030.00000000,BACKGROUND41,BACKGROUND48,0.00000966
1037.00000000,BACKGROUND41,BACKGROUND48,3.42017292
1073.00000000,BACKGROUND46,BACKGROUND49,14.75771073
1219.00000000,DELIVERY5,DELIVERY9,0.07354855
1292.00000000,DELIVERY6,DELIVERY7,0.05135707
1322.00000000,BACKGROUND52,BACKGROUND62,0.87382732
1323.00000000,BACKGROUND52,BACKGROUND62,1.39590362
1342.00000000,BACKGROUND52,BACKGROUND62,16.72167523
1346.00000000,BACKGROUND52,BACKGROUND62,16.85046350
1356.00000000,BACKGROUND52,BACKGROUND62,7.18337693
1387.00000000,BACKGROUND52,DELIVERY8,0.06576768
1387.00000000,BACKGROUND62,DELIVERY8,0.04806920
1400.00000000,BACKGROUND52,BACKGROUND62,2.10749195
1513.00000000,BACKGROUND69,DELIVERY9,0.01789002
1519.00000000,DELIVERY11,DELIVERY9,0.07354855
1529.00000000,BACKGROUND69,DELIVERY11,0.00959775
1533.00000000,BACKGROUND69,DELIVERY11,20.89974704
1534.00000000,BACKGROUND69,DELIVERY11,20.59844556
1592.00000000,DELIVERY12,DELIVERY7,0.05135707
1627.00000000,BACKGROUND78,DELIVERY8,6.17728225
1665.00000000,BACKGROUND75,DELIVERY8,29.50173745
1684.00000000,BACKGROUND64,DELIVERY10,0.00885384
1761.00000000,BACKGROUND82,BACKGROUND87,0.09745521
1762.00000000,BACKGROUND82,BACKGROUND87,0.34631065
1805.00000000,BACKGROUND80,DELIVERY10,0.69202842
1819.00000000,DELIVERY11,DELIVERY13,0.07354855
1839.00000000,BACKGROUND81,BACKGROUND82,0.00712246
1892.00000000,DELIVERY12,DELIVERY15,0.05135707
1975.00000000,BACKGROUND71,DELIVERY14,1.53995271
2004.00000000,BACKGROUND87,BACKGROUND95,10.08826311
2069.00000000,BACKGROUND94,DELIVERY10,0.00663409
2079.00000000,BACKGROUND98,DELIVERY13,22.35372388
2113.00000000,BACKGROUND94,BACKGROUND98,0.02575667
2119.00000000,DELIVERY13,DELIVERY16,0.07354855
2129.00000000,BACKGROUND101,BACKGROUND87,0.22924324
2144.00000000,BACKGROUND81,BACKGROUND94,3.76283664
2144.00000000,BACKGROUND100,BACKGROUND98,0.00556152
2163.00000000,BACKGROUND100,BACKGROUND81,4.00784563
2192.00000000,DELIVERY15,DELIVERY17,0.05135707
2245.00000000,BACKGROUND104,BACKGROUND81,0.05448699
2261.00000000,BACKGROUND81,DELIVERY18,0.65719355
2301.00000000,BACKGROUND109,BACKGROUND81,0.40916562
2315.00000000,BACKGROUND104,DELIVERY14,0.13224703
2349.00000000,BACKGROUND109,DELIVERY14,0.00333667
2419.00000000,DELIVERY16,DELIVERY20,0.07354855
2476.00000000,BACKGROUND111,BACKGROUND116,0.01996605
2483.00000000,BACKGROUND114,BACKGROUND122,0.75879957
2487.00000000,BACKGROUND120,DELIVERY21,33.35601452
2492.00000000,DELIVERY17,DELIVERY21,0.05135707
2504.00000000,BACKGROUND119,BACKGROUND120,8.47127555
2520.00000000,BACKGROUND108,BACKGROUND122,2.18692919
2533.00000000,BACKGROUND115,BACKGROUND122,0.32414517
2594.00000000,BACKGROUND103,DELIVERY19,0.12456055
2716.00000000,BACKGROUND134,DELIVERY20,0.00000017
2719.00000000,DELIVERY20,DELIVERY23,0.07354855
2792.00000000,DELIVERY21,DELIVERY24,0.05135707
2819.00000000,BACKGROUND136,DELIVERY19,25.82507098
2821.00000000,BACKGROUND136,DELIVERY23,0.74328363
2869.00000000,BACKGROUND143,DELIVERY19,3.31926122
2951.00000000,BACKGROUND127,BACKGROUND133,0.94443152
2952.00000000,BACKGROUND137,DELIVERY23,1.62440644
2981.00000000,BACKGROUND137,DELIVERY23,3.05599655
3006.00000000,BACKGROUND137,DELIVERY23,1.97708759
3011.00000000,BACKGROUND152,BACKGROUND154,0.72613093
3019.00000000,BACKGROUND137,DELIVERY27,0.13101727
3019.00000000,DELIVERY23,DELIVERY27,0.07354855
3020.00000000,BACKGROUND137,DELIVERY23,0.06255631
3042.00000000,BACKGROUND127,BACKGROUND145,2.01942743
3079.00000000,BACKGROUND128,DELIVERY26,0.00634565
3082.00000000,BACKGROUND146,BACKGROUND154,0.19171153
3092.00000000,DELIVERY24,DELIVERY25,0.05135707
3150.00000000,BACKGROUND152,DELIVERY22,9.40727069
3280.00000000,BACKGROUND158,DELIVERY22,0.02295896
3319.00000000,DELIVERY27,DELIVERY29,0.07354855
3332.00000000,BACKGROUND158,DELIVERY29,2.81480513
3338.00000000,BACKGROUND158,DELIVERY29,0.48708899
3392.00000000,DELIVERY25,DELIVERY30,0.05135707
3416.00000000,BACKGROUND159,BACKGROUND167,8.25844348
3436.00000000,BACKGROUND156,BACKGROUND158,0.00233982
3440.00000000,BACKGROUND161,BACKGROUND163,3.05868185
3454.00000000,BACKGROUND158,DELIVERY30,0.10423079
3456.00000000,BACKGROUND156,DELIVERY30,0.06700388
3469.00000000,BACKGROUND159,BACKGROUND167,30.02048834
3549.00000000,BACKGROUND163,BACKGROUND164,6.64894310
