# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
552.00000000,BACKGROUND19,BACKGROUND3,start
559.00000000,BACKGROUND19,BACKGROUND3,end
962.00000000,DELIVERY2,DELIVERY5,start
964.00000000,DELIVERY2,DELIVERY5,end
965.00000000,DELIVERY2,DELIVERY5,start
966.00000000,DELIVERY2,DELIVERY5,end
967.00000000,DELIVERY2,DELIVERY5,start
968.00000000,DELIVERY2,DELIVERY5,end
1039.00000000,BACKGROUND46,BACKGROUND55,start
1045.00000000,BACKGROUND46,BACKGROUND55,end
1068.00000000,DELIVERY3,DELIVERY5,start
1113.00000000,DELIVERY3,DELIVERY5,end
1116.00000000,DELIVERY3,DELIVERY5,start
1119.00000000,DELIVERY3,DELIVERY5,end
1300.00000000,DELIVERY4,DELIVERY5,start
1313.00000000,DELIVERY4,DELIVERY5,end
1363.00000000,BACKGROUND49,BACKGROUND59,start
1364.00000000,BACKGROUND49,BACKGROUND59,end
1501.00000000,DELIVERY11,DELIVERY9,start
1504.00000000,DELIVERY11,DELIVERY9,end
1584.00000000,DELIVERY11,DELIVERY4,start
1588.00000000,DELIVERY11,DELIVERY4,end
1650.00000000,DELIVERY8,DELIVERY9,start
1658.00000000,DELIVERY11,DELIVERY7,start
1658.00000000,DELIVERY8,DELIVERY9,end
1664.00000000,DELIVERY11,DELIVERY7,end
1667.00000000,DELIVERY11,DELIVERY7,start
1670.00000000,DELIVERY11,DELIVERY7,end
1691.00000000,DELIVERY11,DELIVERY9,start
1696.00000000,DELIVERY11,DELIVERY9,end
1700.00000000,DELIVERY11,DELIVERY9,start
1709.00000000,DELIVERY7,DELIVERY9,start
1710.00000000,DELIVERY11,DELIVERY9,end
1710.00000000,DELIVERY7,DELIVERY9,end
1738.00000000,BACKGROUND66,DELIVERY8,start
1747.00000000,DELIVERY11,DELIVERY7,start
1748.00000000,BACKGROUND66,DELIVERY8,end
1752.00000000,BACKGROUND85,BACKGROUND87,start
1753.00000000,BACKGROUND85,BACKGROUND87,end
1767.00000000,DELIVERY11,DELIVERY7,end
1768.00000000,BACKGROUND66,DELIVERY8,start
1770.00000000,DELIVERY11,DELIVERY7,start
1773.00000000,BACKGROUND31,BACKGROUND72,start
1773.00000000,DELIVERY11,DELIVERY7,end
1775.00000000,BACKGROUND66,DELIVERY8,end
1776.00000000,DELIVERY11,DELIVERY9,start
1779.00000000,BACKGROUND31,BACKGROUND72,end
1780.00000000,DELIVERY11,DELIVERY9,end
1785.00000000,BACKGROUND20,BACKGROUND87,start
1793.00000000,BACKGROUND20,BACKGROUND87,end
1795.00000000,BACKGROUND20,BACKGROUND85,start
1797.00000000,DELIVERY12,DELIVERY7,start
1800.00000000,BACKGROUND66,DELIVERY8,start
