# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
558.00000000,BACKGROUND19,BACKGROUND3,0.13476370
1042.00000000,BACKGROUND46,BACKGROUND55,1.88896567
1043.00000000,BACKGROUND46,BACKGROUND55,3.30910367
1094.00000000,DELIVERY3,DELIVERY5,0.36450836
1096.00000000,DELIVERY3,DELIVERY5,1.62198919
1097.00000000,DELIVERY3,DELIVERY5,1.62198919
1098.00000000,DELIVERY3,DELIVERY5,1.62198919
1099.00000000,DELIVERY3,DELIVERY5,1.62198919
1100.00000000,DELIVERY3,DELIVERY5,1.62198919
1101.00000000,DELIVERY3,DELIVERY5,1.62198919
1102.00000000,DELIVERY3,DELIVERY5,1.62198919
1103.00000000,DELIVERY3,DELIVERY5,1.62198919
1104.00000000,DELIVERY3,DELIVERY5,1.62198919
1105.00000000,DELIVERY3,DELIVERY5,1.62198919
1106.00000000,DELIVERY3,DELIVERY5,1.62198919
1107.00000000,DELIVERY3,DELIVERY5,1.62198919
1108.00000000,DELIVERY3,DELIVERY5,1.62198919
1109.00000000,DELIVERY3,DELIVERY5,1.62198919
1110.00000000,DELIVERY3,DELIVERY5,1.62198919
1111.00000000,DELIVERY3,DELIVERY5,1.62198919
1112.00000000,DELIVERY3,DELIVERY5,1.62198919
1117.00000000,DELIVERY3,DELIVERY5,0.71249457
1118.00000000,DELIVERY3,DELIVERY5,0.65245973
1311.00000000,DELIVERY4,DELIVERY5,0.07436386
1501.00000000,DELIVERY11,DELIVERY9,0.01165658
1502.00000000,DELIVERY11,DELIVERY9,0.39866822
1656.00000000,DELIVERY8,DELIVERY9,0.27646539
1661.00000000,DELIVERY11,DELIVERY7,0.22472206
1669.00000000,DELIVERY11,DELIVERY7,2.94399274
1747.00000000,BACKGROUND66,DELIVERY8,5.45646788
1755.00000000,DELIVERY11,DELIVERY7,0.02720747
1756.00000000,DELIVERY11,DELIVERY7,0.02720747
1757.00000000,DELIVERY11,DELIVERY7,0.02720747
1758.00000000,DELIVERY11,DELIVERY7,0.02720747
1759.00000000,DELIVERY11,DELIVERY7,0.02720747
1760.00000000,DELIVERY11,DELIVERY7,0.02720747
1761.00000000,DELIVERY11,DELIVERY7,0.02720747
1762.00000000,DELIVERY11,DELIVERY7,0.02720747
1763.00000000,DELIVERY11,DELIVERY7,0.02720747
1764.00000000,DELIVERY11,DELIVERY7,0.02720747
