# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
1.05000000,DELIVERY1,takeoff,0
16.05000000,BACKGROUND1,takeoff,0
31.05000000,BACKGROUND2,takeoff,0
46.05000000,BACKGROUND3,takeoff,0
61.05000000,BACKGROUND4,takeoff,0
76.05000000,BACKGROUND5,takeoff,0
106.05000000,BACKGROUND6,takeoff,0
151.05000000,BACKGROUND7,takeoff,0
166.05000000,BACKGROUND8,takeoff,0
181.05000000,BACKGROUND9,takeoff,0
196.05000000,BACKGROUND10,takeoff,0
211.05000000,BACKGROUND11,takeoff,0
226.05000000,BACKGROUND12,takeoff,0
256.05000000,BACKGROUND13,takeoff,0
271.05000000,BACKGROUND14,takeoff,0
286.05000000,BACKGROUND15,takeoff,0
301.05000000,BACKGROUND16,takeoff,0
316.05000000,BACKGROUND17,takeoff,0
331.05000000,BACKGROUND18,takeoff,0
346.05000000,BACKGROUND19,takeoff,0
376.05000000,BACKGROUND20,takeoff,0
406.05000000,BACKGROUND21,takeoff,0
407.15000000,DELIVERY1,landing,4472.07316806
410.15000000,DELIVERY1,takeoff,0
415.65000000,BACKGROUND6,landing,2828.61445246
421.05000000,BACKGROUND22,takeoff,0
436.05000000,BACKGROUND23,takeoff,0
441.10000000,BACKGROUND14,landing,2577.98165374
451.05000000,BACKGROUND24,takeoff,0
466.05000000,BACKGROUND25,takeoff,0
472.55000000,BACKGROUND4,landing,4847.73829581
481.05000000,BACKGROUND26,takeoff,0
492.70000000,BACKGROUND12,landing,3139.89931078
496.05000000,BACKGROUND27,takeoff,0
511.05000000,BACKGROUND28,takeoff,0
516.05000000,BACKGROUND16,landing,2219.15494260
520.70000000,BACKGROUND2,landing,2943.34115102
526.05000000,BACKGROUND29,takeoff,0
535.70000000,BACKGROUND11,landing,2504.31085872
541.05000000,BACKGROUND30,takeoff,0
547.00000000,BACKGROUND1,landing,2536.04181805
553.95000000,BACKGROUND7,landing,5415.68741759
556.05000000,BACKGROUND31,takeoff,0
558.80000000,BACKGROUND13,landing,4117.78022530
571.05000000,BACKGROUND32,takeoff,0
586.05000000,BACKGROUND33,takeoff,0
588.60000000,BACKGROUND8,landing,3791.52989323
600.05000000,DELIVERY2,takeoff,0
600.05000000,DELIVERY3,takeoff,0
601.05000000,BACKGROUND34,takeoff,0
601.75000000,BACKGROUND21,landing,2146.18666455
631.05000000,BACKGROUND35,takeoff,0
646.05000000,BACKGROUND36,takeoff,0
656.75000000,BACKGROUND17,landing,2684.53115425
661.05000000,BACKGROUND37,takeoff,0
676.05000000,BACKGROUND38,takeoff,0
685.45000000,BACKGROUND5,landing,4258.89974481
686.85000000,BACKGROUND29,landing,2295.01566819
691.05000000,BACKGROUND39,takeoff,0
700.75000000,BACKGROUND15,landing,6737.68669940
706.05000000,BACKGROUND40,takeoff,0
715.45000000,BACKGROUND27,landing,3633.87824558
721.05000000,BACKGROUND41,takeoff,0
730.95000000,BACKGROUND25,landing,2403.98527946
732.60000000,BACKGROUND10,landing,6912.98349728
735.10000000,BACKGROUND9,landing,4256.66525444
736.05000000,BACKGROUND42,takeoff,0
751.05000000,BACKGROUND43,takeoff,0
761.95000000,BACKGROUND19,landing,6231.95874215
766.05000000,BACKGROUND44,takeoff,0
769.60000000,BACKGROUND24,landing,2525.14039589
770.15000000,DELIVERY1,landing,4454.54573768
781.05000000,BACKGROUND45,takeoff,0
796.05000000,BACKGROUND46,takeoff,0
806.35000000,DELIVERY2,landing,1693.33987025
809.35000000,DELIVERY2,takeoff,0
811.05000000,BACKGROUND47,takeoff,0
815.70000000,BACKGROUND36,landing,2033.57214423
829.55000000,BACKGROUND3,landing,3218.87502560
855.55000000,BACKGROUND34,landing,1981.15215117
856.05000000,BACKGROUND49,takeoff,0
871.05000000,BACKGROUND50,takeoff,0
884.45000000,DELIVERY3,landing,2650.77810408
887.45000000,DELIVERY3,takeoff,0
892.60000000,BACKGROUND22,landing,4970.52944056
900.05000000,DELIVERY4,takeoff,0
900.05000000,DELIVERY5,takeoff,0
900.05000000,DELIVERY6,takeoff,0
920.50000000,BACKGROUND23,landing,3151.88810148
931.05000000,BACKGROUND51,takeoff,0
942.90000000,BACKGROUND41,landing,1965.55401012
946.05000000,BACKGROUND52,takeoff,0
950.65000000,BACKGROUND31,landing,3557.92581316
952.70000000,BACKGROUND42,landing,3095.72046525
961.05000000,BACKGROUND53,takeoff,0
961.50000000,BACKGROUND47,landing,2166.45648833
966.85000000,BACKGROUND45,landing,1712.50651218
966.95000000,BACKGROUND26,landing,4626.01340860
982.70000000,BACKGROUND33,landing,3599.71939556
989.70000000,BACKGROUND44,landing,1660.25637638
991.05000000,BACKGROUND54,takeoff,0
1002.55000000,BACKGROUND38,landing,3741.82983990
1012.85000000,DELIVERY2,landing,1677.60927077
1021.05000000,BACKGROUND55,takeoff,0
1029.60000000,BACKGROUND18,landing,4090.16412146
1036.05000000,BACKGROUND56,takeoff,0
1066.05000000,BACKGROUND57,takeoff,0
1077.20000000,BACKGROUND46,landing,1905.24525888
1081.05000000,BACKGROUND58,takeoff,0
1084.10000000,BACKGROUND32,landing,5968.63106160
1090.90000000,DELIVERY3,landing,2642.72146535
1092.70000000,BACKGROUND53,landing,1718.04206868
1096.05000000,BACKGROUND59,takeoff,0
1104.25000000,BACKGROUND35,landing,6473.14664660
1106.35000000,DELIVERY5,landing,1693.33987025
1107.40000000,BACKGROUND20,landing,4076.46600754
1109.35000000,DELIVERY5,takeoff,0
1111.05000000,BACKGROUND60,takeoff,0
1117.00000000,BACKGROUND40,landing,4135.64082168
1126.05000000,BACKGROUND61,takeoff,0
1144.05000000,BACKGROUND28,landing,6060.13842787
1159.05000000,BACKGROUND39,landing,2050.46692534
1171.05000000,BACKGROUND62,takeoff,0
1184.45000000,DELIVERY6,landing,2650.77810408
1185.20000000,BACKGROUND50,landing,2578.60463186
1186.05000000,BACKGROUND63,takeoff,0
1187.45000000,DELIVERY6,takeoff,0
1200.05000000,DELIVERY7,takeoff,0
1200.05000000,DELIVERY8,takeoff,0
1200.05000000,DELIVERY9,takeoff,0
1201.05000000,BACKGROUND64,takeoff,0
1211.80000000,BACKGROUND37,landing,5745.20094298
1216.05000000,BACKGROUND65,takeoff,0
1228.70000000,BACKGROUND43,landing,6377.42224008
1246.05000000,BACKGROUND66,takeoff,0
1256.40000000,BACKGROUND51,landing,4913.03038585
1261.05000000,BACKGROUND67,takeoff,0
1276.05000000,BACKGROUND68,takeoff,0
1291.05000000,BACKGROUND69,takeoff,0
1306.05000000,BACKGROUND70,takeoff,0
1306.15000000,DELIVERY4,landing,4472.07316806
1309.15000000,DELIVERY4,takeoff,0
1312.85000000,DELIVERY5,landing,1677.60927077
1321.05000000,BACKGROUND71,takeoff,0
1336.05000000,BACKGROUND72,takeoff,0
1351.05000000,BACKGROUND73,takeoff,0
1351.30000000,BACKGROUND58,landing,3086.88864238
1372.70000000,BACKGROUND54,landing,2912.03584685
1376.45000000,BACKGROUND64,landing,997.14226025
1381.05000000,BACKGROUND74,takeoff,0
1390.90000000,DELIVERY6,landing,2642.72146535
1394.40000000,BACKGROUND57,landing,5751.61668581
1406.05000000,BACKGROUND30,landing,6868.88568706
1406.35000000,DELIVERY9,landing,1693.33987025
1409.35000000,DELIVERY9,takeoff,0
1411.05000000,BACKGROUND76,takeoff,0
1441.05000000,BACKGROUND77,takeoff,0
1454.20000000,BACKGROUND52,landing,5213.03778962
1463.20000000,BACKGROUND69,landing,2304.99672347
1471.05000000,BACKGROUND78,takeoff,0
