# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
718.00000000,BACKGROUND14,BACKGROUND33,2.24876614
818.00000000,DELIVERY2,DELIVERY3,3.27100660
836.00000000,BACKGROUND33,BACKGROUND35,0.58942482
840.00000000,BACKGROUND14,BACKGROUND30,1.37770309
863.00000000,BACKGROUND33,DELIVERY1,0.34284025
915.00000000,DELIVERY2,DELIVERY3,0.01819474
916.00000000,DELIVERY2,DELIVERY3,0.01819474
917.00000000,DELIVERY2,DELIVERY3,0.01819474
922.00000000,DELIVERY2,DELIVERY3,0.74958107
1037.00000000,DELIVERY2,DELIVERY5,0.00355768
1152.00000000,BACKGROUND20,BACKGROUND43,0.71090742
1347.00000000,BACKGROUND42,BACKGROUND56,0.36852297
1362.00000000,BACKGROUND26,BACKGROUND58,4.07871573
1388.00000000,BACKGROUND47,BACKGROUND56,0.08860156
1454.00000000,DELIVERY4,DELIVERY6,0.72444846
1455.00000000,DELIVERY4,DELIVERY6,1.67335747
1456.00000000,DELIVERY4,DELIVERY6,1.67335747
1457.00000000,DELIVERY4,DELIVERY6,1.67335747
1458.00000000,DELIVERY4,DELIVERY6,1.67335747
1459.00000000,DELIVERY4,DELIVERY6,1.67335747
1460.00000000,DELIVERY4,DELIVERY6,1.67335747
1461.00000000,DELIVERY4,DELIVERY6,1.67335747
1462.00000000,DELIVERY4,DELIVERY6,1.67335747
1463.00000000,DELIVERY4,DELIVERY6,1.67335747
1464.00000000,DELIVERY4,DELIVERY6,1.67335747
1465.00000000,DELIVERY4,DELIVERY6,1.67335747
1466.00000000,DELIVERY4,DELIVERY6,1.67335747
1467.00000000,DELIVERY4,DELIVERY6,1.67335747
1468.00000000,DELIVERY4,DELIVERY6,1.67335747
1469.00000000,DELIVERY4,DELIVERY6,1.67335747
1470.00000000,DELIVERY4,DELIVERY6,1.67335747
1471.00000000,DELIVERY4,DELIVERY6,1.67335747
