# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
716.00000000,BACKGROUND14,BACKGROUND33,start
721.00000000,BACKGROUND14,BACKGROUND33,end
820.00000000,DELIVERY2,DELIVERY3,start
821.00000000,DELIVERY2,DELIVERY3,end
835.00000000,BACKGROUND33,BACKGROUND35,start
837.00000000,BACKGROUND33,BACKGROUND35,end
838.00000000,BACKGROUND14,BACKGROUND30,start
841.00000000,BACKGROUND14,BACKGROUND30,end
861.00000000,BACKGROUND33,DELIVERY1,start
866.00000000,BACKGROUND33,DELIVERY1,end
872.00000000,DELIVERY2,DELIVERY3,start
906.00000000,BACKGROUND33,DELIVERY1,start
907.00000000,BACKGROUND33,DELIVERY1,end
918.00000000,DELIVERY2,DELIVERY3,end
921.00000000,DELIVERY2,DELIVERY3,start
945.00000000,DELIVERY2,DELIVERY3,end
950.00000000,DELIVERY2,DELIVERY3,start
956.00000000,DELIVERY2,DELIVERY3,end
1036.00000000,DELIVERY2,DELIVERY5,start
1038.00000000,DELIVERY2,DELIVERY5,end
1146.00000000,BACKGROUND36,BACKGROUND42,start
1149.00000000,BACKGROUND20,BACKGROUND43,start
1149.00000000,BACKGROUND36,BACKGROUND42,end
1155.00000000,BACKGROUND20,BACKGROUND43,end
1243.00000000,BACKGROUND46,DELIVERY6,start
1245.00000000,BACKGROUND46,DELIVERY6,end
1285.00000000,BACKGROUND48,BACKGROUND55,start
1288.00000000,BACKGROUND48,BACKGROUND55,end
1346.00000000,BACKGROUND42,BACKGROUND56,start
1349.00000000,BACKGROUND42,BACKGROUND56,end
1350.00000000,BACKGROUND34,BACKGROUND53,start
1353.00000000,BACKGROUND34,BACKGROUND53,end
1359.00000000,BACKGROUND26,BACKGROUND58,start
1366.00000000,BACKGROUND26,BACKGROUND58,end
1379.00000000,DELIVERY4,DELIVERY9,start
1384.00000000,DELIVERY4,DELIVERY9,end
1386.00000000,BACKGROUND47,BACKGROUND56,start
1391.00000000,BACKGROUND47,BACKGROUND56,end
1401.00000000,BACKGROUND49,BACKGROUND65,start
1405.00000000,BACKGROUND49,BACKGROUND65,end
1436.00000000,DELIVERY4,DELIVERY6,start
1475.00000000,DELIVERY4,DELIVERY6,end
1478.00000000,DELIVERY4,DELIVERY6,start
1480.00000000,DELIVERY4,DELIVERY9,start
1481.00000000,DELIVERY6,DELIVERY9,start
1485.00000000,DELIVERY6,DELIVERY9,end
1485.00000000,DELIVERY4,DELIVERY6,end
1488.00000000,DELIVERY4,DELIVERY6,start
1488.00000000,DELIVERY6,DELIVERY9,start
1491.00000000,DELIVERY4,DELIVERY6,end
1492.00000000,DELIVERY6,DELIVERY9,end
1501.00000000,DELIVERY10,DELIVERY8,start
1502.00000000,DELIVERY4,DELIVERY9,end
1543.00000000,DELIVERY4,DELIVERY9,start
1547.00000000,DELIVERY4,DELIVERY9,end
1594.00000000,DELIVERY11,DELIVERY9,start
1596.00000000,DELIVERY11,DELIVERY9,end
1726.00000000,DELIVERY10,DELIVERY4,start
1726.00000000,DELIVERY4,DELIVERY8,start
1728.00000000,DELIVERY10,DELIVERY4,end
1728.00000000,DELIVERY4,DELIVERY8,end
1746.00000000,DELIVERY11,DELIVERY7,start
1750.00000000,DELIVERY11,DELIVERY7,end
1827.00000000,DELIVERY10,DELIVERY8,end
1955.00000000,DELIVERY13,DELIVERY8,start
1977.00000000,DELIVERY13,DELIVERY8,end
1982.00000000,DELIVERY10,DELIVERY8,start
2000.00000000,DELIVERY10,DELIVERY13,start
2002.00000000,DELIVERY10,DELIVERY8,end
2010.00000000,DELIVERY10,DELIVERY13,end
2013.00000000,DELIVERY10,DELIVERY13,start
2018.00000000,DELIVERY13,DELIVERY8,start
2018.00000000,DELIVERY10,DELIVERY13,end
2019.00000000,BACKGROUND76,BACKGROUND89,start
2023.00000000,DELIVERY13,DELIVERY8,end
2027.00000000,BACKGROUND76,BACKGROUND89,end
2033.00000000,BACKGROUND76,BACKGROUND85,start
2039.00000000,BACKGROUND76,BACKGROUND85,end
2095.00000000,BACKGROUND76,BACKGROUND85,start
2099.00000000,BACKGROUND76,BACKGROUND85,end
2101.00000000,DELIVERY11,DELIVERY16,start
2103.00000000,BACKGROUND76,BACKGROUND85,start
2107.00000000,BACKGROUND76,BACKGROUND85,end
2112.00000000,DELIVERY11,DELIVERY16,end
2135.00000000,BACKGROUND85,BACKGROUND89,start
2151.00000000,BACKGROUND85,BACKGROUND89,end
2244.00000000,BACKGROUND93,BACKGROUND99,start
2247.00000000,BACKGROUND93,BACKGROUND99,end
2270.00000000,DELIVERY12,DELIVERY17,start
2272.00000000,DELIVERY12,DELIVERY17,end
2274.00000000,BACKGROUND81,BACKGROUND96,start
2282.00000000,BACKGROUND81,BACKGROUND96,end
2285.00000000,BACKGROUND83,BACKGROUND99,start
2289.00000000,BACKGROUND83,BACKGROUND99,end
2334.00000000,BACKGROUND104,BACKGROUND79,start
2336.00000000,BACKGROUND104,BACKGROUND79,end
2339.00000000,BACKGROUND84,BACKGROUND99,start
2341.00000000,BACKGROUND84,BACKGROUND99,end
2358.00000000,BACKGROUND105,BACKGROUND75,start
2362.00000000,BACKGROUND105,BACKGROUND75,end
2430.00000000,DELIVERY15,DELIVERY17,start
2434.00000000,DELIVERY15,DELIVERY17,end
2450.00000000,DELIVERY16,DELIVERY17,start
2478.00000000,BACKGROUND109,DELIVERY10,start
2483.00000000,DELIVERY16,DELIVERY17,end
2483.00000000,BACKGROUND109,DELIVERY10,end
2486.00000000,DELIVERY16,DELIVERY17,start
2505.00000000,DELIVERY16,DELIVERY17,end
2508.00000000,DELIVERY16,DELIVERY17,start
2509.00000000,DELIVERY15,DELIVERY21,start
2509.00000000,DELIVERY16,DELIVERY17,end
2512.00000000,DELIVERY15,DELIVERY21,end
2627.00000000,DELIVERY20,DELIVERY21,start
2637.00000000,BACKGROUND108,BACKGROUND116,start
2639.00000000,BACKGROUND108,BACKGROUND116,end
2645.00000000,BACKGROUND113,DELIVERY17,start
2645.00000000,DELIVERY20,DELIVERY21,end
2648.00000000,DELIVERY20,DELIVERY21,start
2651.00000000,BACKGROUND113,DELIVERY17,end
2653.00000000,DELIVERY20,DELIVERY21,end
2657.00000000,BACKGROUND110,BACKGROUND115,start
2659.00000000,BACKGROUND110,BACKGROUND115,end
2701.00000000,DELIVERY18,DELIVERY19,start
2701.00000000,DELIVERY14,DELIVERY19,start
2701.00000000,DELIVERY14,DELIVERY18,start
2773.00000000,BACKGROUND118,BACKGROUND97,start
2774.00000000,BACKGROUND118,BACKGROUND97,end
2829.00000000,BACKGROUND115,BACKGROUND123,start
2834.00000000,BACKGROUND115,BACKGROUND123,end
2845.00000000,BACKGROUND125,BACKGROUND131,start
2848.00000000,BACKGROUND125,BACKGROUND131,end
2894.00000000,DELIVERY18,DELIVERY19,end
2894.00000000,DELIVERY14,DELIVERY19,end
2922.00000000,BACKGROUND131,DELIVERY14,start
2922.00000000,BACKGROUND131,DELIVERY18,start
2924.00000000,BACKGROUND131,DELIVERY14,end
2924.00000000,BACKGROUND131,DELIVERY18,end
2930.00000000,BACKGROUND131,DELIVERY19,start
2932.00000000,BACKGROUND131,DELIVERY19,end
3001.00000000,DELIVERY22,DELIVERY26,start
3041.00000000,DELIVERY18,DELIVERY23,start
3041.00000000,DELIVERY14,DELIVERY23,start
3048.00000000,DELIVERY18,DELIVERY23,end
3048.00000000,DELIVERY14,DELIVERY23,end
3107.00000000,BACKGROUND133,BACKGROUND137,start
3111.00000000,BACKGROUND133,BACKGROUND137,end
3121.00000000,BACKGROUND137,BACKGROUND138,start
3124.00000000,BACKGROUND137,BACKGROUND138,end
3174.00000000,DELIVERY14,DELIVERY18,end
3177.00000000,DELIVERY14,DELIVERY18,start
3196.00000000,BACKGROUND126,DELIVERY26,start
3196.00000000,BACKGROUND126,DELIVERY22,start
3199.00000000,BACKGROUND147,DELIVERY24,start
3199.00000000,BACKGROUND126,DELIVERY26,end
3199.00000000,BACKGROUND126,DELIVERY22,end
3204.00000000,BACKGROUND147,DELIVERY24,end
3265.00000000,DELIVERY19,DELIVERY24,start
3293.00000000,DELIVERY19,DELIVERY24,end
3296.00000000,DELIVERY19,DELIVERY24,start
3301.00000000,DELIVERY27,DELIVERY29,start
3301.00000000,DELIVERY19,DELIVERY24,end
3304.00000000,DELIVERY27,DELIVERY29,end
3305.00000000,DELIVERY14,DELIVERY18,end
3306.00000000,DELIVERY22,DELIVERY26,end
3326.00000000,DELIVERY19,DELIVERY24,start
3333.00000000,BACKGROUND126,BACKGROUND138,start
3335.00000000,DELIVERY19,DELIVERY24,end
3336.00000000,BACKGROUND126,BACKGROUND138,end
3462.00000000,BACKGROUND140,DELIVERY28,start
3463.00000000,BACKGROUND135,BACKGROUND161,start
3465.00000000,BACKGROUND140,DELIVERY28,end
3466.00000000,BACKGROUND135,BACKGROUND161,end
3474.00000000,DELIVERY22,DELIVERY27,start
3480.00000000,DELIVERY22,DELIVERY27,end
3483.00000000,DELIVERY22,DELIVERY27,start
3489.00000000,DELIVERY22,DELIVERY27,end
3500.00000000,BACKGROUND147,DELIVERY24,start
3502.00000000,BACKGROUND147,DELIVERY24,end
3512.00000000,BACKGROUND134,DELIVERY24,start
3514.00000000,BACKGROUND143,BACKGROUND160,start
3517.00000000,BACKGROUND143,BACKGROUND160,end
3536.00000000,BACKGROUND134,DELIVERY24,end
3550.00000000,DELIVERY24,DELIVERY30,start
3557.00000000,DELIVERY24,DELIVERY30,end
3560.00000000,BACKGROUND134,DELIVERY30,start
3564.00000000,BACKGROUND134,DELIVERY30,end
3591.00000000,DELIVERY26,DELIVERY29,start
3594.00000000,DELIVERY26,DELIVERY29,end
