# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
2.05000000,SURVEILLANCEOP6,takeoff,0
2.05000000,SURVEILLANCEOP3,takeoff,0
2.05000000,SURVEILLANCEOP4,takeoff,0
2.05000000,SURVEILLANCEOP5,takeoff,0
183.05000000,BACKGROUND1,takeoff,0
303.60000000,BACKGROUND1,landing,1461.25703678
303.60000000,BACKGROUND1,takeoff,0
366.05000000,BACKGROUND2,takeoff,0
518.05000000,BACKGROUND3,takeoff,0
541.05000000,SURVEILLANCEOP1,takeoff,0
547.70000000,BACKGROUND1,landing,4000.74112955
549.05000000,BACKGROUND4,takeoff,0
601.15000000,BACKGROUND2,landing,2859.97858466
601.15000000,BACKGROUND2,takeoff,0
609.90000000,BACKGROUND4,landing,860.75664627
609.90000000,BACKGROUND4,takeoff,0
620.05000000,SURVEILLANCEOP0,takeoff,0
631.30000000,BACKGROUND2,landing,448.01209754
649.35000000,BACKGROUND3,landing,826.00908871
649.35000000,BACKGROUND3,takeoff,0
721.05000000,SURVEILLANCEOP2,takeoff,0
873.15000000,BACKGROUND3,landing,2244.60373186
917.15000000,BACKGROUND4,landing,2494.02649160
1106.30000000,SURVEILLANCEOP0,landing,8095.60158503
1200.05000000,BACKGROUND5,takeoff,0
1281.05000000,BACKGROUND6,takeoff,0
1422.45000000,SURVEILLANCEOP1,landing,8653.81219150
1464.05000000,BACKGROUND7,takeoff,0
1487.75000000,BACKGROUND5,landing,4062.76958611
1502.25000000,BACKGROUND6,landing,3519.08492464
1502.25000000,BACKGROUND6,takeoff,0
1504.95000000,BACKGROUND7,landing,451.71097572
1504.95000000,BACKGROUND7,takeoff,0
1556.05000000,BACKGROUND8,takeoff,0
1677.25000000,BACKGROUND6,landing,2478.05763477
1739.05000000,BACKGROUND9,takeoff,0
1756.60000000,BACKGROUND8,landing,2427.59323417
1791.55000000,BACKGROUND7,landing,4385.17150936
