# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
2.05000000,SURVEILLANCEOP6,takeoff,0
2.05000000,SURVEILLANCEOP3,takeoff,0
2.05000000,SURVEILLANCEOP4,takeoff,0
2.05000000,SURVEILLANCEOP5,takeoff,0
92.05000000,BACKGROUND1,takeoff,0
339.10000000,BACKGROUND1,landing,2708.44178293
339.10000000,BACKGROUND1,takeoff,0
541.05000000,SURVEILLANCEOP1,takeoff,0
601.85000000,BACKGROUND1,landing,2384.35872171
601.85000000,BACKGROUND1,takeoff,0
616.75000000,BACKGROUND1,landing,106.69064939
616.75000000,BACKGROUND1,takeoff,0
620.05000000,SURVEILLANCEOP0,takeoff,0
650.60000000,BACKGROUND1,landing,285.82610758
721.05000000,SURVEILLANCEOP2,takeoff,0
1106.30000000,SURVEILLANCEOP0,landing,8095.60158503
1190.05000000,BACKGROUND2,takeoff,0
1281.05000000,BACKGROUND3,takeoff,0
1373.05000000,BACKGROUND4,takeoff,0
1377.45000000,BACKGROUND3,landing,1489.36452132
1422.45000000,SURVEILLANCEOP1,landing,8653.81219150
1501.95000000,BACKGROUND4,landing,769.24714419
1501.95000000,BACKGROUND4,takeoff,0
1556.05000000,BACKGROUND6,takeoff,0
1647.05000000,BACKGROUND7,takeoff,0
1700.95000000,BACKGROUND4,landing,3103.50750964
