# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
2.05000000,SURVEILLANCEOP6,takeoff,0
2.05000000,SURVEILLANCEOP3,takeoff,0
2.05000000,SURVEILLANCEOP4,takeoff,0
2.05000000,SURVEILLANCEOP5,takeoff,0
10.05000000,BACKGROUND1,takeoff,0
19.05000000,BACKGROUND2,takeoff,0
28.05000000,BACKGROUND3,takeoff,0
55.05000000,BACKGROUND4,takeoff,0
65.05000000,BACKGROUND5,takeoff,0
83.05000000,BACKGROUND6,takeoff,0
92.05000000,BACKGROUND7,takeoff,0
101.05000000,BACKGROUND8,takeoff,0
138.05000000,BACKGROUND10,takeoff,0
156.05000000,BACKGROUND11,takeoff,0
179.05000000,BACKGROUND9,takeoff,0
193.05000000,BACKGROUND12,takeoff,0
229.05000000,BACKGROUND14,takeoff,0
257.05000000,BACKGROUND15,takeoff,0
296.25000000,BACKGROUND1,landing,3369.85458657
300.05000000,BACKGROUND13,takeoff,0
302.55000000,BACKGROUND5,landing,2972.17643827
302.55000000,BACKGROUND5,takeoff,0
302.75000000,BACKGROUND7,landing,2592.46823148
302.75000000,BACKGROUND7,takeoff,0
303.95000000,BACKGROUND9,landing,705.86035493
303.95000000,BACKGROUND9,takeoff,0
304.60000000,BACKGROUND11,landing,1357.16791426
304.60000000,BACKGROUND11,takeoff,0
304.60000000,BACKGROUND15,landing,226.04811732
304.60000000,BACKGROUND15,takeoff,0
306.00000000,BACKGROUND6,landing,2736.05778637
306.00000000,BACKGROUND6,takeoff,0
306.35000000,BACKGROUND10,landing,1600.21286590
307.70000000,BACKGROUND4,landing,3740.05645951
307.70000000,BACKGROUND4,takeoff,0
308.20000000,BACKGROUND3,landing,3998.56840532
308.20000000,BACKGROUND3,takeoff,0
310.70000000,BACKGROUND14,landing,963.04784191
310.70000000,BACKGROUND14,takeoff,0
311.85000000,BACKGROUND2,landing,1257.35391042
311.85000000,BACKGROUND2,takeoff,0
