# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
224.00000000,BACKGROUND3,BACKGROUND8,0.00172491
278.00000000,BACKGROUND11,BACKGROUND23,1.05376175
393.00000000,BACKGROUND13,BACKGROUND32,1.45001962
573.00000000,BACKGROUND17,BACKGROUND44,11.39676108
596.00000000,BACKGROUND43,BACKGROUND47,11.49378216
610.00000000,BACKGROUND43,BACKGROUND47,0.29309320
614.00000000,BACKGROUND23,BACKGROUND41,0.23550227
637.00000000,BACKGROUND37,BACKGROUND40,0.00000035
673.00000000,BACKGROUND43,BACKGROUND47,15.54375203
720.00000000,BACKGROUND43,BACKGROUND47,13.24366350
726.00000000,SURVEILLANCEOP0,SURVEILLANCEOP1,0.13269695
749.00000000,BACKGROUND43,BACKGROUND47,0.13803642
880.00000000,BACKGROUND11,BACKGROUND55,0.00146031
970.00000000,BACKGROUND56,BACKGROUND68,1.22924289
1051.00000000,SURVEILLANCEOP0,SURVEILLANCEOP2,9.20031091
1097.00000000,SURVEILLANCEOP0,SURVEILLANCEOP6,3.08601385
1110.00000000,BACKGROUND59,BACKGROUND70,0.00231036
1111.00000000,BACKGROUND65,BACKGROUND71,4.72120097
1120.00000000,BACKGROUND65,BACKGROUND71,4.76423883
1124.00000000,BACKGROUND63,BACKGROUND78,0.20557405
1129.00000000,BACKGROUND63,BACKGROUND78,25.99765280
1131.00000000,BACKGROUND65,BACKGROUND71,4.05891024
1135.00000000,BACKGROUND65,BACKGROUND71,3.93213934
1138.00000000,BACKGROUND65,BACKGROUND71,0.05042070
1155.00000000,BACKGROUND70,BACKGROUND85,0.18179094
1180.00000000,BACKGROUND59,BACKGROUND77,0.00195320
1222.00000000,BACKGROUND77,BACKGROUND85,0.21484151
1255.00000000,BACKGROUND51,BACKGROUND90,0.00420438
1281.00000000,BACKGROUND101,BACKGROUND85,0.60346840
1307.00000000,BACKGROUND51,BACKGROUND95,0.78509685
1351.00000000,BACKGROUND105,BACKGROUND112,13.38315917
1372.00000000,BACKGROUND57,BACKGROUND77,26.47854059
1373.00000000,BACKGROUND57,BACKGROUND77,26.47854058
1374.00000000,BACKGROUND57,BACKGROUND77,26.47854058
1375.00000000,BACKGROUND57,BACKGROUND77,26.47854057
1376.00000000,BACKGROUND57,BACKGROUND77,26.47854057
1377.00000000,BACKGROUND57,BACKGROUND77,26.47854057
1378.00000000,BACKGROUND57,BACKGROUND77,26.47854057
1379.00000000,BACKGROUND57,BACKGROUND77,26.47854058
1380.00000000,BACKGROUND57,BACKGROUND77,26.47854058
