# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
15.00000000,D719,takeoff,0
55.00000000,D024,takeoff,0
75.00000000,D933,takeoff,0
85.00000000,D794,takeoff,0
110.00000000,D285,takeoff,0
130.00000000,D452,takeoff,0
135.00000000,D012,takeoff,0
155.00000000,D411,takeoff,0
170.00000000,D034,takeoff,0
210.00000000,D304,takeoff,0
220.00000000,D191,takeoff,0
225.00000000,D368,takeoff,0
245.00000000,D501,takeoff,0
265.00000000,D295,takeoff,0
270.00000000,D428,takeoff,0
276.10000000,D452,landing,1523.38280005
295.00000000,D680,takeoff,0
325.00000000,D337,takeoff,0
330.00000000,D895,takeoff,0
340.80000000,D794,landing,3047.77318238
365.00000000,D677,takeoff,0
371.00000000,D285,landing,4011.61294226
375.00000000,D272,takeoff,0
381.20000000,D191,landing,2171.70938739
385.45000000,D411,landing,2323.66657646
390.00000000,D416,takeoff,0
395.00000000,D912,takeoff,0
403.80000000,D933,landing,3155.60810043
405.00000000,D663,takeoff,0
410.00000000,D346,takeoff,0
415.00000000,D562,takeoff,0
417.55000000,D719,landing,3985.99505764
431.35000000,D024,landing,2788.02539445
443.90000000,D428,landing,1802.92680961
450.00000000,D541,takeoff,0
455.00000000,D317,takeoff,0
456.15000000,D012,landing,2305.85797248
475.00000000,D864,takeoff,0
480.00000000,D213,takeoff,0
494.95000000,D034,landing,5091.37499776
504.20000000,D501,landing,2996.05547786
506.65000000,D663,landing,1317.38020263
510.00000000,D982,takeoff,0
525.00000000,D033,takeoff,0
532.20000000,D416,landing,1856.95622011
547.05000000,D677,landing,2177.19783712
560.00000000,D237,takeoff,0
565.00000000,D005,takeoff,0
580.00000000,D967,takeoff,0
585.00000000,D277,takeoff,0
601.80000000,D337,landing,3975.16916391
605.00000000,D272,landing,3361.62342548
613.15000000,D295,landing,2680.26524218
614.80000000,D368,landing,5070.33036341
630.30000000,D680,landing,5123.25979158
640.25000000,D033,landing,1485.12089256
660.00000000,D363,takeoff,0
678.40000000,D541,landing,2900.86829687
689.05000000,D304,landing,6708.36971463
710.85000000,D895,landing,3308.15291009
726.95000000,D005,landing,2076.16279259
731.35000000,D982,landing,2824.72025100
735.00000000,D491,takeoff,0
745.00000000,D712,takeoff,0
765.00000000,D541,takeoff,0
785.00000000,D663,takeoff,0
795.00000000,D742,takeoff,0
796.10000000,D317,landing,4180.55224613
830.00000000,D821,takeoff,0
835.00000000,D443,takeoff,0
842.15000000,D912,landing,5126.26326930
845.00000000,D724,takeoff,0
859.95000000,D237,landing,4705.84180208
868.20000000,D491,landing,1893.36913049
870.00000000,D828,takeoff,0
875.00000000,D108,takeoff,0
875.70000000,D864,landing,2955.64487356
880.00000000,D531,takeoff,0
890.00000000,D449,takeoff,0
895.00000000,D161,takeoff,0
904.20000000,D562,landing,4384.75995330
905.00000000,D052,takeoff,0
912.25000000,D277,landing,4348.44864787
915.00000000,D901,takeoff,0
915.40000000,D724,landing,899.19751804
925.00000000,D653,takeoff,0
927.85000000,D742,landing,2107.10021140
935.00000000,D550,takeoff,0
945.00000000,D889,takeoff,0
945.20000000,D663,landing,1814.69003857
950.00000000,D075,takeoff,0
960.00000000,D284,takeoff,0
982.15000000,D346,landing,5468.25201287
985.00000000,D338,takeoff,0
1005.00000000,D865,takeoff,0
1006.05000000,D531,landing,1447.27890480
1020.00000000,D498,takeoff,0
1025.00000000,D849,takeoff,0
1030.55000000,D541,landing,2800.83806010
1040.00000000,D330,takeoff,0
1045.00000000,D627,takeoff,0
1054.05000000,D075,landing,1532.02517430
1060.00000000,D605,takeoff,0
1075.95000000,D653,landing,1295.94968536
1094.40000000,D712,landing,5614.82489555
1095.00000000,D451,takeoff,0
1105.00000000,D031,takeoff,0
1120.00000000,D374,takeoff,0
1127.10000000,D901,landing,2203.42906396
1130.00000000,D228,takeoff,0
1160.00000000,D466,takeoff,0
1165.00000000,D120,takeoff,0
1178.60000000,D330,landing,1311.24515034
1180.00000000,D227,takeoff,0
1190.00000000,D683,takeoff,0
1200.00000000,D110,takeoff,0
