# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
394.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,start
407.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,end
444.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,start
448.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,end
529.00000000,BACKGROUND6,SURVEILLANCE_HELICOPTER,start
560.00000000,BACKGROUND6,SURVEILLANCE_HELICOPTER,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
1043.00000000,BACKGROUND6,BACKGROUND7,start
1046.00000000,BACKGROUND6,BACKGROUND7,end
