# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
575.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
594.00000000,BACKGROUND3,SURVEILLANCEOP4,start
601.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
606.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
607.00000000,BACKGROUND3,SURVEILLANCEOP5,start
607.00000000,BACKGROUND3,SURVEILLANCEOP4,end
609.00000000,BACKGROUND3,SURVEILLANCEOP5,end
612.00000000,BACKGROUND3,SURVEILLANCEOP5,start
614.00000000,BACKGROUND3,SURVEILLANCEOP5,end
1695.00000000,BACKGROUND20,BACKGROUND21,start
1700.00000000,BACKGROUND20,BACKGROUND21,end
