# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
236.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
240.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
362.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,start
374.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,end
530.00000000,BACKGROUND1,SURVEILLANCE_HELICOPTER,start
536.00000000,BACKGROUND1,SURVEILLANCE_HELICOPTER,end
591.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
599.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
835.00000000,BACKGROUND5,BACKGROUND9,start
836.00000000,BACKGROUND5,BACKGROUND9,end
