# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
303.00000000,BACKGROUND1,landing,4034.27572893
303.00000000,BACKGROUND1,takeoff,0
304.55000000,BACKGROUND2,landing,2322.08210315
316.75000000,BACKGROUND3,landing,1285.02454574
316.75000000,BACKGROUND3,takeoff,0
331.50000000,BACKGROUND4,landing,134.70953313
331.50000000,BACKGROUND4,takeoff,0
373.65000000,BACKGROUND1,landing,391.77053096
450.55000000,BACKGROUND3,landing,297.40193601
492.05000000,SURVEILLANCEOP5,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
600.70000000,BACKGROUND4,landing,3384.75893100
600.70000000,BACKGROUND4,takeoff,0
693.35000000,SURVEILLANCE_HELICOPTER,landing,8844.59900772
720.05000000,BACKGROUND9,takeoff,0
836.25000000,BACKGROUND4,landing,2344.06202762
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
913.35000000,BACKGROUND9,landing,2189.05997077
913.35000000,BACKGROUND9,takeoff,0
922.30000000,SURVEILLANCEOP4,landing,6465.71768695
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
927.50000000,BACKGROUND11,landing,375.09818845
927.50000000,BACKGROUND11,takeoff,0
936.05000000,BACKGROUND12,takeoff,0
1008.05000000,BACKGROUND13,takeoff,0
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1193.70000000,SURVEILLANCEOP5,landing,6933.28287257
1204.35000000,BACKGROUND9,landing,2718.39660470
1204.35000000,BACKGROUND9,takeoff,0
1210.55000000,BACKGROUND12,landing,1416.85983078
1210.55000000,BACKGROUND12,takeoff,0
1211.05000000,BACKGROUND15,takeoff,0
1270.80000000,BACKGROUND11,landing,1968.85308741
1295.05000000,BACKGROUND17,takeoff,0
1299.45000000,BACKGROUND13,landing,1985.32103673
1367.05000000,BACKGROUND18,takeoff,0
1439.05000000,BACKGROUND19,takeoff,0
1495.15000000,BACKGROUND9,landing,2686.15115198
1502.50000000,BACKGROUND19,landing,740.25660187
1502.50000000,BACKGROUND19,takeoff,0
1502.95000000,BACKGROUND12,landing,2877.59504571
1502.95000000,BACKGROUND12,takeoff,0
1503.75000000,BACKGROUND18,landing,1034.07764211
1503.75000000,BACKGROUND18,takeoff,0
1504.65000000,BACKGROUND17,landing,1523.62726064
1504.65000000,BACKGROUND17,takeoff,0
1511.05000000,BACKGROUND20,takeoff,0
1513.30000000,BACKGROUND15,landing,1844.12740075
1513.30000000,BACKGROUND15,takeoff,0
1583.05000000,BACKGROUND21,takeoff,0
1727.05000000,BACKGROUND23,takeoff,0
1756.00000000,BACKGROUND18,landing,2441.40080578
1799.05000000,BACKGROUND24,takeoff,0
