# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
197.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
231.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
314.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,start
328.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,end
361.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
374.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
528.00000000,BACKGROUND5,SURVEILLANCE_HELICOPTER,start
534.00000000,BACKGROUND5,SURVEILLANCE_HELICOPTER,end
578.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
595.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
602.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
