# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
197.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
240.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
323.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,start
328.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,end
361.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
374.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
528.00000000,BACKGROUND5,SURVEILLANCE_HELICOPTER,start
534.00000000,BACKGROUND5,SURVEILLANCE_HELICOPTER,end
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
595.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
