# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
302.45000000,BACKGROUND1,landing,2516.61263701
302.45000000,BACKGROUND1,takeoff,0
305.45000000,BACKGROUND4,landing,260.76750000
305.45000000,BACKGROUND4,takeoff,0
308.05000000,BACKGROUND3,landing,1837.99565556
308.05000000,BACKGROUND3,takeoff,0
360.05000000,BACKGROUND5,takeoff,0
374.30000000,BACKGROUND2,landing,2411.21436106
432.05000000,BACKGROUND6,takeoff,0
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND7,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
600.25000000,BACKGROUND6,landing,981.65928774
600.25000000,BACKGROUND6,takeoff,0
611.25000000,BACKGROUND4,landing,2539.81742005
611.25000000,BACKGROUND4,takeoff,0
613.00000000,BACKGROUND3,landing,3234.68440460
613.00000000,BACKGROUND3,takeoff,0
630.25000000,BACKGROUND5,landing,1488.08019708
646.40000000,BACKGROUND7,landing,1036.48123284
646.40000000,BACKGROUND7,takeoff,0
693.35000000,SURVEILLANCE_HELICOPTER,landing,8844.59900772
743.15000000,BACKGROUND3,landing,657.74062251
769.80000000,BACKGROUND1,landing,2804.86476506
792.05000000,BACKGROUND10,takeoff,0
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
895.55000000,BACKGROUND6,landing,1557.13726973
901.10000000,BACKGROUND7,landing,2166.26783104
901.10000000,BACKGROUND7,takeoff,0
906.65000000,BACKGROUND10,landing,1405.55974780
906.65000000,BACKGROUND10,takeoff,0
916.40000000,BACKGROUND11,landing,604.61350558
916.40000000,BACKGROUND11,takeoff,0
922.30000000,SURVEILLANCEOP4,landing,6465.71768695
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
936.05000000,BACKGROUND12,takeoff,0
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1080.05000000,BACKGROUND14,takeoff,0
1193.70000000,SURVEILLANCEOP5,landing,6933.28287257
1201.00000000,BACKGROUND14,landing,877.52578681
1201.00000000,BACKGROUND14,takeoff,0
1212.65000000,BACKGROUND12,landing,1850.56955530
1212.65000000,BACKGROUND12,takeoff,0
1213.00000000,BACKGROUND7,landing,2187.06591740
1213.00000000,BACKGROUND7,takeoff,0
1216.05000000,BACKGROUND10,landing,2592.22863262
1216.05000000,BACKGROUND10,takeoff,0
1233.45000000,BACKGROUND11,landing,2108.19510078
1233.45000000,BACKGROUND11,takeoff,0
1283.05000000,BACKGROUND15,takeoff,0
1320.20000000,BACKGROUND10,landing,620.19921975
1367.05000000,BACKGROUND16,takeoff,0
1414.90000000,BACKGROUND11,landing,1895.24734254
1437.25000000,BACKGROUND7,landing,1234.35185519
1439.05000000,BACKGROUND17,takeoff,0
1494.05000000,BACKGROUND12,landing,1695.41624306
1504.95000000,BACKGROUND15,landing,946.66585851
1504.95000000,BACKGROUND15,takeoff,0
1511.20000000,BACKGROUND17,landing,455.77948176
1511.20000000,BACKGROUND17,takeoff,0
1511.70000000,BACKGROUND16,landing,588.81673547
1511.70000000,BACKGROUND16,takeoff,0
1521.55000000,BACKGROUND14,landing,3088.95656372
1521.55000000,BACKGROUND14,takeoff,0
1753.35000000,BACKGROUND14,landing,2414.83948111
1787.05000000,BACKGROUND19,takeoff,0
1799.05000000,BACKGROUND20,takeoff,0
