# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
302.45000000,BACKGROUND1,landing,2516.61263701
302.45000000,BACKGROUND1,takeoff,0
305.45000000,BACKGROUND4,landing,260.76750000
305.45000000,BACKGROUND4,takeoff,0
308.05000000,BACKGROUND3,landing,1837.99565556
308.05000000,BACKGROUND3,takeoff,0
360.05000000,BACKGROUND5,takeoff,0
374.30000000,BACKGROUND2,landing,2411.21436106
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND7,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
600.05000000,BACKGROUND6,takeoff,0
600.25000000,BACKGROUND4,landing,2941.32244525
600.25000000,BACKGROUND4,takeoff,0
609.20000000,BACKGROUND7,landing,1013.30836973
609.20000000,BACKGROUND7,takeoff,0
610.00000000,BACKGROUND5,landing,1484.44551899
612.45000000,BACKGROUND3,landing,3186.46890088
612.45000000,BACKGROUND3,takeoff,0
693.35000000,SURVEILLANCE_HELICOPTER,landing,8844.59900772
769.80000000,BACKGROUND1,landing,2804.86476506
774.00000000,BACKGROUND3,landing,470.64276538
792.05000000,BACKGROUND10,takeoff,0
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
902.45000000,BACKGROUND6,landing,1809.74728122
902.45000000,BACKGROUND6,takeoff,0
902.75000000,BACKGROUND10,landing,966.74122747
902.75000000,BACKGROUND10,takeoff,0
904.00000000,BACKGROUND7,landing,3921.55440461
904.00000000,BACKGROUND7,takeoff,0
916.40000000,BACKGROUND11,landing,604.61350558
916.40000000,BACKGROUND11,takeoff,0
922.30000000,SURVEILLANCEOP4,landing,6465.71768695
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
950.30000000,BACKGROUND4,landing,2138.38532821
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1080.05000000,BACKGROUND14,takeoff,0
1162.95000000,BACKGROUND6,landing,1318.46427455
1193.70000000,SURVEILLANCEOP5,landing,6933.28287257
1198.65000000,BACKGROUND7,landing,2772.81705667
1205.40000000,BACKGROUND14,landing,1137.61992405
1205.40000000,BACKGROUND14,takeoff,0
1209.15000000,BACKGROUND10,landing,2196.30253766
1209.15000000,BACKGROUND10,takeoff,0
1223.05000000,BACKGROUND15,takeoff,0
1260.60000000,BACKGROUND11,landing,4156.08601515
1439.05000000,BACKGROUND16,takeoff,0
1503.65000000,BACKGROUND15,landing,2745.17432745
1503.65000000,BACKGROUND15,takeoff,0
1525.05000000,BACKGROUND16,landing,582.93370001
1525.05000000,BACKGROUND16,takeoff,0
1528.50000000,BACKGROUND14,landing,4231.05829299
1528.50000000,BACKGROUND14,takeoff,0
1567.85000000,BACKGROUND10,landing,2383.92574721
1622.30000000,BACKGROUND14,landing,592.11079092
1624.55000000,BACKGROUND15,landing,812.16661607
1727.05000000,BACKGROUND18,takeoff,0
1799.05000000,BACKGROUND19,takeoff,0
1800.05000000,BACKGROUND12,takeoff,0
