# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND3,takeoff,0
303.90000000,BACKGROUND3,landing,232.86750000
303.90000000,BACKGROUND3,takeoff,0
305.90000000,BACKGROUND2,landing,2028.22240528
305.90000000,BACKGROUND2,takeoff,0
337.75000000,BACKGROUND1,landing,4010.80724705
432.05000000,BACKGROUND4,takeoff,0
492.05000000,SURVEILLANCEOP5,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
605.35000000,BACKGROUND4,landing,1548.58101987
605.35000000,BACKGROUND4,takeoff,0
615.10000000,BACKGROUND3,landing,1462.88679648
615.10000000,BACKGROUND3,takeoff,0
648.05000000,BACKGROUND7,takeoff,0
649.30000000,BACKGROUND2,landing,1404.32093372
649.30000000,BACKGROUND2,takeoff,0
693.90000000,SURVEILLANCE_HELICOPTER,landing,8843.07020540
788.40000000,BACKGROUND3,landing,1034.24575728
791.85000000,BACKGROUND2,landing,1015.95386408
792.05000000,BACKGROUND8,takeoff,0
823.25000000,BACKGROUND4,landing,981.84102532
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND9,takeoff,0
900.75000000,BACKGROUND9,landing,293.21646548
900.75000000,BACKGROUND9,takeoff,0
910.45000000,BACKGROUND7,landing,2127.14747557
910.45000000,BACKGROUND7,takeoff,0
918.30000000,BACKGROUND8,landing,747.03179114
918.30000000,BACKGROUND8,takeoff,0
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
936.05000000,BACKGROUND10,takeoff,0
1008.05000000,BACKGROUND11,takeoff,0
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1073.00000000,BACKGROUND7,landing,967.29275899
1080.05000000,BACKGROUND12,takeoff,0
1151.05000000,BACKGROUND13,takeoff,0
1185.25000000,BACKGROUND8,landing,1849.95928429
1196.65000000,SURVEILLANCEOP5,landing,6935.21343608
1200.95000000,BACKGROUND9,landing,2936.68215693
1200.95000000,BACKGROUND9,takeoff,0
1204.35000000,BACKGROUND12,landing,739.77889366
1204.35000000,BACKGROUND12,takeoff,0
1205.90000000,BACKGROUND11,landing,1185.89213123
1205.90000000,BACKGROUND11,takeoff,0
1206.60000000,BACKGROUND13,landing,127.71276544
1206.60000000,BACKGROUND13,takeoff,0
1207.25000000,BACKGROUND10,landing,1341.02435878
1207.25000000,BACKGROUND10,takeoff,0
1283.05000000,BACKGROUND14,takeoff,0
1295.05000000,BACKGROUND15,takeoff,0
1305.05000000,BACKGROUND12,landing,598.57622135
1405.30000000,BACKGROUND10,landing,2038.34921755
1425.50000000,BACKGROUND11,landing,1975.04378297
1449.05000000,BACKGROUND9,landing,1103.00348803
1500.15000000,BACKGROUND15,landing,1693.03200132
1500.15000000,BACKGROUND15,takeoff,0
1512.25000000,BACKGROUND14,landing,1369.98486702
1512.25000000,BACKGROUND14,takeoff,0
1537.25000000,BACKGROUND13,landing,1954.33239428
1727.05000000,BACKGROUND19,takeoff,0
1799.05000000,BACKGROUND20,takeoff,0
