# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
1385.00000000,BACKGROUND10,BACKGROUND12,start
1387.00000000,BACKGROUND10,BACKGROUND12,end
1475.00000000,BACKGROUND13,BACKGROUND9,start
1481.00000000,BACKGROUND13,BACKGROUND9,end
