# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
225.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,start
234.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,end
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
242.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,start
247.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,end
283.00000000,BACKGROUND30,BACKGROUND33,start
286.00000000,BACKGROUND30,BACKGROUND33,end
290.00000000,BACKGROUND16,BACKGROUND9,start
292.00000000,BACKGROUND16,BACKGROUND9,end
314.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,start
323.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,end
396.00000000,BACKGROUND19,SURVEILLANCE_EUROWINGS,start
415.00000000,BACKGROUND19,SURVEILLANCE_EUROWINGS,end
442.00000000,BACKGROUND16,BACKGROUND42,start
444.00000000,BACKGROUND16,BACKGROUND42,end
537.00000000,BACKGROUND33,BACKGROUND38,start
577.00000000,BACKGROUND18,BACKGROUND28,start
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
579.00000000,BACKGROUND18,BACKGROUND28,end
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
624.00000000,BACKGROUND46,BACKGROUND55,start
626.00000000,BACKGROUND46,BACKGROUND55,end
667.00000000,BACKGROUND55,BACKGROUND58,start
669.00000000,BACKGROUND55,BACKGROUND58,end
700.00000000,BACKGROUND54,BACKGROUND59,start
702.00000000,BACKGROUND54,BACKGROUND59,end
833.00000000,BACKGROUND28,BACKGROUND82,start
834.00000000,BACKGROUND28,BACKGROUND82,end
867.00000000,BACKGROUND62,BACKGROUND71,start
869.00000000,BACKGROUND62,BACKGROUND71,end
910.00000000,BACKGROUND36,BACKGROUND93,start
911.00000000,BACKGROUND21,BACKGROUND49,start
912.00000000,BACKGROUND36,BACKGROUND93,end
917.00000000,BACKGROUND21,BACKGROUND49,end
922.00000000,BACKGROUND49,BACKGROUND67,start
923.00000000,BACKGROUND49,BACKGROUND67,end
969.00000000,BACKGROUND28,BACKGROUND59,start
971.00000000,BACKGROUND28,BACKGROUND59,end
1049.00000000,BACKGROUND78,BACKGROUND90,start
1051.00000000,BACKGROUND78,BACKGROUND90,end
1055.00000000,BACKGROUND112,BACKGROUND120,start
1063.00000000,BACKGROUND33,BACKGROUND38,end
1072.00000000,BACKGROUND112,BACKGROUND120,end
1079.00000000,BACKGROUND87,BACKGROUND89,start
1090.00000000,BACKGROUND39,BACKGROUND79,start
1107.00000000,BACKGROUND105,BACKGROUND89,start
1108.00000000,BACKGROUND105,BACKGROUND87,start
1109.00000000,BACKGROUND105,BACKGROUND89,end
1110.00000000,BACKGROUND105,BACKGROUND87,end
1114.00000000,BACKGROUND64,BACKGROUND68,start
1115.00000000,BACKGROUND87,BACKGROUND89,end
1116.00000000,BACKGROUND64,BACKGROUND68,end
1133.00000000,BACKGROUND59,BACKGROUND95,start
1135.00000000,BACKGROUND59,BACKGROUND95,end
1154.00000000,BACKGROUND126,BACKGROUND137,start
1155.00000000,BACKGROUND126,BACKGROUND137,end
1156.00000000,BACKGROUND135,BACKGROUND36,start
1158.00000000,BACKGROUND135,BACKGROUND36,end
1171.00000000,BACKGROUND39,BACKGROUND79,end
1215.00000000,BACKGROUND83,BACKGROUND96,start
1216.00000000,BACKGROUND83,BACKGROUND96,end
1259.00000000,BACKGROUND135,BACKGROUND78,start
1261.00000000,BACKGROUND135,BACKGROUND78,end
1275.00000000,BACKGROUND126,BACKGROUND41,start
1277.00000000,BACKGROUND126,BACKGROUND41,end
1279.00000000,BACKGROUND126,BACKGROUND59,start
1281.00000000,BACKGROUND126,BACKGROUND59,end
1291.00000000,BACKGROUND145,BACKGROUND87,start
1293.00000000,BACKGROUND145,BACKGROUND87,end
1373.00000000,BACKGROUND140,BACKGROUND165,start
1375.00000000,BACKGROUND140,BACKGROUND165,end
1469.00000000,BACKGROUND151,BACKGROUND159,start
1471.00000000,BACKGROUND151,BACKGROUND159,end
1474.00000000,BACKGROUND62,BACKGROUND78,start
1477.00000000,BACKGROUND39,BACKGROUND79,start
1490.00000000,BACKGROUND140,BACKGROUND39,start
1491.00000000,BACKGROUND140,BACKGROUND79,start
1491.00000000,BACKGROUND140,BACKGROUND39,end
1492.00000000,BACKGROUND140,BACKGROUND79,end
1495.00000000,BACKGROUND62,BACKGROUND78,end
1498.00000000,BACKGROUND39,BACKGROUND79,end
1544.00000000,BACKGROUND39,BACKGROUND79,start
1551.00000000,BACKGROUND147,BACKGROUND160,start
1554.00000000,BACKGROUND147,BACKGROUND160,end
1557.00000000,BACKGROUND62,BACKGROUND78,start
1585.00000000,BACKGROUND39,BACKGROUND79,end
1587.00000000,BACKGROUND62,BACKGROUND78,end
1707.00000000,BACKGROUND172,BACKGROUND179,start
1709.00000000,BACKGROUND172,BACKGROUND179,end
1773.00000000,BACKGROUND170,BACKGROUND185,start
1776.00000000,BACKGROUND170,BACKGROUND185,end
1801.00000000,BACKGROUND147,BACKGROUND209,start
