# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
111.00000000,BACKGROUND13,BACKGROUND7,start
112.00000000,BACKGROUND13,BACKGROUND7,end
194.00000000,BACKGROUND12,BACKGROUND19,start
200.00000000,BACKGROUND12,BACKGROUND19,end
216.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,start
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
232.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,start
236.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,end
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
247.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,end
276.00000000,BACKGROUND30,BACKGROUND33,start
281.00000000,BACKGROUND30,BACKGROUND33,end
284.00000000,BACKGROUND16,BACKGROUND9,start
291.00000000,BACKGROUND16,BACKGROUND9,end
305.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,start
319.00000000,BACKGROUND17,SURVEILLANCE_EUROWINGS,start
322.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,start
329.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,end
338.00000000,BACKGROUND17,SURVEILLANCE_EUROWINGS,end
339.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,end
351.00000000,BACKGROUND19,SURVEILLANCE_EUROWINGS,start
363.00000000,BACKGROUND19,SURVEILLANCE_EUROWINGS,end
432.00000000,BACKGROUND33,BACKGROUND44,start
433.00000000,BACKGROUND33,BACKGROUND44,end
434.00000000,BACKGROUND16,BACKGROUND42,start
434.00000000,BACKGROUND33,BACKGROUND44,start
435.00000000,BACKGROUND16,BACKGROUND42,end
435.00000000,BACKGROUND33,BACKGROUND44,end
440.00000000,BACKGROUND16,BACKGROUND42,start
446.00000000,BACKGROUND16,BACKGROUND42,end
553.00000000,BACKGROUND20,BACKGROUND68,start
555.00000000,BACKGROUND20,BACKGROUND68,end
572.00000000,BACKGROUND18,BACKGROUND28,start
573.00000000,BACKGROUND18,BACKGROUND28,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
589.00000000,BACKGROUND51,BACKGROUND66,start
590.00000000,BACKGROUND68,BACKGROUND71,start
591.00000000,BACKGROUND68,BACKGROUND71,end
593.00000000,BACKGROUND18,BACKGROUND73,start
594.00000000,BACKGROUND18,BACKGROUND73,end
594.00000000,BACKGROUND51,BACKGROUND66,end
602.00000000,BACKGROUND33,BACKGROUND44,start
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
603.00000000,BACKGROUND33,BACKGROUND44,end
605.00000000,BACKGROUND33,BACKGROUND44,start
606.00000000,BACKGROUND68,BACKGROUND71,start
607.00000000,BACKGROUND68,BACKGROUND71,end
