# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
121.00000000,BACKGROUND1,BACKGROUND3,start
123.00000000,BACKGROUND1,BACKGROUND3,end
221.00000000,BACKGROUND17,SURVEILLANCE_LUFTHANSA,start
223.00000000,BACKGROUND13,BACKGROUND5,start
226.00000000,BACKGROUND13,BACKGROUND5,end
230.00000000,BACKGROUND17,SURVEILLANCE_LUFTHANSA,end
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
240.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
242.00000000,BACKGROUND10,BACKGROUND7,start
244.00000000,BACKGROUND10,BACKGROUND7,end
251.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,end
308.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,start
311.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,end
324.00000000,BACKGROUND21,SURVEILLANCE_EUROWINGS,end
527.00000000,BACKGROUND23,BACKGROUND8,start
532.00000000,BACKGROUND23,BACKGROUND8,end
542.00000000,BACKGROUND38,BACKGROUND44,start
544.00000000,BACKGROUND38,BACKGROUND44,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
601.00000000,BACKGROUND43,BACKGROUND9,start
602.00000000,BACKGROUND43,BACKGROUND9,end
604.00000000,BACKGROUND27,BACKGROUND56,start
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
606.00000000,BACKGROUND27,BACKGROUND56,end
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
693.00000000,BACKGROUND36,BACKGROUND65,start
694.00000000,BACKGROUND36,BACKGROUND65,end
768.00000000,BACKGROUND45,BACKGROUND54,start
770.00000000,BACKGROUND45,BACKGROUND54,end
800.00000000,BACKGROUND65,BACKGROUND68,start
804.00000000,BACKGROUND65,BACKGROUND68,end
813.00000000,BACKGROUND63,BACKGROUND85,start
834.00000000,BACKGROUND63,BACKGROUND85,end
843.00000000,BACKGROUND36,BACKGROUND59,start
867.00000000,BACKGROUND36,BACKGROUND59,end
983.00000000,BACKGROUND68,BACKGROUND91,start
986.00000000,BACKGROUND68,BACKGROUND91,end
1014.00000000,BACKGROUND55,BACKGROUND96,start
1016.00000000,BACKGROUND55,BACKGROUND96,end
1045.00000000,BACKGROUND54,BACKGROUND65,start
1058.00000000,BACKGROUND54,BACKGROUND65,end
1097.00000000,BACKGROUND114,BACKGROUND67,start
1100.00000000,BACKGROUND114,BACKGROUND67,end
1128.00000000,BACKGROUND105,BACKGROUND87,start
1131.00000000,BACKGROUND105,BACKGROUND87,end
1234.00000000,BACKGROUND111,BACKGROUND94,start
1236.00000000,BACKGROUND111,BACKGROUND94,end
1237.00000000,BACKGROUND61,BACKGROUND67,start
1239.00000000,BACKGROUND61,BACKGROUND67,end
1271.00000000,BACKGROUND56,BACKGROUND94,start
1273.00000000,BACKGROUND56,BACKGROUND94,end
1536.00000000,BACKGROUND131,BACKGROUND159,start
1541.00000000,BACKGROUND108,BACKGROUND84,start
1542.00000000,BACKGROUND131,BACKGROUND159,end
1545.00000000,BACKGROUND108,BACKGROUND84,end
1632.00000000,BACKGROUND91,BACKGROUND96,start
1635.00000000,BACKGROUND91,BACKGROUND96,end
1652.00000000,BACKGROUND130,BACKGROUND134,start
1655.00000000,BACKGROUND130,BACKGROUND134,end
1679.00000000,BACKGROUND144,BACKGROUND84,start
1681.00000000,BACKGROUND144,BACKGROUND84,end
1704.00000000,BACKGROUND131,BACKGROUND151,start
1708.00000000,BACKGROUND131,BACKGROUND151,end
1717.00000000,BACKGROUND108,BACKGROUND144,start
1720.00000000,BACKGROUND108,BACKGROUND144,end
1735.00000000,BACKGROUND134,BACKGROUND142,start
1737.00000000,BACKGROUND134,BACKGROUND142,end
1789.00000000,BACKGROUND101,BACKGROUND120,start
1792.00000000,BACKGROUND101,BACKGROUND120,end
