# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
262.00000000,BACKGROUND2,BACKGROUND6,start
262.00000000,BACKGROUND18,BACKGROUND5,start
273.00000000,BACKGROUND18,BACKGROUND5,end
281.00000000,BACKGROUND2,BACKGROUND6,end
282.00000000,BACKGROUND2,BACKGROUND6,start
292.00000000,BACKGROUND29,BACKGROUND31,start
298.00000000,BACKGROUND2,BACKGROUND6,end
299.00000000,BACKGROUND2,BACKGROUND6,start
300.00000000,BACKGROUND2,BACKGROUND6,end
306.00000000,BACKGROUND2,BACKGROUND6,start
306.00000000,BACKGROUND29,BACKGROUND31,end
314.00000000,BACKGROUND2,BACKGROUND6,end
315.00000000,BACKGROUND2,BACKGROUND4,start
322.00000000,BACKGROUND2,BACKGROUND4,end
339.00000000,BACKGROUND27,BACKGROUND4,start
344.00000000,BACKGROUND23,BACKGROUND32,start
347.00000000,BACKGROUND27,BACKGROUND4,end
354.00000000,BACKGROUND23,BACKGROUND32,end
358.00000000,BACKGROUND23,BACKGROUND32,start
359.00000000,BACKGROUND23,BACKGROUND32,end
369.00000000,BACKGROUND23,BACKGROUND9,start
370.00000000,BACKGROUND23,BACKGROUND9,end
458.00000000,BACKGROUND23,BACKGROUND44,start
465.00000000,BACKGROUND32,BACKGROUND38,start
467.00000000,BACKGROUND32,BACKGROUND38,end
468.00000000,BACKGROUND23,BACKGROUND44,end
515.00000000,BACKGROUND36,BACKGROUND49,start
516.00000000,BACKGROUND36,BACKGROUND49,end
543.00000000,BACKGROUND36,BACKGROUND55,start
547.00000000,BACKGROUND36,BACKGROUND55,end
562.00000000,BACKGROUND46,BACKGROUND60,start
573.00000000,BACKGROUND46,BACKGROUND60,end
575.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
601.00000000,BACKGROUND23,BACKGROUND36,start
602.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
607.00000000,BACKGROUND23,BACKGROUND36,end
635.00000000,BACKGROUND23,BACKGROUND57,start
637.00000000,BACKGROUND23,BACKGROUND57,end
643.00000000,BACKGROUND36,BACKGROUND57,start
649.00000000,BACKGROUND23,BACKGROUND36,start
649.00000000,BACKGROUND57,BACKGROUND80,start
651.00000000,BACKGROUND36,BACKGROUND57,end
652.00000000,BACKGROUND23,BACKGROUND36,end
653.00000000,BACKGROUND23,BACKGROUND80,start
655.00000000,BACKGROUND23,BACKGROUND80,end
657.00000000,BACKGROUND57,BACKGROUND80,end
673.00000000,BACKGROUND44,BACKGROUND65,start
681.00000000,BACKGROUND27,BACKGROUND34,start
684.00000000,BACKGROUND44,BACKGROUND65,end
690.00000000,BACKGROUND27,BACKGROUND34,end
747.00000000,BACKGROUND23,BACKGROUND73,start
752.00000000,BACKGROUND23,BACKGROUND73,end
753.00000000,BACKGROUND23,BACKGROUND73,start
755.00000000,BACKGROUND23,BACKGROUND73,end
756.00000000,BACKGROUND23,BACKGROUND73,start
757.00000000,BACKGROUND23,BACKGROUND73,end
769.00000000,BACKGROUND23,BACKGROUND73,start
770.00000000,BACKGROUND57,BACKGROUND76,start
770.00000000,BACKGROUND23,BACKGROUND73,end
776.00000000,BACKGROUND57,BACKGROUND76,end
794.00000000,BACKGROUND73,BACKGROUND76,start
802.00000000,BACKGROUND23,BACKGROUND76,start
804.00000000,BACKGROUND73,BACKGROUND76,end
805.00000000,BACKGROUND23,BACKGROUND76,end
818.00000000,BACKGROUND27,BACKGROUND54,start
827.00000000,BACKGROUND27,BACKGROUND54,end
829.00000000,BACKGROUND27,BACKGROUND58,start
836.00000000,BACKGROUND27,BACKGROUND58,end
904.00000000,BACKGROUND92,BACKGROUND94,start
908.00000000,BACKGROUND92,BACKGROUND94,end
935.00000000,BACKGROUND76,BACKGROUND99,start
936.00000000,BACKGROUND76,BACKGROUND99,end
950.00000000,BACKGROUND76,BACKGROUND99,start
951.00000000,BACKGROUND53,BACKGROUND77,start
951.00000000,BACKGROUND109,BACKGROUND60,start
954.00000000,BACKGROUND53,BACKGROUND77,end
954.00000000,BACKGROUND76,BACKGROUND99,end
954.00000000,BACKGROUND109,BACKGROUND60,end
961.00000000,BACKGROUND100,BACKGROUND109,start
963.00000000,BACKGROUND59,BACKGROUND83,start
966.00000000,BACKGROUND100,BACKGROUND109,end
967.00000000,BACKGROUND90,BACKGROUND92,start
970.00000000,BACKGROUND90,BACKGROUND94,start
971.00000000,BACKGROUND59,BACKGROUND83,end
975.00000000,BACKGROUND90,BACKGROUND92,end
977.00000000,BACKGROUND90,BACKGROUND94,end
979.00000000,BACKGROUND34,BACKGROUND78,start
980.00000000,BACKGROUND34,BACKGROUND78,end
984.00000000,BACKGROUND92,BACKGROUND94,start
1018.00000000,BACKGROUND92,BACKGROUND94,end
1146.00000000,BACKGROUND84,BACKGROUND94,start
1148.00000000,BACKGROUND84,BACKGROUND94,end
1160.00000000,BACKGROUND84,BACKGROUND94,start
1163.00000000,BACKGROUND84,BACKGROUND94,end
1186.00000000,BACKGROUND133,BACKGROUND80,start
1192.00000000,BACKGROUND133,BACKGROUND80,end
1198.00000000,BACKGROUND123,BACKGROUND59,start
1199.00000000,BACKGROUND123,BACKGROUND59,end
1215.00000000,BACKGROUND133,BACKGROUND80,start
1216.00000000,BACKGROUND133,BACKGROUND80,end
1236.00000000,BACKGROUND136,BACKGROUND94,start
1237.00000000,BACKGROUND136,BACKGROUND94,end
1250.00000000,BACKGROUND136,BACKGROUND94,start
1251.00000000,BACKGROUND136,BACKGROUND94,end
1312.00000000,BACKGROUND119,BACKGROUND144,start
1313.00000000,BACKGROUND157,BACKGROUND160,start
1315.00000000,BACKGROUND157,BACKGROUND160,end
1320.00000000,BACKGROUND119,BACKGROUND144,end
1327.00000000,BACKGROUND157,BACKGROUND160,start
1328.00000000,BACKGROUND157,BACKGROUND160,end
1334.00000000,BACKGROUND157,BACKGROUND40,start
1335.00000000,BACKGROUND157,BACKGROUND40,end
1338.00000000,BACKGROUND160,BACKGROUND40,start
1339.00000000,BACKGROUND160,BACKGROUND40,end
1343.00000000,BACKGROUND140,BACKGROUND40,start
1347.00000000,BACKGROUND140,BACKGROUND40,end
1361.00000000,BACKGROUND76,BACKGROUND84,start
1387.00000000,BACKGROUND76,BACKGROUND84,end
1397.00000000,BACKGROUND141,BACKGROUND98,start
1406.00000000,BACKGROUND141,BACKGROUND98,end
1428.00000000,BACKGROUND123,BACKGROUND98,start
1433.00000000,BACKGROUND123,BACKGROUND98,end
1515.00000000,BACKGROUND119,BACKGROUND88,start
1520.00000000,BACKGROUND119,BACKGROUND88,end
1533.00000000,BACKGROUND132,BACKGROUND136,start
1534.00000000,BACKGROUND132,BACKGROUND136,end
1610.00000000,BACKGROUND151,BACKGROUND94,start
1616.00000000,BACKGROUND184,BACKGROUND98,start
1620.00000000,BACKGROUND151,BACKGROUND94,end
1625.00000000,BACKGROUND184,BACKGROUND98,end
1636.00000000,BACKGROUND177,BACKGROUND192,start
1638.00000000,BACKGROUND177,BACKGROUND192,end
1659.00000000,BACKGROUND162,BACKGROUND188,start
1669.00000000,BACKGROUND162,BACKGROUND188,end
1689.00000000,BACKGROUND141,BACKGROUND170,start
1699.00000000,BACKGROUND141,BACKGROUND170,end
1730.00000000,BACKGROUND162,BACKGROUND199,start
1734.00000000,BACKGROUND162,BACKGROUND199,end
1740.00000000,BACKGROUND140,BACKGROUND143,start
1749.00000000,BACKGROUND140,BACKGROUND143,end
1752.00000000,BACKGROUND138,BACKGROUND140,start
1756.00000000,BACKGROUND138,BACKGROUND144,start
1756.00000000,BACKGROUND138,BACKGROUND140,end
1761.00000000,BACKGROUND102,BACKGROUND125,start
1765.00000000,BACKGROUND138,BACKGROUND144,end
1766.00000000,BACKGROUND102,BACKGROUND125,end
1788.00000000,BACKGROUND133,BACKGROUND183,start
1791.00000000,BACKGROUND137,BACKGROUND87,start
1800.00000000,BACKGROUND137,BACKGROUND87,end
