# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
272.00000000,BACKGROUND18,BACKGROUND5,0.24883270
302.00000000,BACKGROUND29,BACKGROUND31,2.44460931
309.00000000,BACKGROUND2,BACKGROUND6,5.23623062
346.00000000,BACKGROUND27,BACKGROUND4,0.36045666
467.00000000,BACKGROUND23,BACKGROUND44,3.07766126
546.00000000,BACKGROUND36,BACKGROUND55,3.98337647
572.00000000,BACKGROUND46,BACKGROUND60,25.54929478
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,1.53118055
656.00000000,BACKGROUND57,BACKGROUND80,4.12362786
683.00000000,BACKGROUND44,BACKGROUND65,34.28683538
689.00000000,BACKGROUND27,BACKGROUND34,0.01918662
775.00000000,BACKGROUND57,BACKGROUND76,0.02391255
803.00000000,BACKGROUND73,BACKGROUND76,30.46182261
826.00000000,BACKGROUND27,BACKGROUND54,0.09554743
905.00000000,BACKGROUND92,BACKGROUND94,0.05094802
953.00000000,BACKGROUND76,BACKGROUND99,15.07387609
974.00000000,BACKGROUND90,BACKGROUND92,8.79197068
976.00000000,BACKGROUND90,BACKGROUND94,1.19175416
1198.00000000,BACKGROUND123,BACKGROUND59,2.00701757
1319.00000000,BACKGROUND119,BACKGROUND144,0.00616059
1384.00000000,BACKGROUND76,BACKGROUND84,0.01869190
1405.00000000,BACKGROUND141,BACKGROUND98,1.55658085
1429.00000000,BACKGROUND123,BACKGROUND98,7.94140590
1518.00000000,BACKGROUND119,BACKGROUND88,13.44601642
1619.00000000,BACKGROUND151,BACKGROUND94,1.58254863
1624.00000000,BACKGROUND184,BACKGROUND98,0.00013195
1668.00000000,BACKGROUND162,BACKGROUND188,0.08525584
1698.00000000,BACKGROUND141,BACKGROUND170,1.78136013
1733.00000000,BACKGROUND162,BACKGROUND199,0.48503000
1748.00000000,BACKGROUND140,BACKGROUND143,1.17749504
1764.00000000,BACKGROUND138,BACKGROUND144,0.00411599
1765.00000000,BACKGROUND102,BACKGROUND125,0.02382344
1799.00000000,BACKGROUND137,BACKGROUND87,0.10013440
1800.00000000,BACKGROUND133,BACKGROUND183,0.59374182
