# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
238.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,368.28638119
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,459.16084129
301.00000000,BACKGROUND28,BACKGROUND4,0.50209775
334.00000000,BACKGROUND28,SURVEILLANCE_EUROWINGS,407.75886580
350.00000000,BACKGROUND6,SURVEILLANCE_EUROWINGS,459.00034168
606.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,6.06560571
663.00000000,BACKGROUND28,BACKGROUND35,0.00006473
739.00000000,BACKGROUND27,BACKGROUND67,5.46746919
782.00000000,BACKGROUND63,BACKGROUND67,0.11884645
888.00000000,BACKGROUND61,BACKGROUND67,0.09209047
1023.00000000,BACKGROUND80,BACKGROUND87,3.64225816
1040.00000000,BACKGROUND88,BACKGROUND89,0.00196855
1092.00000000,BACKGROUND67,BACKGROUND80,0.00038189
1250.00000000,BACKGROUND106,BACKGROUND126,4.74649565
1498.00000000,BACKGROUND114,BACKGROUND138,0.51025149
1669.00000000,BACKGROUND128,BACKGROUND140,1.59421531
1801.00000000,BACKGROUND184,BACKGROUND190,0.00000000
