# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
150.00000000,BACKGROUND11,BACKGROUND19,start
153.00000000,BACKGROUND11,BACKGROUND19,end
176.00000000,BACKGROUND1,BACKGROUND3,start
178.00000000,BACKGROUND1,BACKGROUND3,end
181.00000000,BACKGROUND5,SURVEILLANCE_LUFTHANSA,start
189.00000000,BACKGROUND24,BACKGROUND9,start
190.00000000,BACKGROUND5,SURVEILLANCE_LUFTHANSA,end
194.00000000,BACKGROUND24,BACKGROUND9,end
206.00000000,BACKGROUND2,BACKGROUND23,start
209.00000000,BACKGROUND2,BACKGROUND23,end
225.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,start
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
240.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
241.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,end
310.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,start
333.00000000,BACKGROUND27,SURVEILLANCE_EUROWINGS,start
334.00000000,BACKGROUND27,SURVEILLANCE_EUROWINGS,end
337.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,start
339.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,end
344.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,start
353.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,end
357.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,end
394.00000000,BACKGROUND21,BACKGROUND25,start
414.00000000,BACKGROUND26,SURVEILLANCEOP4,start
424.00000000,BACKGROUND26,SURVEILLANCEOP4,end
513.00000000,BACKGROUND45,BACKGROUND53,start
514.00000000,BACKGROUND31,BACKGROUND35,start
516.00000000,BACKGROUND31,BACKGROUND35,end
519.00000000,BACKGROUND45,BACKGROUND53,end
523.00000000,BACKGROUND45,BACKGROUND53,start
528.00000000,BACKGROUND45,BACKGROUND53,end
544.00000000,BACKGROUND24,BACKGROUND33,start
550.00000000,BACKGROUND24,BACKGROUND33,end
