# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
152.00000000,BACKGROUND11,BACKGROUND19,2.63840728
182.00000000,BACKGROUND5,SURVEILLANCE_LUFTHANSA,20.19498812
193.00000000,BACKGROUND24,BACKGROUND9,0.81190549
238.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,390.80777448
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,450.57769852
331.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,272.31584057
349.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,248.18840659
354.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,387.57865405
515.00000000,BACKGROUND31,BACKGROUND35,4.32501254
526.00000000,BACKGROUND45,BACKGROUND53,32.24365947
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
669.00000000,BACKGROUND48,BACKGROUND65,28.99198382
899.00000000,BACKGROUND88,BACKGROUND93,0.52551407
907.00000000,BACKGROUND88,BACKGROUND93,0.00000009
1007.00000000,BACKGROUND29,BACKGROUND65,0.04175729
1259.00000000,BACKGROUND54,BACKGROUND58,33.87709283
1290.00000000,BACKGROUND106,BACKGROUND84,0.00573173
1294.00000000,BACKGROUND133,BACKGROUND57,0.00033848
1304.00000000,BACKGROUND145,BACKGROUND57,0.10759892
1335.00000000,BACKGROUND133,BACKGROUND143,0.01108614
1345.00000000,BACKGROUND117,BACKGROUND143,5.86803741
1377.00000000,BACKGROUND143,BACKGROUND145,0.00581627
1407.00000000,BACKGROUND134,BACKGROUND169,14.11267105
1411.00000000,BACKGROUND110,BACKGROUND97,0.02379833
1450.00000000,BACKGROUND141,BACKGROUND163,1.48574144
1453.00000000,BACKGROUND133,BACKGROUND36,0.09853439
1467.00000000,BACKGROUND113,BACKGROUND160,11.02469315
1472.00000000,BACKGROUND141,BACKGROUND163,18.15691103
1478.00000000,BACKGROUND145,BACKGROUND164,0.72396314
1479.00000000,BACKGROUND113,BACKGROUND155,9.25249318
1482.00000000,BACKGROUND117,BACKGROUND36,0.01741684
1550.00000000,BACKGROUND157,BACKGROUND161,3.98233480
1650.00000000,BACKGROUND145,BACKGROUND150,1.10267655
1652.00000000,BACKGROUND140,BACKGROUND164,16.43016052
1687.00000000,BACKGROUND132,BACKGROUND83,0.05425500
1725.00000000,BACKGROUND167,BACKGROUND203,13.83154554
1725.00000000,BACKGROUND163,BACKGROUND173,0.01908832
