# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
211.00000000,BACKGROUND2,BACKGROUND23,6.44523810
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,459.17268811
239.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,356.36435137
324.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,416.99555064
355.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,277.18247826
361.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,424.48840558
517.00000000,BACKGROUND45,BACKGROUND53,4.96251012
661.00000000,BACKGROUND48,BACKGROUND65,3.39925000
891.00000000,BACKGROUND88,BACKGROUND93,0.40206067
903.00000000,BACKGROUND88,BACKGROUND93,0.00000008
971.00000000,BACKGROUND29,BACKGROUND65,0.05775528
1256.00000000,BACKGROUND54,BACKGROUND58,0.53135011
1294.00000000,BACKGROUND106,BACKGROUND84,0.01263289
1295.00000000,BACKGROUND133,BACKGROUND57,0.00069318
1303.00000000,BACKGROUND117,BACKGROUND57,0.00569886
1337.00000000,BACKGROUND133,BACKGROUND143,0.00204782
1349.00000000,BACKGROUND117,BACKGROUND143,0.00177833
1388.00000000,BACKGROUND143,BACKGROUND145,0.00860431
1453.00000000,BACKGROUND141,BACKGROUND163,2.79999226
1457.00000000,BACKGROUND133,BACKGROUND36,0.05950601
1468.00000000,BACKGROUND113,BACKGROUND160,8.45977691
1485.00000000,BACKGROUND113,BACKGROUND155,7.91813965
1488.00000000,BACKGROUND117,BACKGROUND36,0.00265233
1556.00000000,BACKGROUND157,BACKGROUND161,1.92915086
1577.00000000,BACKGROUND156,BACKGROUND167,5.86711780
1718.00000000,BACKGROUND167,BACKGROUND203,4.24544124
