# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND9,takeoff,0
80.05000000,BACKGROUND11,takeoff,0
87.05000000,BACKGROUND12,takeoff,0
94.05000000,BACKGROUND13,takeoff,0
123.05000000,BACKGROUND17,takeoff,0
132.30000000,BACKGROUND6,landing,1169.47330748
152.05000000,BACKGROUND20,takeoff,0
166.05000000,BACKGROUND22,takeoff,0
173.05000000,BACKGROUND23,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
204.05000000,BACKGROUND19,takeoff,0
208.80000000,BACKGROUND1,landing,2222.79223680
210.65000000,BACKGROUND11,landing,1573.54061607
238.05000000,BACKGROUND32,takeoff,0
239.60000000,BACKGROUND3,landing,3054.97714874
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
252.05000000,BACKGROUND34,takeoff,0
252.05000000,BACKGROUND10,takeoff,0
255.05000000,BACKGROUND26,takeoff,0
279.05000000,BACKGROUND21,takeoff,0
281.05000000,BACKGROUND14,takeoff,0
288.05000000,BACKGROUND39,takeoff,0
288.05000000,BACKGROUND15,takeoff,0
300.05000000,BACKGROUND28,takeoff,0
300.05000000,BACKGROUND35,takeoff,0
300.35000000,BACKGROUND14,landing,294.96750000
300.35000000,BACKGROUND14,takeoff,0
300.55000000,BACKGROUND15,landing,209.56613024
300.55000000,BACKGROUND15,takeoff,0
300.85000000,BACKGROUND23,landing,1480.43977996
300.85000000,BACKGROUND23,takeoff,0
301.55000000,BACKGROUND7,landing,4129.69878883
301.55000000,BACKGROUND7,takeoff,0
301.65000000,BACKGROUND9,landing,4869.34761666
301.65000000,BACKGROUND9,takeoff,0
301.85000000,BACKGROUND26,landing,377.08228153
301.85000000,BACKGROUND26,takeoff,0
302.15000000,BACKGROUND34,landing,1112.52289309
302.15000000,BACKGROUND34,takeoff,0
302.45000000,BACKGROUND4,landing,4707.47389057
303.85000000,BACKGROUND10,landing,879.96750000
303.85000000,BACKGROUND10,takeoff,0
304.00000000,BACKGROUND19,landing,1100.42147983
304.00000000,BACKGROUND19,takeoff,0
305.20000000,BACKGROUND8,landing,3237.96397860
305.20000000,BACKGROUND8,takeoff,0
307.05000000,BACKGROUND12,landing,1492.44462706
307.05000000,BACKGROUND12,takeoff,0
309.95000000,BACKGROUND32,landing,1211.74232758
309.95000000,BACKGROUND32,takeoff,0
310.05000000,BACKGROUND41,takeoff,0
310.20000000,BACKGROUND20,landing,3053.05613790
310.20000000,BACKGROUND20,takeoff,0
324.05000000,BACKGROUND43,takeoff,0
324.50000000,BACKGROUND5,landing,4246.49392709
325.70000000,BACKGROUND21,landing,359.58488876
325.70000000,BACKGROUND21,takeoff,0
327.05000000,BACKGROUND36,takeoff,0
331.80000000,BACKGROUND17,landing,2480.47171808
338.25000000,BACKGROUND39,landing,234.52049555
338.25000000,BACKGROUND39,takeoff,0
339.05000000,BACKGROUND45,takeoff,0
341.05000000,BACKGROUND38,takeoff,0
343.35000000,BACKGROUND22,landing,1828.58324534
343.35000000,BACKGROUND22,takeoff,0
