# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
142.00000000,BACKGROUND13,BACKGROUND16,8.59995960
248.00000000,BACKGROUND33,SURVEILLANCE_LUFTHANSA,199.39780339
265.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,218.95991690
267.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,396.95976328
286.00000000,BACKGROUND36,SURVEILLANCE_LUFTHANSA,362.22896660
331.00000000,BACKGROUND39,SURVEILLANCE_EUROWINGS,206.67129796
345.00000000,BACKGROUND28,SURVEILLANCE_EUROWINGS,66.17423000
357.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,161.97090538
369.00000000,BACKGROUND29,BACKGROUND5,11.42264659
418.00000000,BACKGROUND15,BACKGROUND29,11.05774742
480.00000000,BACKGROUND35,BACKGROUND45,0.56333824
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
632.00000000,BACKGROUND38,BACKGROUND50,0.91158247
651.00000000,BACKGROUND34,BACKGROUND70,0.00020586
764.00000000,BACKGROUND29,BACKGROUND54,2.32668148
777.00000000,BACKGROUND78,BACKGROUND91,0.27748483
781.00000000,BACKGROUND78,BACKGROUND82,4.64371525
882.00000000,BACKGROUND91,BACKGROUND92,0.05696505
998.00000000,BACKGROUND82,BACKGROUND88,0.00628861
1085.00000000,BACKGROUND100,BACKGROUND96,20.11510169
1129.00000000,BACKGROUND100,BACKGROUND96,33.33695453
1130.00000000,BACKGROUND100,BACKGROUND96,33.94020525
1173.00000000,BACKGROUND126,BACKGROUND148,11.56580543
1254.00000000,BACKGROUND147,BACKGROUND148,12.18508695
1262.00000000,BACKGROUND151,BACKGROUND82,0.50656073
1305.00000000,BACKGROUND124,BACKGROUND82,2.03089893
1313.00000000,BACKGROUND112,BACKGROUND135,0.00075553
1315.00000000,BACKGROUND112,BACKGROUND135,1.03384715
1316.00000000,BACKGROUND112,BACKGROUND135,1.03384721
1317.00000000,BACKGROUND112,BACKGROUND135,1.03384727
1318.00000000,BACKGROUND112,BACKGROUND135,1.03384733
1319.00000000,BACKGROUND112,BACKGROUND135,1.03384739
1320.00000000,BACKGROUND112,BACKGROUND135,1.03384746
1321.00000000,BACKGROUND112,BACKGROUND135,1.03384753
1322.00000000,BACKGROUND112,BACKGROUND135,1.03384760
1323.00000000,BACKGROUND112,BACKGROUND135,1.03384768
1324.00000000,BACKGROUND112,BACKGROUND135,1.03384776
1325.00000000,BACKGROUND112,BACKGROUND135,1.03384784
1326.00000000,BACKGROUND112,BACKGROUND135,1.03384792
1327.00000000,BACKGROUND112,BACKGROUND135,1.03384801
1328.00000000,BACKGROUND112,BACKGROUND135,1.03384810
1329.00000000,BACKGROUND112,BACKGROUND135,1.03384820
1330.00000000,BACKGROUND112,BACKGROUND135,1.03384830
