# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND9,takeoff,0
72.05000000,BACKGROUND10,takeoff,0
87.05000000,BACKGROUND12,takeoff,0
94.05000000,BACKGROUND13,takeoff,0
101.05000000,BACKGROUND14,takeoff,0
116.05000000,BACKGROUND16,takeoff,0
123.05000000,BACKGROUND17,takeoff,0
130.05000000,BACKGROUND18,takeoff,0
137.05000000,BACKGROUND19,takeoff,0
140.05000000,BACKGROUND11,takeoff,0
144.05000000,BACKGROUND20,takeoff,0
159.05000000,BACKGROUND22,takeoff,0
166.05000000,BACKGROUND23,takeoff,0
168.05000000,BACKGROUND15,takeoff,0
173.05000000,BACKGROUND24,takeoff,0
180.05000000,BACKGROUND25,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND26,takeoff,0
195.05000000,BACKGROUND27,takeoff,0
210.65000000,BACKGROUND4,landing,2371.90540830
212.05000000,BACKGROUND21,takeoff,0
224.05000000,BACKGROUND30,takeoff,0
231.05000000,BACKGROUND31,takeoff,0
237.60000000,BACKGROUND1,landing,3362.06718818
238.05000000,BACKGROUND32,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND33,takeoff,0
247.15000000,BACKGROUND2,landing,3502.38875167
252.05000000,BACKGROUND34,takeoff,0
259.05000000,BACKGROUND35,takeoff,0
262.05000000,BACKGROUND28,takeoff,0
263.45000000,BACKGROUND10,landing,1747.15612819
274.05000000,BACKGROUND36,takeoff,0
276.40000000,BACKGROUND7,landing,3124.09077039
281.05000000,BACKGROUND37,takeoff,0
288.05000000,BACKGROUND38,takeoff,0
295.05000000,BACKGROUND39,takeoff,0
300.05000000,BACKGROUND29,takeoff,0
301.15000000,BACKGROUND34,landing,552.84782173
301.15000000,BACKGROUND34,takeoff,0
301.70000000,BACKGROUND32,landing,334.55523248
301.70000000,BACKGROUND32,takeoff,0
301.75000000,BACKGROUND14,landing,3942.41003694
301.75000000,BACKGROUND14,takeoff,0
302.35000000,BACKGROUND12,landing,3628.10836988
302.35000000,BACKGROUND12,takeoff,0
302.70000000,BACKGROUND3,landing,1744.74452495
302.70000000,BACKGROUND3,takeoff,0
303.05000000,BACKGROUND30,landing,1242.32815896
303.05000000,BACKGROUND30,takeoff,0
303.10000000,BACKGROUND19,landing,2880.67416309
303.10000000,BACKGROUND19,takeoff,0
303.90000000,BACKGROUND25,landing,2020.64441216
303.90000000,BACKGROUND25,takeoff,0
304.10000000,BACKGROUND15,landing,2751.21239269
304.10000000,BACKGROUND15,takeoff,0
304.45000000,BACKGROUND20,landing,1777.23511359
304.45000000,BACKGROUND20,takeoff,0
304.65000000,BACKGROUND22,landing,2119.88330415
304.65000000,BACKGROUND22,takeoff,0
305.45000000,BACKGROUND8,landing,4243.77670453
305.45000000,BACKGROUND8,takeoff,0
306.15000000,BACKGROUND5,landing,3206.55858828
306.15000000,BACKGROUND5,takeoff,0
306.35000000,BACKGROUND31,landing,1187.82736286
306.35000000,BACKGROUND31,takeoff,0
