# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
80.05000000,BACKGROUND9,takeoff,0
87.05000000,BACKGROUND10,takeoff,0
94.05000000,BACKGROUND11,takeoff,0
101.05000000,BACKGROUND12,takeoff,0
108.05000000,BACKGROUND13,takeoff,0
116.05000000,BACKGROUND14,takeoff,0
123.05000000,BACKGROUND15,takeoff,0
130.05000000,BACKGROUND16,takeoff,0
139.75000000,BACKGROUND3,landing,1549.57605734
144.05000000,BACKGROUND18,takeoff,0
152.15000000,BACKGROUND1,landing,2541.36750000
159.05000000,BACKGROUND20,takeoff,0
180.05000000,BACKGROUND21,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND22,takeoff,0
195.05000000,BACKGROUND23,takeoff,0
212.05000000,BACKGROUND19,takeoff,0
224.05000000,BACKGROUND27,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,BACKGROUND9,landing,1827.57581560
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND30,takeoff,0
257.05000000,BACKGROUND17,takeoff,0
259.05000000,BACKGROUND32,takeoff,0
262.05000000,BACKGROUND24,takeoff,0
267.05000000,BACKGROUND33,takeoff,0
269.05000000,BACKGROUND25,takeoff,0
274.05000000,BACKGROUND34,takeoff,0
281.05000000,BACKGROUND35,takeoff,0
288.05000000,BACKGROUND36,takeoff,0
291.85000000,BACKGROUND10,landing,2848.59815197
294.95000000,BACKGROUND2,landing,3218.52887802
300.05000000,BACKGROUND26,takeoff,0
301.85000000,BACKGROUND32,landing,938.72144696
301.85000000,BACKGROUND32,takeoff,0
301.90000000,BACKGROUND33,landing,679.17189869
301.90000000,BACKGROUND33,takeoff,0
302.10000000,BACKGROUND35,landing,326.46750000
302.10000000,BACKGROUND35,takeoff,0
302.40000000,BACKGROUND21,landing,2020.24765313
302.40000000,BACKGROUND21,takeoff,0
303.05000000,BACKGROUND38,takeoff,0
304.15000000,BACKGROUND17,landing,774.22994813
304.15000000,BACKGROUND17,takeoff,0
304.30000000,BACKGROUND11,landing,3551.32124403
304.30000000,BACKGROUND11,takeoff,0
304.50000000,BACKGROUND22,landing,1744.25032448
304.50000000,BACKGROUND22,takeoff,0
304.55000000,BACKGROUND12,landing,2084.35638854
305.35000000,BACKGROUND30,landing,992.98939313
305.35000000,BACKGROUND30,takeoff,0
305.90000000,BACKGROUND20,landing,1814.68955022
305.90000000,BACKGROUND20,takeoff,0
306.15000000,BACKGROUND16,landing,945.25158788
306.15000000,BACKGROUND16,takeoff,0
309.35000000,BACKGROUND7,landing,1461.72714843
309.35000000,BACKGROUND7,takeoff,0
309.85000000,BACKGROUND24,landing,764.09681744
309.85000000,BACKGROUND24,takeoff,0
309.95000000,BACKGROUND14,landing,2879.33627827
309.95000000,BACKGROUND14,takeoff,0
310.05000000,BACKGROUND39,takeoff,0
310.45000000,BACKGROUND4,landing,4600.29817429
310.80000000,BACKGROUND27,landing,1236.73790104
310.80000000,BACKGROUND27,takeoff,0
312.05000000,BACKGROUND31,takeoff,0
314.45000000,BACKGROUND36,landing,310.23058227
