# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,start
192.00000000,BACKGROUND2,BACKGROUND5,start
193.00000000,BACKGROUND2,BACKGROUND5,end
204.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,end
214.00000000,BACKGROUND10,BACKGROUND6,start
217.00000000,BACKGROUND10,BACKGROUND6,end
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
250.00000000,BACKGROUND4,BACKGROUND8,start
251.00000000,BACKGROUND4,BACKGROUND8,end
306.00000000,BACKGROUND15,SURVEILLANCE_EUROWINGS,start
309.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND15,SURVEILLANCE_EUROWINGS,end
319.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,end
405.00000000,BACKGROUND21,BACKGROUND42,start
410.00000000,BACKGROUND21,BACKGROUND42,end
451.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
466.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
537.00000000,BACKGROUND16,BACKGROUND62,start
544.00000000,BACKGROUND16,BACKGROUND62,end
549.00000000,BACKGROUND26,SURVEILLANCE_HELICOPTER,start
550.00000000,BACKGROUND24,SURVEILLANCEOP4,start
553.00000000,BACKGROUND24,SURVEILLANCEOP4,end
553.00000000,BACKGROUND26,SURVEILLANCE_HELICOPTER,end
558.00000000,BACKGROUND14,BACKGROUND35,start
560.00000000,BACKGROUND14,BACKGROUND35,end
578.00000000,BACKGROUND25,SURVEILLANCE_HELICOPTER,start
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,BACKGROUND25,SURVEILLANCE_HELICOPTER,end
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
622.00000000,BACKGROUND33,BACKGROUND39,start
629.00000000,BACKGROUND31,BACKGROUND52,start
631.00000000,BACKGROUND34,BACKGROUND50,start
631.00000000,BACKGROUND31,BACKGROUND52,end
633.00000000,BACKGROUND33,BACKGROUND39,end
634.00000000,BACKGROUND34,BACKGROUND50,end
683.00000000,BACKGROUND16,BACKGROUND62,start
687.00000000,BACKGROUND41,BACKGROUND56,start
687.00000000,BACKGROUND16,BACKGROUND62,end
689.00000000,BACKGROUND41,BACKGROUND56,end
696.00000000,BACKGROUND16,BACKGROUND62,start
709.00000000,BACKGROUND16,BACKGROUND62,end
750.00000000,BACKGROUND62,SURVEILLANCEOP2,start
751.00000000,BACKGROUND62,SURVEILLANCEOP2,end
800.00000000,BACKGROUND58,BACKGROUND62,start
802.00000000,BACKGROUND58,BACKGROUND62,end
811.00000000,BACKGROUND53,BACKGROUND88,start
813.00000000,BACKGROUND53,BACKGROUND88,end
822.00000000,BACKGROUND16,BACKGROUND58,start
826.00000000,BACKGROUND16,BACKGROUND58,end
841.00000000,BACKGROUND53,BACKGROUND82,start
843.00000000,BACKGROUND53,BACKGROUND82,end
872.00000000,BACKGROUND52,BACKGROUND82,start
875.00000000,BACKGROUND52,BACKGROUND82,end
895.00000000,BACKGROUND100,BACKGROUND82,start
898.00000000,BACKGROUND100,BACKGROUND82,end
913.00000000,BACKGROUND82,BACKGROUND88,start
928.00000000,BACKGROUND82,BACKGROUND88,end
985.00000000,BACKGROUND55,BACKGROUND92,start
987.00000000,BACKGROUND55,BACKGROUND92,end
999.00000000,BACKGROUND90,BACKGROUND98,start
1001.00000000,BACKGROUND90,BACKGROUND98,end
1036.00000000,BACKGROUND107,BACKGROUND98,start
1039.00000000,BACKGROUND107,BACKGROUND98,end
1065.00000000,BACKGROUND116,BACKGROUND94,start
1068.00000000,BACKGROUND116,BACKGROUND94,end
1171.00000000,BACKGROUND65,BACKGROUND98,start
1182.00000000,BACKGROUND65,BACKGROUND98,end
1209.00000000,BACKGROUND117,BACKGROUND139,start
1215.00000000,BACKGROUND117,BACKGROUND139,end
1235.00000000,BACKGROUND119,BACKGROUND77,start
1237.00000000,BACKGROUND119,BACKGROUND77,end
1409.00000000,BACKGROUND144,BACKGROUND94,start
1411.00000000,BACKGROUND144,BACKGROUND94,end
1450.00000000,BACKGROUND138,BACKGROUND77,start
1452.00000000,BACKGROUND138,BACKGROUND77,end
1469.00000000,BACKGROUND144,BACKGROUND155,start
1473.00000000,BACKGROUND144,BACKGROUND155,end
1474.00000000,BACKGROUND139,BACKGROUND74,start
1477.00000000,BACKGROUND129,BACKGROUND83,start
1477.00000000,BACKGROUND139,BACKGROUND74,end
1480.00000000,BACKGROUND121,BACKGROUND83,start
1481.00000000,BACKGROUND129,BACKGROUND83,end
1485.00000000,BACKGROUND121,BACKGROUND83,end
1489.00000000,BACKGROUND66,BACKGROUND73,start
1491.00000000,BACKGROUND66,BACKGROUND73,end
1527.00000000,BACKGROUND167,BACKGROUND77,start
1529.00000000,BACKGROUND167,BACKGROUND77,end
1596.00000000,BACKGROUND138,BACKGROUND183,start
1598.00000000,BACKGROUND138,BACKGROUND183,end
1657.00000000,BACKGROUND188,BACKGROUND77,start
1660.00000000,BACKGROUND188,BACKGROUND77,end
1672.00000000,BACKGROUND121,BACKGROUND160,start
1674.00000000,BACKGROUND121,BACKGROUND160,end
1750.00000000,BACKGROUND113,BACKGROUND138,start
1753.00000000,BACKGROUND113,BACKGROUND138,end
1760.00000000,BACKGROUND138,BACKGROUND207,start
1764.00000000,BACKGROUND126,BACKGROUND153,start
1764.00000000,BACKGROUND138,BACKGROUND207,end
1766.00000000,BACKGROUND126,BACKGROUND153,end
