# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
119.00000000,BACKGROUND13,BACKGROUND14,start
120.00000000,BACKGROUND13,BACKGROUND14,end
292.00000000,BACKGROUND13,BACKGROUND32,start
293.00000000,BACKGROUND13,BACKGROUND32,end
358.00000000,BACKGROUND17,SURVEILLANCEOP2,start
360.00000000,BACKGROUND17,SURVEILLANCEOP2,end
564.00000000,BACKGROUND33,BACKGROUND62,start
565.00000000,BACKGROUND33,BACKGROUND62,end
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
612.00000000,BACKGROUND66,SURVEILLANCEOP4,start
615.00000000,BACKGROUND66,SURVEILLANCEOP4,end
627.00000000,BACKGROUND46,BACKGROUND62,start
628.00000000,BACKGROUND46,BACKGROUND62,end
715.00000000,BACKGROUND73,BACKGROUND74,start
717.00000000,BACKGROUND73,BACKGROUND74,end
721.00000000,BACKGROUND14,BACKGROUND33,start
722.00000000,BACKGROUND14,BACKGROUND33,end
729.00000000,BACKGROUND24,BACKGROUND70,start
732.00000000,BACKGROUND24,BACKGROUND70,end
745.00000000,BACKGROUND21,BACKGROUND70,start
747.00000000,BACKGROUND21,BACKGROUND70,end
749.00000000,BACKGROUND70,BACKGROUND79,start
752.00000000,BACKGROUND70,BACKGROUND79,end
765.00000000,BACKGROUND22,BACKGROUND71,start
767.00000000,BACKGROUND22,BACKGROUND71,end
775.00000000,BACKGROUND49,BACKGROUND77,start
777.00000000,BACKGROUND49,BACKGROUND77,end
797.00000000,BACKGROUND65,BACKGROUND77,start
797.00000000,BACKGROUND52,BACKGROUND75,start
798.00000000,BACKGROUND24,BACKGROUND65,start
798.00000000,BACKGROUND69,BACKGROUND73,start
798.00000000,BACKGROUND65,BACKGROUND77,end
799.00000000,BACKGROUND52,BACKGROUND75,end
800.00000000,BACKGROUND24,BACKGROUND65,end
800.00000000,BACKGROUND69,BACKGROUND73,end
803.00000000,BACKGROUND24,BACKGROUND77,start
806.00000000,BACKGROUND75,BACKGROUND86,start
807.00000000,BACKGROUND24,BACKGROUND77,end
