# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND20,SURVEILLANCE_LUFTHANSA,start
193.00000000,BACKGROUND20,SURVEILLANCE_LUFTHANSA,end
234.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
243.00000000,BACKGROUND22,SURVEILLANCE_LUFTHANSA,start
247.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
248.00000000,BACKGROUND22,SURVEILLANCE_LUFTHANSA,end
294.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
331.00000000,BACKGROUND23,BACKGROUND6,start
335.00000000,BACKGROUND23,BACKGROUND6,end
347.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,start
353.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,start
362.00000000,BACKGROUND33,SURVEILLANCE_EUROWINGS,start
363.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,end
366.00000000,BACKGROUND38,SURVEILLANCE_EUROWINGS,start
366.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,start
369.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,end
380.00000000,BACKGROUND33,SURVEILLANCE_EUROWINGS,end
384.00000000,BACKGROUND10,BACKGROUND19,start
385.00000000,BACKGROUND22,SURVEILLANCE_EUROWINGS,end
385.00000000,BACKGROUND10,BACKGROUND19,end
386.00000000,BACKGROUND38,SURVEILLANCE_EUROWINGS,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
821.00000000,BACKGROUND47,BACKGROUND96,start
823.00000000,BACKGROUND47,BACKGROUND96,end
824.00000000,BACKGROUND47,BACKGROUND96,start
825.00000000,BACKGROUND47,BACKGROUND96,end
835.00000000,BACKGROUND57,BACKGROUND64,start
836.00000000,BACKGROUND57,BACKGROUND64,end
838.00000000,BACKGROUND57,BACKGROUND64,start
840.00000000,BACKGROUND57,BACKGROUND64,end
887.00000000,BACKGROUND34,BACKGROUND40,start
892.00000000,BACKGROUND34,BACKGROUND40,end
954.00000000,BACKGROUND43,BACKGROUND58,start
955.00000000,BACKGROUND43,BACKGROUND58,end
1059.00000000,BACKGROUND54,BACKGROUND68,start
1065.00000000,BACKGROUND54,BACKGROUND68,end
1147.00000000,BACKGROUND54,BACKGROUND68,start
1154.00000000,BACKGROUND54,BACKGROUND68,end
1238.00000000,BACKGROUND56,BACKGROUND95,start
1239.00000000,BACKGROUND56,BACKGROUND95,end
1241.00000000,BACKGROUND109,BACKGROUND79,start
1246.00000000,BACKGROUND109,BACKGROUND79,end
1271.00000000,BACKGROUND116,BACKGROUND63,start
1272.00000000,BACKGROUND116,BACKGROUND63,end
1383.00000000,BACKGROUND139,BACKGROUND160,start
1388.00000000,BACKGROUND139,BACKGROUND160,end
1520.00000000,BACKGROUND158,BACKGROUND189,start
1521.00000000,BACKGROUND158,BACKGROUND189,end
1522.00000000,BACKGROUND181,BACKGROUND188,start
1524.00000000,BACKGROUND181,BACKGROUND188,end
1527.00000000,BACKGROUND181,BACKGROUND188,start
1528.00000000,BACKGROUND181,BACKGROUND188,end
1592.00000000,BACKGROUND149,BACKGROUND16,start
1598.00000000,BACKGROUND149,BACKGROUND16,end
1664.00000000,BACKGROUND164,BACKGROUND177,start
1665.00000000,BACKGROUND164,BACKGROUND177,end
1786.00000000,BACKGROUND188,BACKGROUND94,start
1789.00000000,BACKGROUND188,BACKGROUND94,end
1791.00000000,BACKGROUND188,BACKGROUND94,start
1796.00000000,BACKGROUND188,BACKGROUND94,end
