# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
363.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,start
376.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
831.00000000,BACKGROUND5,BACKGROUND9,start
895.00000000,BACKGROUND5,BACKGROUND9,end
937.00000000,BACKGROUND10,BACKGROUND8,start
946.00000000,BACKGROUND10,BACKGROUND8,end
