# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
292.20000000,BACKGROUND2,landing,1731.52091099
432.05000000,BACKGROUND5,takeoff,0
466.80000000,BACKGROUND1,landing,5758.63935160
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND6,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,11486.31714831
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
527.75000000,BACKGROUND4,landing,1920.91681526
530.65000000,BACKGROUND3,landing,4055.10622893
576.05000000,BACKGROUND7,takeoff,0
603.80000000,BACKGROUND5,landing,2497.82632674
648.05000000,BACKGROUND8,takeoff,0
691.35000000,SURVEILLANCE_HELICOPTER,landing,8884.55679107
720.05000000,BACKGROUND9,takeoff,0
792.05000000,BACKGROUND10,takeoff,0
821.20000000,BACKGROUND6,landing,2731.92591452
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
914.10000000,BACKGROUND7,landing,4756.99479633
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
936.05000000,BACKGROUND12,takeoff,0
954.35000000,BACKGROUND8,landing,3666.54792096
987.70000000,BACKGROUND9,landing,4244.07884830
995.35000000,BACKGROUND10,landing,2987.33405013
1008.05000000,BACKGROUND13,takeoff,0
1024.70000000,SURVEILLANCEOP3,landing,8147.94603720
1080.05000000,BACKGROUND14,takeoff,0
1132.55000000,BACKGROUND12,landing,2454.18920534
1137.60000000,BACKGROUND11,landing,3323.78874771
1151.05000000,BACKGROUND15,takeoff,0
1196.65000000,SURVEILLANCEOP5,landing,6935.21343608
1223.05000000,BACKGROUND16,takeoff,0
1293.45000000,BACKGROUND13,landing,3602.57624032
1295.05000000,BACKGROUND17,takeoff,0
1325.95000000,BACKGROUND14,landing,3672.70929154
1367.05000000,BACKGROUND18,takeoff,0
1374.80000000,BACKGROUND15,landing,3568.20591949
1439.05000000,BACKGROUND19,takeoff,0
1448.20000000,BACKGROUND17,landing,1560.97487913
1511.05000000,BACKGROUND20,takeoff,0
1532.45000000,BACKGROUND16,landing,4935.39545202
1583.05000000,BACKGROUND21,takeoff,0
1596.05000000,BACKGROUND18,landing,3017.96027851
1612.70000000,BACKGROUND19,landing,2480.21977000
1655.05000000,BACKGROUND22,takeoff,0
1727.05000000,BACKGROUND23,takeoff,0
1733.00000000,BACKGROUND20,landing,2387.20522734
1799.05000000,BACKGROUND24,takeoff,0
