# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
220.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
228.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
229.00000000,BACKGROUND2,SURVEILLANCE_LUFTHANSA,start
231.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
246.00000000,BACKGROUND2,SURVEILLANCE_LUFTHANSA,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
