# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
200.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
242.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
316.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,start
324.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,end
361.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
374.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
