# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
227.10000000,BACKGROUND1,landing,2291.24587803
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
303.50000000,BACKGROUND4,landing,280.93011023
303.50000000,BACKGROUND4,takeoff,0
306.95000000,BACKGROUND3,landing,462.76925134
306.95000000,BACKGROUND3,takeoff,0
309.15000000,BACKGROUND2,landing,2492.04225953
432.05000000,BACKGROUND5,takeoff,0
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND6,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
576.05000000,BACKGROUND7,takeoff,0
612.60000000,BACKGROUND7,landing,212.60468811
612.60000000,BACKGROUND7,takeoff,0
612.70000000,BACKGROUND5,landing,963.46017399
612.70000000,BACKGROUND5,takeoff,0
622.20000000,BACKGROUND4,landing,960.21074287
622.20000000,BACKGROUND4,takeoff,0
625.55000000,BACKGROUND3,landing,988.54608056
625.55000000,BACKGROUND3,takeoff,0
630.70000000,BACKGROUND6,landing,611.17213205
630.70000000,BACKGROUND6,takeoff,0
693.35000000,SURVEILLANCE_HELICOPTER,landing,8844.59900772
794.55000000,BACKGROUND3,landing,1037.60176444
826.30000000,BACKGROUND5,landing,1888.89762012
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND10,takeoff,0
871.25000000,BACKGROUND7,landing,923.47485012
912.75000000,BACKGROUND4,landing,1871.01352709
912.75000000,BACKGROUND4,takeoff,0
918.20000000,BACKGROUND6,landing,2226.48686267
918.20000000,BACKGROUND6,takeoff,0
921.80000000,BACKGROUND10,landing,126.26751725
921.80000000,BACKGROUND10,takeoff,0
922.30000000,SURVEILLANCEOP4,landing,6465.71768695
926.45000000,SURVEILLANCEOP1,landing,7128.89862725
1024.75000000,SURVEILLANCEOP3,landing,8148.85479055
1080.05000000,BACKGROUND11,takeoff,0
1139.70000000,BACKGROUND10,landing,2509.64723252
1190.25000000,BACKGROUND6,landing,1631.59721441
1193.70000000,SURVEILLANCEOP5,landing,6933.28287257
1200.05000000,BACKGROUND9,takeoff,0
1203.70000000,BACKGROUND11,landing,1444.35811601
1203.70000000,BACKGROUND11,takeoff,0
1204.25000000,BACKGROUND4,landing,1615.79472389
1204.25000000,BACKGROUND4,takeoff,0
1223.05000000,BACKGROUND13,takeoff,0
1295.05000000,BACKGROUND14,takeoff,0
1439.05000000,BACKGROUND16,takeoff,0
1504.25000000,BACKGROUND16,landing,162.99424303
1504.25000000,BACKGROUND16,takeoff,0
1504.40000000,BACKGROUND9,landing,2042.37062494
1504.40000000,BACKGROUND9,takeoff,0
1506.25000000,BACKGROUND11,landing,2035.92969614
1506.25000000,BACKGROUND11,takeoff,0
1515.65000000,BACKGROUND14,landing,1794.25410724
1515.65000000,BACKGROUND14,takeoff,0
1518.25000000,BACKGROUND13,landing,3774.86551364
1518.25000000,BACKGROUND13,takeoff,0
1548.90000000,BACKGROUND4,landing,1145.13296196
1583.05000000,BACKGROUND18,takeoff,0
1588.40000000,BACKGROUND11,landing,669.09349861
1589.15000000,BACKGROUND9,landing,1009.28625000
1655.05000000,BACKGROUND19,takeoff,0
1673.75000000,BACKGROUND13,landing,1687.41829907
1691.05000000,BACKGROUND17,takeoff,0
