# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
1376.00000000,BACKGROUND10,BACKGROUND12,start
1378.00000000,BACKGROUND10,BACKGROUND12,end
1383.00000000,BACKGROUND10,BACKGROUND12,start
1387.00000000,BACKGROUND10,BACKGROUND12,end
1475.00000000,BACKGROUND13,BACKGROUND9,start
1479.00000000,BACKGROUND13,BACKGROUND9,end
