# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
213.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,start
221.00000000,BACKGROUND16,SURVEILLANCE_LUFTHANSA,start
223.00000000,BACKGROUND16,SURVEILLANCE_LUFTHANSA,end
225.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,start
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
230.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,end
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
244.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,end
266.00000000,BACKGROUND18,BACKGROUND5,start
269.00000000,BACKGROUND2,BACKGROUND6,start
272.00000000,BACKGROUND2,BACKGROUND6,end
273.00000000,BACKGROUND2,BACKGROUND6,start
273.00000000,BACKGROUND18,BACKGROUND5,end
280.00000000,BACKGROUND2,BACKGROUND6,end
288.00000000,BACKGROUND2,BACKGROUND6,start
319.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,start
332.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,end
351.00000000,BACKGROUND23,BACKGROUND32,start
352.00000000,BACKGROUND23,BACKGROUND32,end
353.00000000,BACKGROUND23,BACKGROUND32,start
355.00000000,BACKGROUND23,BACKGROUND32,end
358.00000000,BACKGROUND27,BACKGROUND4,start
363.00000000,BACKGROUND27,BACKGROUND4,end
369.00000000,BACKGROUND23,BACKGROUND9,start
373.00000000,BACKGROUND23,BACKGROUND9,end
465.00000000,BACKGROUND23,BACKGROUND44,start
470.00000000,BACKGROUND23,BACKGROUND44,end
527.00000000,BACKGROUND36,BACKGROUND49,start
532.00000000,BACKGROUND36,BACKGROUND49,end
559.00000000,BACKGROUND36,BACKGROUND55,start
565.00000000,BACKGROUND36,BACKGROUND55,end
567.00000000,BACKGROUND46,BACKGROUND60,start
572.00000000,BACKGROUND46,BACKGROUND60,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
649.00000000,BACKGROUND23,BACKGROUND80,start
652.00000000,BACKGROUND23,BACKGROUND80,end
654.00000000,BACKGROUND57,BACKGROUND80,start
659.00000000,BACKGROUND36,BACKGROUND57,start
659.00000000,BACKGROUND57,BACKGROUND80,end
664.00000000,BACKGROUND36,BACKGROUND57,end
668.00000000,BACKGROUND23,BACKGROUND57,start
670.00000000,BACKGROUND23,BACKGROUND57,end
671.00000000,BACKGROUND23,BACKGROUND57,start
673.00000000,BACKGROUND23,BACKGROUND57,end
677.00000000,BACKGROUND44,BACKGROUND65,start
681.00000000,BACKGROUND44,BACKGROUND65,end
682.00000000,BACKGROUND27,BACKGROUND34,start
682.00000000,BACKGROUND23,BACKGROUND57,start
684.00000000,BACKGROUND27,BACKGROUND34,end
687.00000000,BACKGROUND23,BACKGROUND57,end
689.00000000,BACKGROUND27,BACKGROUND34,start
693.00000000,BACKGROUND27,BACKGROUND34,end
766.00000000,BACKGROUND57,BACKGROUND76,start
771.00000000,BACKGROUND57,BACKGROUND76,end
