# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
29.05000000,BACKGROUND3,takeoff,0
36.05000000,BACKGROUND4,takeoff,0
44.05000000,BACKGROUND5,takeoff,0
58.05000000,BACKGROUND7,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND8,takeoff,0
72.05000000,BACKGROUND9,takeoff,0
101.05000000,BACKGROUND13,takeoff,0
116.05000000,BACKGROUND15,takeoff,0
123.05000000,BACKGROUND16,takeoff,0
130.05000000,BACKGROUND17,takeoff,0
141.55000000,BACKGROUND3,landing,1328.07080515
144.05000000,BACKGROUND19,takeoff,0
152.05000000,BACKGROUND20,takeoff,0
166.05000000,BACKGROUND22,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND24,takeoff,0
195.05000000,BACKGROUND25,takeoff,0
197.05000000,BACKGROUND18,takeoff,0
200.05000000,BACKGROUND10,takeoff,0
219.05000000,BACKGROUND21,takeoff,0
227.10000000,BACKGROUND1,landing,2466.14976121
238.05000000,BACKGROUND31,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
262.05000000,BACKGROUND26,takeoff,0
271.45000000,BACKGROUND19,landing,1799.88446705
276.05000000,BACKGROUND28,takeoff,0
281.05000000,BACKGROUND37,takeoff,0
289.95000000,BACKGROUND8,landing,2251.79086880
291.05000000,BACKGROUND6,takeoff,0
300.05000000,BACKGROUND12,takeoff,0
300.05000000,BACKGROUND23,takeoff,0
300.05000000,BACKGROUND27,takeoff,0
300.05000000,BACKGROUND29,takeoff,0
300.05000000,BACKGROUND32,takeoff,0
300.05000000,BACKGROUND33,takeoff,0
300.05000000,BACKGROUND39,takeoff,0
300.15000000,BACKGROUND13,landing,2599.42112323
300.15000000,BACKGROUND13,takeoff,0
300.95000000,BACKGROUND20,landing,2366.13170055
300.95000000,BACKGROUND20,takeoff,0
302.15000000,BACKGROUND5,landing,4349.01568046
302.15000000,BACKGROUND5,takeoff,0
302.30000000,BACKGROUND26,landing,672.06750000
302.30000000,BACKGROUND26,takeoff,0
303.00000000,BACKGROUND9,landing,2391.09719170
303.00000000,BACKGROUND9,takeoff,0
303.20000000,BACKGROUND17,landing,1812.05909004
303.40000000,BACKGROUND37,landing,241.57884889
303.40000000,BACKGROUND37,takeoff,0
305.15000000,BACKGROUND10,landing,1556.60479586
305.15000000,BACKGROUND10,takeoff,0
305.40000000,BACKGROUND24,landing,906.45055271
305.40000000,BACKGROUND24,takeoff,0
305.60000000,BACKGROUND31,landing,247.58293181
305.60000000,BACKGROUND31,takeoff,0
306.30000000,BACKGROUND15,landing,3041.44751876
306.30000000,BACKGROUND15,takeoff,0
306.55000000,BACKGROUND21,landing,1055.47796430
306.55000000,BACKGROUND21,takeoff,0
306.85000000,BACKGROUND28,landing,695.66888335
306.85000000,BACKGROUND28,takeoff,0
309.00000000,BACKGROUND18,landing,1899.65893643
309.00000000,BACKGROUND18,takeoff,0
310.05000000,BACKGROUND41,takeoff,0
315.05000000,BACKGROUND22,landing,2202.66629609
315.05000000,BACKGROUND22,takeoff,0
316.00000000,BACKGROUND6,landing,396.66750000
316.00000000,BACKGROUND6,takeoff,0
317.05000000,BACKGROUND42,takeoff,0
328.40000000,BACKGROUND25,landing,1563.63509123
337.20000000,BACKGROUND7,landing,3661.98017576
