# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND5,SURVEILLANCE_LUFTHANSA,start
201.00000000,BACKGROUND5,SURVEILLANCE_LUFTHANSA,end
205.00000000,BACKGROUND8,SURVEILLANCE_LUFTHANSA,start
208.00000000,BACKGROUND2,BACKGROUND23,start
209.00000000,BACKGROUND8,SURVEILLANCE_LUFTHANSA,end
212.00000000,BACKGROUND2,BACKGROUND23,end
228.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,start
230.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
243.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
246.00000000,BACKGROUND13,SURVEILLANCE_LUFTHANSA,end
297.00000000,BACKGROUND34,SURVEILLANCE_EUROWINGS,start
306.00000000,BACKGROUND29,SURVEILLANCE_EUROWINGS,start
313.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND34,SURVEILLANCE_EUROWINGS,end
328.00000000,BACKGROUND29,SURVEILLANCE_EUROWINGS,end
335.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,end
336.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
349.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,start
365.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,end
434.00000000,BACKGROUND27,BACKGROUND31,start
439.00000000,BACKGROUND27,BACKGROUND31,end
469.00000000,BACKGROUND22,BACKGROUND27,start
475.00000000,BACKGROUND22,BACKGROUND27,end
568.00000000,BACKGROUND56,BACKGROUND58,start
573.00000000,BACKGROUND56,BACKGROUND58,end
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
587.00000000,BACKGROUND30,BACKGROUND36,start
592.00000000,BACKGROUND30,BACKGROUND36,end
603.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
639.00000000,BACKGROUND20,BACKGROUND32,start
644.00000000,BACKGROUND20,BACKGROUND32,end
747.00000000,BACKGROUND67,BACKGROUND68,start
754.00000000,BACKGROUND67,BACKGROUND68,end
951.00000000,BACKGROUND17,BACKGROUND40,start
954.00000000,BACKGROUND17,BACKGROUND40,end
1011.00000000,BACKGROUND49,BACKGROUND57,start
1013.00000000,BACKGROUND49,BACKGROUND57,end
1014.00000000,BACKGROUND49,BACKGROUND57,start
1020.00000000,BACKGROUND49,BACKGROUND57,end
1027.00000000,BACKGROUND49,BACKGROUND57,start
1049.00000000,BACKGROUND102,BACKGROUND66,start
1054.00000000,BACKGROUND102,BACKGROUND66,end
1230.00000000,BACKGROUND49,BACKGROUND57,end
1245.00000000,BACKGROUND49,BACKGROUND57,start
1260.00000000,BACKGROUND49,BACKGROUND57,end
1269.00000000,BACKGROUND49,BACKGROUND57,start
1272.00000000,BACKGROUND49,BACKGROUND57,end
1273.00000000,BACKGROUND49,BACKGROUND57,start
1275.00000000,BACKGROUND49,BACKGROUND57,end
1277.00000000,BACKGROUND115,BACKGROUND117,start
1278.00000000,BACKGROUND115,BACKGROUND117,end
1279.00000000,BACKGROUND115,BACKGROUND117,start
1280.00000000,BACKGROUND115,BACKGROUND117,end
1342.00000000,BACKGROUND78,BACKGROUND84,start
1351.00000000,BACKGROUND78,BACKGROUND84,end
1354.00000000,BACKGROUND78,BACKGROUND84,start
1360.00000000,BACKGROUND78,BACKGROUND84,end
1405.00000000,BACKGROUND121,BACKGROUND78,start
1406.00000000,BACKGROUND121,BACKGROUND78,end
1412.00000000,BACKGROUND121,BACKGROUND78,start
1416.00000000,BACKGROUND121,BACKGROUND78,end
1601.00000000,BACKGROUND122,BACKGROUND134,start
1602.00000000,BACKGROUND122,BACKGROUND134,end
1621.00000000,BACKGROUND145,BACKGROUND153,start
1624.00000000,BACKGROUND145,BACKGROUND153,end
1669.00000000,BACKGROUND146,BACKGROUND186,start
1670.00000000,BACKGROUND146,BACKGROUND186,end
1683.00000000,BACKGROUND107,BACKGROUND94,start
1684.00000000,BACKGROUND107,BACKGROUND94,end
1685.00000000,BACKGROUND107,BACKGROUND94,start
1688.00000000,BACKGROUND107,BACKGROUND94,end
1691.00000000,BACKGROUND123,BACKGROUND168,start
1698.00000000,BACKGROUND142,BACKGROUND187,start
1703.00000000,BACKGROUND142,BACKGROUND187,end
1729.00000000,BACKGROUND130,BACKGROUND76,start
1733.00000000,BACKGROUND130,BACKGROUND76,end
1758.00000000,BACKGROUND123,BACKGROUND168,end
1771.00000000,BACKGROUND123,BACKGROUND168,start
1784.00000000,BACKGROUND123,BACKGROUND168,end
1801.00000000,BACKGROUND177,BACKGROUND199,start
