# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
58.05000000,BACKGROUND7,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND8,takeoff,0
72.05000000,BACKGROUND9,takeoff,0
80.05000000,BACKGROUND10,takeoff,0
94.05000000,BACKGROUND12,takeoff,0
116.05000000,BACKGROUND14,takeoff,0
130.05000000,BACKGROUND15,takeoff,0
137.05000000,BACKGROUND16,takeoff,0
144.05000000,BACKGROUND17,takeoff,0
152.05000000,BACKGROUND18,takeoff,0
166.05000000,BACKGROUND19,takeoff,0
168.05000000,BACKGROUND13,takeoff,0
170.50000000,BACKGROUND5,landing,1728.79622309
180.05000000,BACKGROUND20,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND21,takeoff,0
195.05000000,BACKGROUND22,takeoff,0
207.05000000,BACKGROUND11,takeoff,0
209.05000000,BACKGROUND24,takeoff,0
216.05000000,BACKGROUND25,takeoff,0
224.05000000,BACKGROUND26,takeoff,0
238.05000000,BACKGROUND27,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND28,takeoff,0
252.05000000,BACKGROUND29,takeoff,0
254.45000000,BACKGROUND7,landing,3057.95362576
259.05000000,BACKGROUND30,takeoff,0
267.05000000,BACKGROUND31,takeoff,0
271.30000000,BACKGROUND3,landing,2189.23795417
288.05000000,BACKGROUND34,takeoff,0
293.70000000,BACKGROUND1,landing,2735.63584888
300.05000000,BACKGROUND23,takeoff,0
300.05000000,BACKGROUND32,takeoff,0
300.05000000,BACKGROUND33,takeoff,0
300.30000000,BACKGROUND2,landing,3920.14088228
300.50000000,BACKGROUND9,landing,3217.86551566
300.50000000,BACKGROUND9,takeoff,0
300.50000000,BACKGROUND28,landing,740.77954879
300.50000000,BACKGROUND28,takeoff,0
300.90000000,BACKGROUND4,landing,811.90414367
300.90000000,BACKGROUND4,takeoff,0
301.50000000,BACKGROUND8,landing,3961.56750000
301.50000000,BACKGROUND8,takeoff,0
302.25000000,BACKGROUND15,landing,2816.09248552
302.25000000,BACKGROUND15,takeoff,0
302.85000000,BACKGROUND13,landing,1080.48790190
302.85000000,BACKGROUND13,takeoff,0
303.05000000,BACKGROUND35,takeoff,0
303.30000000,BACKGROUND18,landing,2323.22121718
303.30000000,BACKGROUND18,takeoff,0
303.70000000,BACKGROUND22,landing,1054.52945330
303.70000000,BACKGROUND22,takeoff,0
304.05000000,BACKGROUND19,landing,2106.84702473
304.05000000,BACKGROUND19,takeoff,0
304.55000000,BACKGROUND14,landing,1173.82027442
304.55000000,BACKGROUND14,takeoff,0
305.40000000,BACKGROUND24,landing,2095.52988969
305.40000000,BACKGROUND24,takeoff,0
305.45000000,BACKGROUND25,landing,1953.57756916
305.45000000,BACKGROUND25,takeoff,0
306.15000000,BACKGROUND20,landing,2339.47555798
306.15000000,BACKGROUND20,takeoff,0
307.10000000,BACKGROUND30,landing,773.97368921
307.10000000,BACKGROUND30,takeoff,0
307.40000000,BACKGROUND26,landing,975.57410647
307.40000000,BACKGROUND26,takeoff,0
307.95000000,BACKGROUND27,landing,968.55465044
307.95000000,BACKGROUND27,takeoff,0
