# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
250.00000000,BACKGROUND11,SURVEILLANCE_LUFTHANSA,456.12432425
259.00000000,BACKGROUND33,SURVEILLANCE_LUFTHANSA,365.08847790
279.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,137.80215359
280.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,388.05493294
297.00000000,BACKGROUND36,SURVEILLANCE_LUFTHANSA,426.90804429
299.00000000,BACKGROUND20,BACKGROUND33,6.76905569
330.00000000,BACKGROUND39,SURVEILLANCE_EUROWINGS,231.11169395
345.00000000,BACKGROUND28,SURVEILLANCE_EUROWINGS,200.64515229
357.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,283.97222572
497.00000000,BACKGROUND30,BACKGROUND55,10.84883106
606.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,6.06560571
634.00000000,BACKGROUND38,BACKGROUND49,3.08603959
653.00000000,BACKGROUND34,BACKGROUND69,0.00021311
771.00000000,BACKGROUND29,BACKGROUND53,0.18071538
778.00000000,BACKGROUND77,BACKGROUND90,0.33803915
782.00000000,BACKGROUND77,BACKGROUND81,0.74420767
794.00000000,BACKGROUND55,BACKGROUND56,0.00496598
1022.00000000,BACKGROUND88,BACKGROUND94,0.62004725
1030.00000000,BACKGROUND95,BACKGROUND99,0.00001353
1034.00000000,BACKGROUND95,BACKGROUND99,0.00006186
1050.00000000,BACKGROUND104,BACKGROUND67,0.11319834
1130.00000000,BACKGROUND104,BACKGROUND81,7.35490636
1152.00000000,BACKGROUND139,BACKGROUND78,0.00005008
1323.00000000,BACKGROUND101,BACKGROUND84,2.98818377
1352.00000000,BACKGROUND111,BACKGROUND134,0.00128046
1417.00000000,BACKGROUND123,BACKGROUND166,0.39433936
1420.00000000,BACKGROUND164,BACKGROUND85,1.44326194
1421.00000000,BACKGROUND123,BACKGROUND166,0.07502737
1422.00000000,BACKGROUND123,BACKGROUND166,0.06036616
1540.00000000,BACKGROUND154,BACKGROUND180,4.11237358
1565.00000000,BACKGROUND117,BACKGROUND161,3.00644529
1596.00000000,BACKGROUND125,BACKGROUND191,0.10801709
1646.00000000,BACKGROUND166,BACKGROUND183,0.36971974
1648.00000000,BACKGROUND112,BACKGROUND87,0.13999467
1732.00000000,BACKGROUND172,BACKGROUND209,0.12529707
