# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,start
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
249.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
249.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,end
261.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,start
266.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,end
323.00000000,BACKGROUND39,SURVEILLANCE_EUROWINGS,start
331.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,start
335.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,end
344.00000000,BACKGROUND39,SURVEILLANCE_EUROWINGS,end
354.00000000,BACKGROUND18,BACKGROUND21,start
355.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,start
355.00000000,BACKGROUND18,BACKGROUND21,end
361.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,end
383.00000000,BACKGROUND29,BACKGROUND39,start
384.00000000,BACKGROUND29,BACKGROUND39,end
385.00000000,BACKGROUND46,SURVEILLANCE_EUROWINGS,start
386.00000000,BACKGROUND46,SURVEILLANCE_EUROWINGS,end
414.00000000,BACKGROUND36,BACKGROUND43,start
416.00000000,BACKGROUND36,BACKGROUND43,end
443.00000000,BACKGROUND51,BACKGROUND57,start
445.00000000,BACKGROUND51,BACKGROUND57,end
477.00000000,BACKGROUND42,BACKGROUND50,start
479.00000000,BACKGROUND42,BACKGROUND50,end
501.00000000,BACKGROUND29,BACKGROUND55,start
504.00000000,BACKGROUND29,BACKGROUND55,end
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,BACKGROUND58,BACKGROUND72,start
605.00000000,BACKGROUND58,BACKGROUND72,end
648.00000000,BACKGROUND68,BACKGROUND78,start
650.00000000,BACKGROUND68,BACKGROUND78,end
686.00000000,BACKGROUND67,BACKGROUND78,start
688.00000000,BACKGROUND67,BACKGROUND78,end
719.00000000,BACKGROUND59,BACKGROUND85,start
720.00000000,BACKGROUND59,BACKGROUND85,end
745.00000000,BACKGROUND79,BACKGROUND86,start
746.00000000,BACKGROUND79,BACKGROUND86,end
762.00000000,BACKGROUND23,BACKGROUND76,start
766.00000000,BACKGROUND23,BACKGROUND76,end
777.00000000,BACKGROUND83,BACKGROUND89,start
778.00000000,BACKGROUND83,BACKGROUND89,end
807.00000000,BACKGROUND101,BACKGROUND105,start
809.00000000,BACKGROUND101,BACKGROUND105,end
822.00000000,BACKGROUND82,BACKGROUND94,start
824.00000000,BACKGROUND82,BACKGROUND94,end
950.00000000,BACKGROUND103,BACKGROUND116,start
951.00000000,BACKGROUND103,BACKGROUND116,end
971.00000000,BACKGROUND117,BACKGROUND98,start
972.00000000,BACKGROUND117,BACKGROUND98,end
1004.00000000,BACKGROUND104,BACKGROUND98,start
1015.00000000,BACKGROUND104,BACKGROUND98,end
1017.00000000,BACKGROUND104,BACKGROUND98,start
1019.00000000,BACKGROUND104,BACKGROUND98,end
1140.00000000,BACKGROUND125,BACKGROUND137,start
1141.00000000,BACKGROUND125,BACKGROUND137,end
1224.00000000,BACKGROUND150,BACKGROUND157,start
1253.00000000,BACKGROUND111,BACKGROUND139,start
1254.00000000,BACKGROUND111,BACKGROUND139,end
1319.00000000,BACKGROUND156,BACKGROUND163,start
1321.00000000,BACKGROUND156,BACKGROUND163,end
1367.00000000,BACKGROUND159,BACKGROUND170,start
1369.00000000,BACKGROUND159,BACKGROUND170,end
1372.00000000,BACKGROUND148,BACKGROUND174,start
1375.00000000,BACKGROUND148,BACKGROUND174,end
1564.00000000,BACKGROUND150,BACKGROUND157,end
1655.00000000,BACKGROUND181,BACKGROUND200,start
1657.00000000,BACKGROUND181,BACKGROUND200,end
1658.00000000,BACKGROUND184,BACKGROUND200,start
1659.00000000,BACKGROUND184,BACKGROUND200,end
1663.00000000,BACKGROUND181,BACKGROUND184,start
1664.00000000,BACKGROUND198,BACKGROUND202,start
1665.00000000,BACKGROUND198,BACKGROUND202,end
1666.00000000,BACKGROUND181,BACKGROUND184,end
1692.00000000,BACKGROUND186,BACKGROUND211,start
1699.00000000,BACKGROUND186,BACKGROUND211,end
