# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
243.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,60.01837957
246.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,434.49387713
264.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,469.10742733
333.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,443.02808542
335.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,100.71594015
337.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,118.04021824
359.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,201.64334073
383.00000000,BACKGROUND29,BACKGROUND40,5.21943068
415.00000000,BACKGROUND37,BACKGROUND44,16.15744997
444.00000000,BACKGROUND52,BACKGROUND58,0.04784904
478.00000000,BACKGROUND43,BACKGROUND51,27.84710828
503.00000000,BACKGROUND29,BACKGROUND56,16.90179599
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
604.00000000,BACKGROUND59,BACKGROUND73,0.68058258
649.00000000,BACKGROUND69,BACKGROUND79,1.34881672
687.00000000,BACKGROUND68,BACKGROUND79,5.33969474
719.00000000,BACKGROUND60,BACKGROUND86,31.19431751
764.00000000,BACKGROUND23,BACKGROUND77,4.47050953
807.00000000,BACKGROUND102,BACKGROUND106,2.22413755
823.00000000,BACKGROUND83,BACKGROUND95,13.30913939
951.00000000,BACKGROUND117,BACKGROUND96,1.15851262
1018.00000000,BACKGROUND105,BACKGROUND99,31.68521831
1140.00000000,BACKGROUND126,BACKGROUND138,36.19989268
1253.00000000,BACKGROUND112,BACKGROUND140,12.87315751
1294.00000000,BACKGROUND151,BACKGROUND158,0.00714688
1320.00000000,BACKGROUND157,BACKGROUND164,16.79286933
1368.00000000,BACKGROUND160,BACKGROUND171,4.53615918
1373.00000000,BACKGROUND149,BACKGROUND175,2.85970635
1656.00000000,BACKGROUND182,BACKGROUND202,0.50169379
1658.00000000,BACKGROUND186,BACKGROUND202,1.00345072
1664.00000000,BACKGROUND200,BACKGROUND204,5.43461303
1665.00000000,BACKGROUND182,BACKGROUND186,0.02129131
1696.00000000,BACKGROUND188,BACKGROUND213,1.57328545
