# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,start
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
249.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,end
249.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
261.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,start
266.00000000,BACKGROUND7,SURVEILLANCE_LUFTHANSA,end
323.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,start
331.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
331.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,start
335.00000000,BACKGROUND20,SURVEILLANCE_EUROWINGS,end
342.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
344.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,end
354.00000000,BACKGROUND18,BACKGROUND21,start
355.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,start
355.00000000,BACKGROUND18,BACKGROUND21,end
361.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,end
383.00000000,BACKGROUND29,BACKGROUND40,start
384.00000000,BACKGROUND29,BACKGROUND40,end
385.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,start
386.00000000,BACKGROUND47,SURVEILLANCE_EUROWINGS,end
414.00000000,BACKGROUND37,BACKGROUND44,start
416.00000000,BACKGROUND37,BACKGROUND44,end
443.00000000,BACKGROUND52,BACKGROUND58,start
445.00000000,BACKGROUND52,BACKGROUND58,end
477.00000000,BACKGROUND43,BACKGROUND51,start
479.00000000,BACKGROUND43,BACKGROUND51,end
501.00000000,BACKGROUND29,BACKGROUND56,start
504.00000000,BACKGROUND29,BACKGROUND56,end
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,BACKGROUND59,BACKGROUND73,start
605.00000000,BACKGROUND59,BACKGROUND73,end
648.00000000,BACKGROUND69,BACKGROUND79,start
650.00000000,BACKGROUND69,BACKGROUND79,end
686.00000000,BACKGROUND68,BACKGROUND79,start
688.00000000,BACKGROUND68,BACKGROUND79,end
719.00000000,BACKGROUND60,BACKGROUND86,start
720.00000000,BACKGROUND60,BACKGROUND86,end
745.00000000,BACKGROUND80,BACKGROUND87,start
746.00000000,BACKGROUND80,BACKGROUND87,end
762.00000000,BACKGROUND23,BACKGROUND77,start
766.00000000,BACKGROUND23,BACKGROUND77,end
777.00000000,BACKGROUND84,BACKGROUND90,start
778.00000000,BACKGROUND84,BACKGROUND90,end
807.00000000,BACKGROUND102,BACKGROUND106,start
809.00000000,BACKGROUND102,BACKGROUND106,end
822.00000000,BACKGROUND83,BACKGROUND95,start
824.00000000,BACKGROUND83,BACKGROUND95,end
950.00000000,BACKGROUND104,BACKGROUND117,start
951.00000000,BACKGROUND104,BACKGROUND117,end
971.00000000,BACKGROUND118,BACKGROUND99,start
972.00000000,BACKGROUND118,BACKGROUND99,end
1004.00000000,BACKGROUND105,BACKGROUND99,start
1015.00000000,BACKGROUND105,BACKGROUND99,end
1017.00000000,BACKGROUND105,BACKGROUND99,start
1019.00000000,BACKGROUND105,BACKGROUND99,end
1140.00000000,BACKGROUND126,BACKGROUND138,start
1141.00000000,BACKGROUND126,BACKGROUND138,end
1224.00000000,BACKGROUND151,BACKGROUND158,start
1253.00000000,BACKGROUND112,BACKGROUND140,start
1254.00000000,BACKGROUND112,BACKGROUND140,end
1319.00000000,BACKGROUND157,BACKGROUND164,start
1321.00000000,BACKGROUND157,BACKGROUND164,end
1367.00000000,BACKGROUND160,BACKGROUND171,start
1369.00000000,BACKGROUND160,BACKGROUND171,end
1372.00000000,BACKGROUND149,BACKGROUND175,start
1375.00000000,BACKGROUND149,BACKGROUND175,end
1504.00000000,BACKGROUND184,BACKGROUND194,start
1505.00000000,BACKGROUND184,BACKGROUND194,end
1564.00000000,BACKGROUND151,BACKGROUND158,end
1655.00000000,BACKGROUND182,BACKGROUND202,start
1657.00000000,BACKGROUND182,BACKGROUND202,end
1658.00000000,BACKGROUND186,BACKGROUND202,start
1659.00000000,BACKGROUND186,BACKGROUND202,end
1663.00000000,BACKGROUND182,BACKGROUND186,start
1664.00000000,BACKGROUND200,BACKGROUND204,start
1665.00000000,BACKGROUND200,BACKGROUND204,end
1666.00000000,BACKGROUND182,BACKGROUND186,end
1692.00000000,BACKGROUND188,BACKGROUND213,start
1699.00000000,BACKGROUND188,BACKGROUND213,end
