# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND19,SURVEILLANCE_LUFTHANSA,start
193.00000000,BACKGROUND19,SURVEILLANCE_LUFTHANSA,end
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
247.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,end
325.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,start
335.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,end
337.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,start
347.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,end
359.00000000,BACKGROUND17,SURVEILLANCEOP2,start
362.00000000,BACKGROUND17,SURVEILLANCEOP2,end
402.00000000,BACKGROUND22,SURVEILLANCEOP1,start
406.00000000,BACKGROUND22,SURVEILLANCEOP1,end
564.00000000,BACKGROUND33,BACKGROUND62,start
565.00000000,BACKGROUND33,BACKGROUND62,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
611.00000000,BACKGROUND23,BACKGROUND25,start
616.00000000,BACKGROUND23,BACKGROUND25,end
626.00000000,BACKGROUND46,BACKGROUND62,start
628.00000000,BACKGROUND46,BACKGROUND62,end
670.00000000,BACKGROUND65,BACKGROUND70,start
703.00000000,BACKGROUND65,BACKGROUND70,end
715.00000000,BACKGROUND66,BACKGROUND73,start
717.00000000,BACKGROUND66,BACKGROUND73,end
718.00000000,BACKGROUND73,BACKGROUND74,start
719.00000000,BACKGROUND14,BACKGROUND33,start
721.00000000,BACKGROUND65,BACKGROUND70,start
722.00000000,BACKGROUND66,BACKGROUND74,start
722.00000000,BACKGROUND73,BACKGROUND74,end
725.00000000,BACKGROUND66,BACKGROUND74,end
726.00000000,BACKGROUND66,BACKGROUND73,start
726.00000000,BACKGROUND14,BACKGROUND33,end
731.00000000,BACKGROUND66,BACKGROUND73,end
731.00000000,BACKGROUND65,BACKGROUND70,end
735.00000000,BACKGROUND24,BACKGROUND65,start
736.00000000,BACKGROUND24,BACKGROUND65,end
739.00000000,BACKGROUND24,BACKGROUND70,start
740.00000000,BACKGROUND66,BACKGROUND73,start
741.00000000,BACKGROUND24,BACKGROUND70,end
742.00000000,BACKGROUND21,BACKGROUND65,start
743.00000000,BACKGROUND65,BACKGROUND79,start
743.00000000,BACKGROUND21,BACKGROUND65,end
744.00000000,BACKGROUND65,BACKGROUND79,end
754.00000000,BACKGROUND21,BACKGROUND70,start
756.00000000,BACKGROUND21,BACKGROUND70,end
765.00000000,BACKGROUND22,BACKGROUND71,start
766.00000000,BACKGROUND66,BACKGROUND73,end
766.00000000,BACKGROUND22,BACKGROUND71,end
777.00000000,BACKGROUND49,BACKGROUND77,start
779.00000000,BACKGROUND49,BACKGROUND77,end
799.00000000,BACKGROUND52,BACKGROUND75,start
