# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
239.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,458.24303108
250.00000000,BACKGROUND16,BACKGROUND3,0.34340609
333.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,463.80963785
584.00000000,BACKGROUND22,BACKGROUND54,1.78863531
586.00000000,BACKGROUND13,BACKGROUND22,2.41970108
606.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,6.06560571
627.00000000,BACKGROUND13,BACKGROUND54,0.00013426
813.00000000,BACKGROUND75,BACKGROUND80,0.47794380
1320.00000000,BACKGROUND71,BACKGROUND73,0.16857795
1333.00000000,BACKGROUND71,BACKGROUND73,2.34892032
1398.00000000,BACKGROUND105,BACKGROUND95,1.26509845
1501.00000000,BACKGROUND121,BACKGROUND144,0.00000000
1502.00000000,BACKGROUND121,BACKGROUND139,0.06275060
1502.00000000,BACKGROUND121,BACKGROUND144,0.00000023
1502.00000000,BACKGROUND139,BACKGROUND144,0.02840381
1551.00000000,BACKGROUND124,BACKGROUND161,0.01508833
1557.00000000,BACKGROUND126,BACKGROUND162,2.33572559
1558.00000000,BACKGROUND126,BACKGROUND162,1.81270657
1601.00000000,BACKGROUND110,BACKGROUND64,2.38840774
1602.00000000,BACKGROUND110,BACKGROUND64,2.38840728
1712.00000000,BACKGROUND105,BACKGROUND169,2.79402144
1766.00000000,BACKGROUND105,BACKGROUND169,0.19948611
