# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
237.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
249.00000000,BACKGROUND16,BACKGROUND3,start
251.00000000,BACKGROUND16,BACKGROUND3,end
330.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,start
334.00000000,BACKGROUND4,SURVEILLANCE_EUROWINGS,end
340.00000000,BACKGROUND30,SURVEILLANCEOP3,start
343.00000000,BACKGROUND30,SURVEILLANCEOP3,end
562.00000000,BACKGROUND24,BACKGROUND54,start
564.00000000,BACKGROUND24,BACKGROUND54,end
565.00000000,BACKGROUND13,BACKGROUND24,start
568.00000000,BACKGROUND13,BACKGROUND24,end
580.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
583.00000000,BACKGROUND22,BACKGROUND54,start
585.00000000,BACKGROUND22,BACKGROUND54,end
586.00000000,BACKGROUND13,BACKGROUND22,start
587.00000000,BACKGROUND13,BACKGROUND22,end
589.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
615.00000000,BACKGROUND40,SURVEILLANCE_HELICOPTER,start
625.00000000,BACKGROUND13,BACKGROUND54,start
627.00000000,BACKGROUND40,SURVEILLANCE_HELICOPTER,end
628.00000000,BACKGROUND13,BACKGROUND54,end
632.00000000,BACKGROUND50,BACKGROUND70,start
636.00000000,BACKGROUND50,BACKGROUND70,end
812.00000000,BACKGROUND75,BACKGROUND80,start
814.00000000,BACKGROUND75,BACKGROUND80,end
831.00000000,BACKGROUND42,SURVEILLANCEOP3,start
833.00000000,BACKGROUND42,SURVEILLANCEOP3,end
1216.00000000,BACKGROUND105,BACKGROUND63,start
1218.00000000,BACKGROUND105,BACKGROUND63,end
1256.00000000,BACKGROUND105,BACKGROUND73,start
1258.00000000,BACKGROUND105,BACKGROUND73,end
1309.00000000,BACKGROUND71,BACKGROUND73,start
1310.00000000,BACKGROUND111,BACKGROUND154,start
1313.00000000,BACKGROUND111,BACKGROUND154,end
1367.00000000,BACKGROUND71,BACKGROUND73,end
1397.00000000,BACKGROUND105,BACKGROUND95,start
1399.00000000,BACKGROUND105,BACKGROUND95,end
1501.00000000,BACKGROUND121,BACKGROUND144,start
1506.00000000,BACKGROUND121,BACKGROUND144,end
1528.00000000,BACKGROUND151,BACKGROUND154,start
1530.00000000,BACKGROUND151,BACKGROUND154,end
1534.00000000,BACKGROUND141,BACKGROUND149,start
1550.00000000,BACKGROUND124,BACKGROUND161,start
1550.00000000,BACKGROUND141,BACKGROUND149,end
1552.00000000,BACKGROUND124,BACKGROUND161,end
1673.00000000,BACKGROUND143,BACKGROUND162,start
1703.00000000,BACKGROUND105,BACKGROUND169,start
1720.00000000,BACKGROUND163,BACKGROUND193,start
1723.00000000,BACKGROUND163,BACKGROUND193,end
