# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
239.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,448.59734989
244.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,395.11300476
247.00000000,BACKGROUND16,BACKGROUND3,14.87408663
328.00000000,BACKGROUND25,BACKGROUND26,17.82442086
344.00000000,BACKGROUND11,BACKGROUND15,0.42231432
455.00000000,BACKGROUND44,SURVEILLANCE_EUROWINGS,131.73073066
465.00000000,BACKGROUND30,BACKGROUND53,16.90166879
507.00000000,BACKGROUND30,BACKGROUND45,33.85045436
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
607.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,34.66113691
650.00000000,BACKGROUND67,BACKGROUND75,1.33973385
657.00000000,BACKGROUND53,BACKGROUND76,21.39687864
702.00000000,BACKGROUND31,BACKGROUND69,8.49250790
703.00000000,BACKGROUND31,BACKGROUND54,2.07551333
745.00000000,BACKGROUND65,BACKGROUND83,0.86785247
753.00000000,BACKGROUND59,BACKGROUND80,30.03047789
900.00000000,BACKGROUND107,BACKGROUND72,0.19459711
964.00000000,BACKGROUND103,BACKGROUND105,1.45714112
987.00000000,BACKGROUND108,BACKGROUND114,1.97559734
1100.00000000,BACKGROUND125,BACKGROUND42,4.88312022
1109.00000000,BACKGROUND107,BACKGROUND136,0.26043633
1169.00000000,BACKGROUND124,BACKGROUND128,30.60316983
1172.00000000,BACKGROUND134,BACKGROUND135,36.49595819
1202.00000000,BACKGROUND116,BACKGROUND138,9.69968848
1208.00000000,BACKGROUND134,BACKGROUND135,10.21084591
1209.00000000,BACKGROUND134,BACKGROUND135,9.95947241
1320.00000000,BACKGROUND142,BACKGROUND42,30.33261416
1496.00000000,BACKGROUND149,BACKGROUND170,17.25512644
1524.00000000,BACKGROUND127,BACKGROUND159,12.48969981
1532.00000000,BACKGROUND150,BACKGROUND191,15.97970564
1533.00000000,BACKGROUND150,BACKGROUND191,16.00071808
